"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"9530026P05Rik",0.5402,0.516666666666667,25,1.1512,0.499732723120659,0.0955624457796198,0.485426827170242,-1.68959890499727,0.0660241830940252,1
"Acta2",0.4719,0.471605667060213,33,0.0533,0.055175684889423,0.053357662721112,-0.131244533278253,-0.774317328109085,0.213337115815722,1
"Actn1",0.5001,0.5,23,4e-04,0.0803788682918059,0.122533324837685,0,-0.150136118353231,0.583711803142025,1
"Acyp2",0.1921,0.178571428571429,14,0.3256,0.830928690596939,1.08025708677172,-2.0703893278914,-0.123143263315185,0.619702071656432,1
"Akap6",0.5126,0.548309178743961,23,0.0209,0.0674479537855028,0.0908935080817245,0.0588936890535686,-0.0563904025586552,0.737000170560705,1
"Aopep",0.4253,0.382098765432099,27,0.1664,0.11774820487368,0.0833287582437339,-0.283792966000591,-0.0647104541252617,0.719033218159279,1
"Cacna1c",0.4727,0.486111111111111,30,1e-04,0.0317201615216455,0.0483892600307266,-0.156119201917282,-0.0264956786706669,0.817937513990666,1
"Cacna2d1",0.5535,0.528571428571429,21,0.4042,0.246700566765591,0.142357998973312,0.556393348524385,-0.835978003240157,0.195996748242428,1
"Cacnb2",0.4201,0.39026169026169,37,0.2001,0.14492614685745,0.105292534966945,-0.409390936137702,-0.525207220938142,0.305411656492738,1
"Cald1",0.4301,0.512962962962963,36,1e-04,0.0371935047417411,0.0567488795755526,-0.405992359675837,-0.169994431052501,0.559835650991167,1
"Carmn",0.476,0.461412151067323,29,1e-04,0.0368572008409689,0.0562352314177731,-0.137503523749935,0.0348805071770464,1,1
"Celf2",0.5476,0.566176470588235,17,0.3055,0.196239627785477,0.122533324837685,0.131244533278253,-0.0537883111071409,0.742920166343195,1
"Clic4",0.1408,0.15,19,0.411,0.266304515363225,0.168355763131432,-2.50250034052918,-0.176692650572406,0.552203020664587,1
"Cobll1",0.4977,0.510416666666667,16,2.3354,1.09125871539601,0.312183811314841,-0.169925001442312,-1.95943890099789,0.0477467421816997,1
