celltype,condition,chromosome,n_sig
Pericytes,F1_Aged,Unknown,3
Pericytes,F1_Young,2,16
Pericytes,F1_Young,4,16
Pericytes,F1_Young,1,15
Pericytes,F1_Young,7,15
Pericytes,F1_Young,3,14
Pericytes,F1_Young,9,14
Pericytes,F1_Young,11,12
Pericytes,F1_Young,6,12
Pericytes,F1_Young,10,11
Pericytes,F1_Young,15,10
Pericytes,F1_Young,5,10
Pericytes,F1_Young,13,9
Pericytes,F1_Young,14,9
Pericytes,F1_Young,12,8
Pericytes,F1_Young,17,7
Pericytes,F1_Young,19,7
Pericytes,F1_Young,8,7
Pericytes,F1_Young,18,6
Pericytes,F1_Young,16,2
Pericytes,F1_Young,Unknown,2
Smooth_Muscle,F1_Aged,10,3
Smooth_Muscle,F1_Aged,6,3
Smooth_Muscle,F1_Aged,18,2
Smooth_Muscle,F1_Aged,9,2
Smooth_Muscle,F1_Aged,13,1
Smooth_Muscle,F1_Aged,17,1
Smooth_Muscle,F1_Aged,2,1
Smooth_Muscle,F1_Aged,4,1
Smooth_Muscle,F1_Aged,Unknown,1
Smooth_Muscle,F1_Young,19,3
Smooth_Muscle,F1_Young,16,2
Smooth_Muscle,F1_Young,17,2
Smooth_Muscle,F1_Young,4,2
Smooth_Muscle,F1_Young,11,1
Smooth_Muscle,F1_Young,18,1
Smooth_Muscle,F1_Young,2,1
Smooth_Muscle,F1_Young,3,1
Smooth_Muscle,F1_Young,5,1
Smooth_Muscle,F1_Young,6,1
Smooth_Muscle,F1_Young,8,1
T_cell,F1_Aged,1,8
T_cell,F1_Aged,16,6
T_cell,F1_Aged,18,4
T_cell,F1_Aged,19,4
T_cell,F1_Aged,2,4
T_cell,F1_Aged,6,4
T_cell,F1_Aged,11,3
T_cell,F1_Aged,4,3
T_cell,F1_Aged,10,2
T_cell,F1_Aged,15,2
T_cell,F1_Aged,7,2
T_cell,F1_Aged,Unknown,2
T_cell,F1_Aged,13,1
T_cell,F1_Aged,17,1
T_cell,F1_Aged,3,1
T_cell,F1_Aged,9,1
T_cell,F1_Young,11,1
T_cell,F1_Young,3,1
