"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"Tmod1",0.49212962962963,0.5095,0.285,0.152019588963617,0.0668845855437637,1.08928571428571,36
"Tmtc1",0.666666666666667,0.6526,0.3933,0.194204034644874,0.0685002955809378,1.69642857142857,40
"Tnfaip8",0.688031886812375,0.674,0.0733,0.0727426168621387,0.0685882234874398,1.94642857142857,41
"Tnik",0.470304232804233,0.4858,0.243,0.137207821306426,0.0686220790753483,2,42
"Tnks",0.46264367816092,0.4585,0.5262,0.246121974527511,0.0707142957616852,0.892857142857143,29
"Tnks2",0.553763440860215,0.535,0.0772,0.0777174800350743,0.0739244978402368,0.839285714285714,31
"Tnnc1",0.763725490196078,0.6944,0.048,0.0619877857059603,0.0668360113682367,1.07142857142857,34
"Tnni3",0.441860465116279,0.4492,0.1159,0.0888575477438482,0.0684930945874375,1.73214285714286,43
"Tnni3k",0.459535040123275,0.4701,0.0426,0.0577584737111595,0.0635084421815109,4.67857142857143,51
"Tnnt2",0.591742859002575,0.6176,0,0.0393697058691715,0.0601306640975146,6.39285714285714,56
"Tnpo1",0.612068965517241,0.6116,0.0975,0.0839379840340531,0.0716512809480104,0.875,29
"Tnrc6a",0.593390804597701,0.5468,0.269,0.146462593688239,0.0676772014265031,0.982142857142857,29
"Tnrc6b",0.497114618205006,0.4962,1e-04,0.0449402645176028,0.068580764006552,2.375,41
"Tnrc6c",0.51847442680776,0.5044,0.2796,0.151035215315333,0.0685131188582851,1.5,36
"Tns1",0.406666666666667,0.4304,0.5442,0.263970804878618,0.0875354093179425,0.714285714285714,25
"Tns3",0.344827586206897,0.3331,0.2532,0.143762850137533,0.0727177931100581,0.857142857142857,29
"Tob2",0.326923076923077,0.3323,4.28,1.68262903272672,0.0875354093179425,0.714285714285714,26
"Tom1l2",0.546250146250146,0.5591,0.0222,0.0533525544966751,0.0686111349012551,1.98214285714286,37
"Top1",0.434126984126984,0.402,0.1064,0.0852585816410347,0.0685062736930736,1.80357142857143,41
"Tor1aip1",0.408658008658009,0.3751,0.1258,0.0916039119528251,0.0669457081892815,1.03571428571429,33
"Tpm1",0.498917748917749,0.5294,0.2017,0.120703941619357,0.0673691534999638,3.19642857142857,44
"Tpp2",0.551587301587302,0.5727,0.2484,0.141241781502408,0.0716512809480104,0.875,28
"Tpr",0.5296875,0.5091,0,0.0443106949540614,0.0676772014265031,0.982142857142857,32
"Tra2a",0.377350427350427,0.3863,0.1762,0.111727418545356,0.0684490105916069,1.46428571428571,39
"Tra2b",0.382716049382716,0.3951,0,0.0526546242304524,0.080421162741311,0.767857142857143,27
"Trabd2b",0.579591836734694,0.5515,0.2492,0.139359594072686,0.0683125533470158,1.41071428571429,35
"Trak1",0.516666666666667,0.5147,0.2491,0.14600158300998,0.078515084450576,0.785714285714286,25
"Trak2",0.57327931172469,0.5249,0.1135,0.0879746298357099,0.068536584635741,2.41071428571429,42
"Trdn",0.464969396097907,0.4665,0.0592,0.0591564309805367,0.0560155889176064,10.1785714285714,56
"Trim24",0.270833333333333,0.2549,0.7878,0.349453820396355,0.0768084683520335,0.803571428571429,24
"Trim54",0.411274509803922,0.3948,2e-04,0.0446845059779427,0.0681321354636444,1.35714285714286,34
"Trim55",0.388636363636364,0.3869,0.1698,0.109143955103438,0.0682152007613179,2.625,44
"Trim63",0.542118863049096,0.5246,0.4956,0.232579561420488,0.0677785168095582,2.94642857142857,43
"Trip11",0.571621621621622,0.5562,0.2033,0.122060531771029,0.0685131188582851,1.5,37
"Trip12",0.390243902439024,0.4177,0.1144,0.0883280931902387,0.0685544409992245,1.53571428571429,41
"Trmt13",0.452380952380952,0.452,0.6504,0.327682958514628,0.123249105304676,0.553571428571429,21
"Trmt1l",0.345679012345679,0.3424,0.686,0.317818906144441,0.0875354093179425,0.714285714285714,27
"Trpm7",0.52125,0.5303,0,0.0448450670553806,0.0684933657492514,1.75,40
"Ttc14",0.53030303030303,0.4752,0.255,0.142138101325952,0.0691922600918371,0.928571428571429,33
"Ttc17",0.6744708994709,0.662,0.2873,0.153664751708301,0.0680632974424787,1.33928571428571,36
"Ttc3",0.582142857142857,0.5952,0.0755,0.0749700757933338,0.0707142957616852,0.892857142857143,28
"Ttc39b",0.51010101010101,0.5165,0.2326,0.132268608337893,0.0671102544680757,1.01785714285714,33
"Ttn",0.498847634046059,0.5084,0.0111,0.0202492032247807,0.0244892830586483,113.464285714286,56
"Tulp4",0.462962962962963,0.4395,1.0167,0.441686407180156,0.0849163725664915,0.732142857142857,27
"Txlnb",0.445092322643343,0.4177,0.1799,0.112567725432131,0.0675864393100077,3.07142857142857,49
"U2surp",0.419540229885057,0.4011,1e-04,0.0463371644009288,0.0707142957616852,0.892857142857143,29
"Ubap2l",0.470238095238095,0.4639,0.4132,0.209566016635516,0.080421162741311,0.767857142857143,28
"Ube2b",0.464552823063461,0.4998,1e-04,0.0450004366810545,0.0686726669575306,2.10714285714286,47
"Ube2d3",0.58287037037037,0.558,2e-04,0.0449610045826437,0.0685544409992245,1.53571428571429,36
"Ube2e2",0.526457759412305,0.5254,0.5762,0.263778173073802,0.0686811963413868,2.14285714285714,44
"Ube2h",0.322154471544715,0.3297,0.002,0.0456436396990945,0.0685530523670836,1.625,41
"Ube2k",0.377586206896552,0.353,1e-04,0.0458023178070364,0.0698974067306136,0.910714285714286,29
"Ube2r2",0.463809523809524,0.4783,0,0.0492907994926056,0.0752834810917063,0.821428571428571,25
"Ube3a",0.691964285714286,0.6737,0.3897,0.192896624609072,0.0685914446529233,0.946428571428571,28
"Ube3c",0.668981481481482,0.5953,0.0705,0.070786380856096,0.067224399027544,1.16071428571429,36
"Ube4b",0.595061728395062,0.5532,2e-04,0.0484769737059604,0.0739244978402368,0.839285714285714,27
"Ubn2",0.345181405895692,0.3909,0.1931,0.118213565006511,0.0685535182866117,1.89285714285714,42
"Ubr2",0.463357185450209,0.4423,1e-04,0.0449083915655242,0.0685320833844106,1.85714285714286,43
"Ubr3",0.630647840531561,0.5738,0,0.0449700972439352,0.0686843285239037,2.17857142857143,43
"Ubr5",0.504166666666667,0.4704,0.002,0.0456090475835193,0.0685002186758951,1.78571428571429,40
"Ubxn4",0.555555555555556,0.55,1e-04,0.057350551714061,0.0875354093179425,0.714285714285714,21
"Ugp2",0.667939049387013,0.7246,0.0485,0.0629711291691214,0.0680479046176381,2.75,39
"Ulk2",0.576612903225806,0.5538,0.001,0.0444779840163043,0.0673527075875688,1,31
"Unc45b",0.367739898989899,0.4049,1e-04,0.0448846556213147,0.0684958306856213,1.76785714285714,36
"Uqcc1",0.492361111111111,0.4782,0,0.0492907994926056,0.0752834810917063,0.821428571428571,24
"Urgcp",0.43448275862069,0.4698,0.2922,0.154901519730298,0.0671102544680757,1.01785714285714,29
"Usp13",0.581037414965986,0.5928,0.1559,0.104117287038603,0.0685998030702936,1.96428571428571,42
"Usp15",0.47,0.4899,0.3309,0.169672456805463,0.067224399027544,1.16071428571429,35
"Usp2",0.623188405797101,0.5685,0.4442,0.225996121334314,0.0875354093179425,0.714285714285714,23
"Usp24",0.49837962962963,0.4726,0.2267,0.130652093480453,0.0680632974424787,1.33928571428571,36
"Usp25",0.210294117647059,0.2361,1e-04,0.044451823489778,0.0678347517433876,1.28571428571429,34
"Usp28",0.48530612244898,0.5462,0.0344,0.0573108719796151,0.0675808051368654,1.23214285714286,35
"Usp32",0.436666666666667,0.4768,1e-04,0.0540845359374173,0.082547114555082,0.75,25
"Usp34",0.528828828828829,0.4903,0.0394,0.05981693018796,0.0685083913737442,1.67857142857143,37
"Usp7",0.386363636363636,0.3798,0.5349,0.280119406794947,0.117593707311482,0.571428571428571,22
"Utrn",0.593229166666667,0.5961,0.1656,0.107245995849368,0.067752384327268,1.26785714285714,32
"Uvrag",0.495833333333333,0.4882,0.0697,0.0733810220087366,0.0716512809480104,0.875,28
"Vapa",0.476190476190476,0.5097,0.4537,0.229603716271023,0.0875354093179425,0.714285714285714,21
"Vav3",0.282523997741389,0.2565,0.117,0.0883267225852162,0.0670443476284869,3.35714285714286,46
"Vcl",0.510280394208966,0.5265,0.052,0.0647163754539629,0.0686834774433527,2.16071428571429,42
"Vegfa",0.363659147869674,0.3882,1e-04,0.0449020705349506,0.0685224290637145,1.83928571428571,38
"Vldlr",0.517142857142857,0.547,1e-04,0.0439943477445897,0.06713603378857,1.14285714285714,35
"Vmp1",0.553809523809524,0.5181,0.2911,0.155453586634389,0.0685914446529233,0.946428571428571,30
"Vps13a",0.50952380952381,0.4911,0,0.044929340293768,0.0686220790753483,2,41
"Vps13b",0.458936301793445,0.4638,2e-04,0.0448955295598533,0.0684544388144159,2.46428571428571,49
"Vps13c",0.560606060606061,0.5636,0.1765,0.130241671930947,0.0965524469291998,0.660714285714286,22
"Vps13d",0.595289855072464,0.5853,1e-04,0.0450076438071861,0.0686836746415089,2.19642857142857,46
"Vps54",0.55,0.5767,0.1038,0.0870286729223427,0.0727177931100581,0.857142857142857,30
"Vti1a",0.391666666666667,0.4397,0.1103,0.0865369680654392,0.0681967958919475,1.375,38
"Vwa8",0.668279569892473,0.6711,0.4303,0.207361436352185,0.06713603378857,1.14285714285714,31
"Wac",0.487779106858054,0.53,0.1364,0.096642535409811,0.0684933657492514,1.75,38
"Wasf2",0.483333333333333,0.4732,0.3028,0.165276605206482,0.0768084683520335,0.803571428571429,30
"Washc4",0.589880952380952,0.6078,1e-04,0.0458023178070364,0.0698974067306136,0.910714285714286,28
"Wbp1l",0.563218390804598,0.5567,0.2512,0.139224165117382,0.0669457081892815,1.03571428571429,29
"Wdfy2",0.591880341880342,0.5815,0.3203,0.165424652254756,0.0668845855437637,1.08928571428571,39
"Wdfy3",0.516478696741855,0.5088,0.0366,0.0587522525271106,0.0685062736930736,1.80357142857143,38
"Wdr26",0.535714285714286,0.5059,1.3258,0.549767544147764,0.0707142957616852,0.892857142857143,28
"Wdr33",0.544166666666667,0.5465,0.0339,0.0577700593582163,0.0685721373264489,1.57142857142857,40
"Wipf1",0.443333333333333,0.4972,0.088,0.0803303890973442,0.0716512809480104,0.875,30
"Wnk1",0.461955420466059,0.4479,0.2061,0.122642852559728,0.0677785168095582,2.94642857142857,47
"Wnk2",0.331959706959707,0.3484,0.1532,0.103073856826571,0.0685721373264489,1.57142857142857,39
"Wwc2",0.508333333333333,0.5252,0.1103,0.0902871002882389,0.0739244978402368,0.839285714285714,26
"Wwox",0.51468253968254,0.4584,1e-04,0.0448843104818907,0.0684953035426743,1.71428571428571,36
"Wwp1",0.556818181818182,0.5643,0.5062,0.237124348115416,0.0685719210216124,1.58928571428571,33
"Xirp2",0.416943521594684,0.4682,0.4378,0.211109970162633,0.068511294428394,2.42857142857143,43
"Xpo1",0.452380952380952,0.4444,1e-04,0.0503272381178744,0.0768084683520335,0.803571428571429,28
