gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young,dir_Aged,dir_Young,consistency
4732440D04Rik,0.270725995316159,3.5301140372597e-6,0.351752966558792,0.0044011105308061,below,below,consistent_below
9330159M07Rik,0.128888888888889,1.12474293962206e-16,0.11542934677263,2.30036893055922e-12,below,below,consistent_below
Abca8a,0.70924097380283,1.6164713388156e-4,0.72118018967334,0.00107071695126816,above,above,consistent_above
Abi1,0.638841807909605,0.0331039424763547,0.637032746370096,0.0935795998969518,above,above,consistent_above
Adra1a,0.32560372633902,0.0077326476724933,0.393854696028609,0.086218322321821,below,below,consistent_below
Airn,0.32540552809852,9.734696186209241e-9,0.875508009074159,1.4728689036321201e-58,below,above,discordant
Aox1,0.789079102715466,2.6310102367414e-5,0.696428571428572,0.055611449817961,above,above,consistent_above
Arhgap20,0.797101449275362,6.4449118529026e-4,0.819444444444444,0.0108897117999003,above,above,consistent_above
Art1,0.359826334379906,0.0422099602194775,0.300371387871388,4.008680595393e-4,below,below,consistent_below
Cacna1c,0.567134901553242,1.57722976216643e-7,0.584395295246009,1.3246686883399e-5,above,above,consistent_above
Cacna2d1,0.652141651960492,1.83287308357097e-8,0.678811882561883,1.73555535068022e-8,above,above,consistent_above
Celf2,0.623170291160514,5.48958894710821e-5,0.575193654207401,0.0572731089933755,above,above,consistent_above
Cisd2,0.825471698113208,1.8592399388987e-4,0.811594202898551,0.00546114258653356,above,above,consistent_above
Clic4,0.287934362934363,3.5888859502567997e-12,0.224907297684046,1.9020076848345802e-17,below,below,consistent_below
Cobll1,0.574758604279881,0.0838385228840321,0.625217535179941,0.00318601573527808,above,above,consistent_above
Cp,0.74896978021978,6.1052604424803205e-9,0.723634453781513,0.0110637236756853,above,above,consistent_above
D830005E20Rik,0.412329647994302,2.40416293415331e-5,0.450583131043102,0.0253662220352856,below,below,consistent_below
D830032E09Rik,0.959071729957806,4.03511505459676e-22,0.95906432748538,3.88282527194982e-20,above,above,consistent_above
Dip2c,0.570792061046298,0.00609655910954595,0.671129142369744,7.92314725863958e-5,above,above,consistent_above
Efna5,0.26720471460928,2.4689428984892304e-9,0.306217636527009,3.36959826864662e-8,below,below,consistent_below
Errfi1,0.606518984915569,3.78624212785016e-5,0.618800533549409,9.6048773144619e-4,above,above,consistent_above
Fhl2,0.565734470022782,0.0341407593333546,0.566323423673706,1.39550400090845e-6,above,above,consistent_above
Fhod3,0.623727065272147,5.34381963781568e-9,0.604744792247275,4.513075312125e-4,above,above,consistent_above
Fmn1,0.0246835443037975,1.12669302747024e-27,0.0460526315789474,6.234436331305679e-16,below,below,consistent_below
Galnt18,0.330102040816327,0.00333742214391922,0.271900161030596,5.3312399408031e-4,below,below,consistent_below
Gfod1,0.684180790960452,0.0817390238302431,0.730842911877395,0.00384696156403341,above,above,consistent_above
Gm12295,0.760646014678273,1.14685619081081e-5,0.821904761904762,3.91878098764708e-7,above,above,consistent_above
Gm13481,0.979717813051146,2.08149346599015e-38,0.996825396825397,1.76424095277075e-27,above,above,consistent_above
Gm24474,0.919583333333333,8.8626036852737e-11,0.976608187134503,9.67678519640912e-22,above,above,consistent_above
Gm26862,0.332798573975045,0.0583944459698721,0.31219474969475,4.2616116371588e-4,below,below,consistent_below
Gm30382,0.832818930041152,3.6384328587095e-4,0.723049645390071,0.0299337910111547,above,above,consistent_above
Gm35330,0.750199958771387,4.97205638591831e-10,0.707126718310929,2.1058435281128e-4,above,above,consistent_above
Gm35546,0.844202898550725,5.8358297395711e-4,0.735260770975057,0.0253033706175706,above,above,consistent_above
Gm40124,0.111290322580645,1.07862870016552e-7,0.162121212121212,2.76622382518586e-7,below,below,consistent_below
Gm56646,0.933333333333333,3.84326741886771e-10,0.974137931034483,7.959562867330839e-20,above,above,consistent_above
Gm56730,0.988888888888889,4.98900768890965e-64,0.983606557377049,3.6716992077889897e-42,above,above,consistent_above
Gm57283,0.7953216374269,0.00686810892178665,0.792307692307692,6.90570005153023e-6,above,above,consistent_above
Gm8189,0.908653846153846,3.50831170352279e-10,0.871428571428571,3.52658646544556e-5,above,above,consistent_above
Gramd1b,0.796448748991122,0.0985676837198489,0.80982905982906,0.0074467066120481,above,above,consistent_above
Grb10,0.638700738916256,0.0416265777674566,0.120934959349593,1.0352162302120599e-22,above,below,discordant
Grm1,0.99553080214943,3.81492654070093e-181,0.995908060193774,1.35035007402534e-160,above,above,consistent_above
Hs2st1,0.311111111111111,0.0501853924186069,0.293478260869565,0.0483098220882759,below,below,consistent_below
Intu,0.741242937853107,0.00470677646784779,0.797385620915033,3.3839208259942e-7,above,above,consistent_above
Kcnd2,0.654836563689969,7.3868758342938e-4,0.6520799582002,0.00935911050386734,above,above,consistent_above
Kcnq1ot1,0.31580459770115,0.0137907533747943,0.780043859649123,3.26623159864442e-7,below,above,discordant
Kcnq5,0.0402116402116402,2.1396542946624e-13,0.0174418604651163,9.67678519640912e-22,below,below,consistent_below
Kif16b,0.646738095238095,0.028966535470557,0.646888888888889,0.0706688247608353,above,above,consistent_above
Lama2,0.347593139298619,2.03430293068788e-20,0.386272436105266,1.5873063976146302e-9,below,below,consistent_below
Lyrm4,0.156862745098039,3.21005485154275e-5,0.178861788617886,0.00100926898026524,below,below,consistent_below
Magi1,0.359305635132841,0.00404395872971145,0.296178116055165,6.89004877784422e-7,below,below,consistent_below
Malat1,0.475425230263798,7.8579415720564e-4,0.478643309954295,3.46474126102421e-7,below,below,consistent_below
Man1a,0.350968964774143,0.00679416203436753,0.358108396457911,9.7183456729375e-4,below,below,consistent_below
Man2a1,0.719065934065934,1.99893867747209e-6,0.62403322440087206,0.00775422369919518,above,above,consistent_above
Mbnl1,0.326058201058201,0.0206908118203445,0.256127450980392,0.0286125071627336,below,below,consistent_below
Mdga2,0.688107078107078,9.72889593626929e-10,0.720718991153774,1.42366818479612e-5,above,above,consistent_above
Mgat5,0.321603174603175,0.0940404301132709,0.286240310077519,0.00283202837919846,below,below,consistent_below
Myh6,0.550041583287122,2.3911990607272e-4,0.559489278949776,9.27158308221409e-5,above,above,consistent_above
Myl2,0.638552369746227,0.0378601415123446,0.610471717824659,0.0515735348634366,above,above,consistent_above
Myo5c,0.254166666666667,0.0967570351895033,0.2125,0.0508519687881294,below,below,consistent_below
Myzap,0.383817631330607,0.00302017443074698,0.396885408288917,0.00230052670799685,below,below,consistent_below
Nbea,0.360069444444444,0.0139074595665036,0.382797082797083,0.0939140534055,below,below,consistent_below
Nrxn1,0.959237012987013,4.540969883237219e-118,0.901574074074074,3.88254333529629e-16,above,above,consistent_above
Nudt4,0.285714285714286,0.0460118314107005,0.270769230769231,0.0344263501409269,below,below,consistent_below
Opcml,0.930985915492958,2.07483819638239e-32,0.856481481481482,7.85808453198978e-6,above,above,consistent_above
Or5m3b,1,2.10570689999413e-56,1,2.22357132356559e-26,above,above,consistent_above
Pcdh7,0.552937325470092,0.0817390238302431,0.568670396978675,0.0287341093879151,above,above,consistent_above
Pde7b,0.208045242579141,6.55939352083235e-25,0.258754312701681,1.0766428588429702e-15,below,below,consistent_below
Pdlim3,0.216228070175439,2.81145665794607e-6,0.278606965174129,0.00253243718705593,below,below,consistent_below
Pfkfb2,0.303159192479581,0.0155407463049264,0.216871215840288,7.5022459922321e-12,below,below,consistent_below
Pitpnc1,0.306206232492997,1.32966647373125e-8,0.365269517605966,0.0455494477853963,below,below,consistent_below
Plcl1,0.451231023400628,0.048471180604821,0.416965694369656,0.00851637276080613,below,below,consistent_below
Pln,0.591212722020577,0.00195837416003575,0.60686532356314,0.00307035585566376,above,above,consistent_above
Ppfibp1,0.223880597014925,0.00188341292758762,0.25462962962963,0.0253033706175706,below,below,consistent_below
Ppip5k2,0.58683660687971,0.047404160375892,0.631506364922206,0.0149844718778007,above,above,consistent_above
Prkg1,0.12369456857759,2.77924112097278e-130,0.165310171310171,5.267939969640771e-67,below,below,consistent_below
Prune2,0.747739297739298,1.5202775573517e-7,0.70922619047619,6.6315540491995e-4,above,above,consistent_above
Rapgef5,0.33512776905634,1.60022292877587e-5,0.307523997741389,3.1839701326651e-4,below,below,consistent_below
Rgs6,0.907232704402516,1.22593439913482e-9,0.920833333333333,9.764185763037438e-19,above,above,consistent_above
Rnls,0.326190476190476,0.0680725018895213,0.281060606060606,0.055611449817961,below,below,consistent_below
Ror1,0.623135464231355,0.00581932768996087,0.663768115942029,7.0079570443824e-4,above,above,consistent_above
Rusc2,0.109090909090909,1.10835406180126e-16,0.0119047619047619,1.36320022072538e-16,below,below,consistent_below
Ryr2,0.43141603238665,0.00614846663604726,0.450547135483754,1.5415877585011e-4,below,below,consistent_below
Serpini1,0.87156862745098,3.1541186868022397e-34,0.841029341029341,8.76962678918384e-10,above,above,consistent_above
Slit2,0.258064516129032,0.0611370044194796,0.151041666666667,2.08678170505679e-5,below,below,consistent_below
Sparc,0.368197278911565,0.0501853924186069,0.271693121693122,0.00829072936347217,below,below,consistent_below
Stxbp6,0.294327731092437,0.00149330266091889,0.296618357487923,0.00873587092732375,below,below,consistent_below
