celltype,n_shared,n_shared_consistent_above,n_shared_consistent_below,n_shared_discordant
Cardiomyocyte,2277,1200,1061,16
Coronary_EC,85,48,34,3
Endocardial_EC,91,48,40,3
Fibroblast,289,145,139,5
Lymphatic_EC,6,4,2,0
M1,0,0,0,0
M2,66,29,33,4
MacFib,45,24,20,1
Mesothelial,46,22,20,4
Myeloid,7,2,5,0
Pericytes,143,80,60,3
Smooth_Muscle,13,6,7,0
Unknown_1,7,2,4,1
