celltype,n_aged_only,n_young_only
Cardiomyocyte,665,589
Coronary_EC,43,36
Endocardial_EC,40,27
Fibroblast,192,133
M2,42,30
MacFib,42,19
Mesothelial,22,15
Myeloid,10,0
Pericytes,63,79
Unknown_1,16,2
