gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
4732440D04Rik,F1_Aged,1.9233051462758e-4,0.3357,shared,0.0186943631334973,0.3517,Endocardial_EC
9330159M07Rik,F1_Aged,1.50076658500443e-7,0.109,shared,2.0953540539470903e-9,0.0412,Endocardial_EC
Abi1,F1_Aged,2.4529541241664698e-11,0.7158,shared,0.00375455460495907,0.6706,Endocardial_EC
Acyp2,F1_Aged,0.0462718966421192,0.4157,shared,0.0910679670681347,0.4274,Endocardial_EC
Agmo,F1_Aged,1.6229060935256e-4,0.7606,shared,0.00556186882653491,0.7488,Endocardial_EC
Airn,F1_Aged,6.6878583042944895e-12,0.3354,shared,2.3081803111435398e-36,0.7978,Endocardial_EC
Aox1,F1_Aged,0.037044136076588,0.6877,shared,1.8275804719818e-4,0.8491,Endocardial_EC
Art1,F1_Aged,6.6528586383718e-4,0.2636,shared,0.00365873894204112,0.2606,Endocardial_EC
Atp8a1,F1_Aged,8.8697150003398e-4,0.701,shared,0.0342048970697621,0.6981,Endocardial_EC
Btaf1,F1_Aged,0.037044136076588,0.362,shared,0.0156032446995046,0.3081,Endocardial_EC
Cacna2d1,F1_Aged,3.14608304521225e-5,0.6649,shared,3.9635185745641e-5,0.7202,Endocardial_EC
Cdh11,F1_Aged,0.0363658210532722,0.4102,shared,3.42003180252557e-5,0.3517,Endocardial_EC
Clic4,F1_Aged,2.23647351329006e-10,0.3321,shared,2.50701508836734e-8,0.3243,Endocardial_EC
Cmah,F1_Aged,9.46578387606321e-5,0.2081,shared,1.2446016699096e-4,0.1797,Endocardial_EC
Cobll1,F1_Aged,0.0910000157159021,0.6102,shared,0.00379981523060882,0.6324,Endocardial_EC
Cp,F1_Aged,2.01284843377751e-10,0.7288,shared,3.75802596683095e-20,0.897,Endocardial_EC
Cradd,F1_Aged,9.903031965526e-4,0.2968,shared,3.295961715553e-4,0.3004,Endocardial_EC
Cst3,F1_Aged,4.79029671881926e-8,0.7706,shared,0.0079856338398089,0.7438,Endocardial_EC
Ctla2a,F1_Aged,1.996333105326e-4,0.3058,shared,8.8932387763856e-4,0.3138,Endocardial_EC
Cytl1,F1_Aged,1.04611495486703e-5,0.8339,shared,0.0126061807529192,0.7527,Endocardial_EC
D830005E20Rik,F1_Aged,0.0160846602868391,0.405,shared,0.0917718587778541,0.4251,Endocardial_EC
D830032E09Rik,F1_Aged,1.4181602244370499e-11,0.9669,shared,1.97480972079911e-12,0.9864,Endocardial_EC
Dcbld2,F1_Aged,4.7850090468358e-4,0.3126,shared,0.00571470088925717,0.3386,Endocardial_EC
Dock9,F1_Aged,0.00175672871355411,0.4208,shared,0.0468808595620943,0.4216,Endocardial_EC
Efna5,F1_Aged,2.38980251444e-5,0.3495,shared,1.96801379063322e-6,0.3181,Endocardial_EC
Emcn,F1_Aged,2.5211264982478e-7,0.3705,shared,0.006385309407363,0.3917,Endocardial_EC
Epm2a,F1_Aged,0.0306368967329739,0.3019,shared,0.0674330521981099,0.2648,Endocardial_EC
Fam20a,F1_Aged,4.17875953878221e-9,0.2103,shared,8.31658589074523e-11,0.1816,Endocardial_EC
Fgf1,F1_Aged,0.0951328346322635,0.6157,shared,0.0905300729914256,0.6903,Endocardial_EC
Fhl2,F1_Aged,8.9417084166736e-4,0.5887,shared,0.0394656670794892,0.5632,Endocardial_EC
Fhod3,F1_Aged,1.5916948850114e-4,0.6122,shared,7.21520513706523e-6,0.6494,Endocardial_EC
Fmn1,F1_Aged,9.54846656133646e-8,0.0811,shared,2.28099455158933e-8,0.0469,Endocardial_EC
Gm12216,F1_Aged,1.096511787583e-4,0.228,shared,3.09471695617922e-7,0.1522,Endocardial_EC
Gm12295,F1_Aged,0.037044136076588,0.7858,shared,0.00102098927361718,0.7564,Endocardial_EC
Gm13481,F1_Aged,3.8547246727886e-21,0.9885,shared,3.07382802343416e-5,0.9526,Endocardial_EC
Gm24474,F1_Aged,7.0208715790995e-4,0.9186,shared,5.27675994738947e-7,0.9364,Endocardial_EC
Gm30382,F1_Aged,0.0306368967329739,0.7296,shared,0.00995673928707497,0.772,Endocardial_EC
Gm35330,F1_Aged,1.01438558821002e-12,0.8472,shared,3.295961715553e-4,0.7406,Endocardial_EC
Grb10,F1_Aged,0.017772521497291,0.6284,shared,1.30531891451095e-10,0.1798,Endocardial_EC
Greb1l,F1_Aged,3.2855450218199705e-9,0.8017,shared,6.84573890297497e-5,0.8098,Endocardial_EC
Hdac9,F1_Aged,1.5096529758935602e-9,0.7453,shared,0.00995673928707497,0.6499,Endocardial_EC
Itpr1,F1_Aged,0.0815016926151931,0.5684,shared,0.0910679670681347,0.6033,Endocardial_EC
Itpr2,F1_Aged,0.0360113712902582,0.4127,shared,0.0572870970948228,0.3801,Endocardial_EC
Kcnc2,F1_Aged,1.05652299093498e-57,0.9862,shared,7.11537788152535e-21,0.9625,Endocardial_EC
Kcnd2,F1_Aged,1.17907502548973e-5,0.683,shared,0.00556186882653491,0.6765,Endocardial_EC
Kcnn2,F1_Aged,0.0750626284228291,0.6571,shared,0.00375455460495907,0.7208,Endocardial_EC
Kcnq1ot1,F1_Aged,1.9370289047145804e-9,0.2857,shared,1.21119914255676e-10,0.781,Endocardial_EC
Kcnq5,F1_Aged,0.00681717612614864,0.1237,shared,7.67732586146936e-7,0.0843,Endocardial_EC
Kcnt2,F1_Aged,0.0352960298580685,0.5693,shared,0.00405149240609219,0.5991,Endocardial_EC
Lama2,F1_Aged,1.21044785215635e-10,0.337,shared,1.17877501351462e-5,0.3675,Endocardial_EC
Lifr,F1_Aged,0.0860825658702512,0.585,shared,1.1741817155641e-4,0.6886,Endocardial_EC
Lrch1,F1_Aged,0.0262587045130031,0.6125,shared,0.00938398271081657,0.6905,Endocardial_EC
Man2a1,F1_Aged,1.87341270603447e-10,0.714,shared,2.3443332237046e-4,0.6802,Endocardial_EC
Marchf3,F1_Aged,0.0860825658702512,0.6001,shared,0.0306421961409199,0.6551,Endocardial_EC
Mat2a,F1_Aged,3.9776931492712e-4,0.6622,shared,0.0974973700396796,0.6457,Endocardial_EC
Mbnl1,F1_Aged,4.8109288537638e-6,0.2735,shared,1.57226150183738e-7,0.2462,Endocardial_EC
Mcc,F1_Aged,2.19941277316946e-9,0.3358,shared,0.00556186882653491,0.3689,Endocardial_EC
Mgp,F1_Aged,6.54619909970422e-5,0.612,shared,3.4129306455638e-8,0.6556,Endocardial_EC
Mpp7,F1_Aged,1.04611495486703e-5,0.7362,shared,3.07382802343416e-5,0.7205,Endocardial_EC
Myh6,F1_Aged,6.75179552965282e-5,0.5798,shared,0.001173159827573,0.5834,Endocardial_EC
Myzap,F1_Aged,0.00559323570653432,0.3665,shared,4.58834286037936e-5,0.3222,Endocardial_EC
Neat1,F1_Aged,1.1582547116792e-4,0.5672,shared,6.40722574315022e-5,0.5976,Endocardial_EC
Nrxn1,F1_Aged,1.11751951949202e-17,0.1533,shared,7.71065109247545e-5,0.1225,Endocardial_EC
Pcdh7,F1_Aged,1.096511787583e-4,0.5843,shared,0.00663636512888228,0.5804,Endocardial_EC
Pde7b,F1_Aged,1.04611495486703e-5,0.3426,shared,2.75319523794657e-8,0.3277,Endocardial_EC
Pdlim3,F1_Aged,1.72955142985447e-6,0.2679,shared,3.6433516670434e-4,0.2998,Endocardial_EC
Pfkfb2,F1_Aged,0.00201019614263067,0.3272,shared,4.57547857696961e-5,0.2402,Endocardial_EC
Pgm5,F1_Aged,0.0168452811552004,0.6172,shared,0.0213213781388452,0.6431,Endocardial_EC
Plcb4,F1_Aged,0.0635017358173192,0.6147,shared,0.0946095701341923,0.6094,Endocardial_EC
Plpp1,F1_Aged,1.096511787583e-4,0.6602,shared,2.3964527857077e-4,0.7289,Endocardial_EC
Prkg1,F1_Aged,1.97652737470031e-77,0.1574,shared,1.9452730624453802e-58,0.1342,Endocardial_EC
Prune2,F1_Aged,0.00727427509115125,0.6974,shared,0.00861467740227098,0.7171,Endocardial_EC
Rai14,F1_Aged,0.0351717837736878,0.6558,shared,0.0551774761037129,0.7076,Endocardial_EC
Rapgef5,F1_Aged,1.7224726153591399e-13,0.3231,shared,0.00176305188778901,0.36870000000000003,Endocardial_EC
Rgs6,F1_Aged,5.26865239877031e-7,0.8862,shared,7.67732586146936e-7,0.8837,Endocardial_EC
Rnls,F1_Aged,0.051485068423141,0.3113,shared,0.0512884516144935,0.2571,Endocardial_EC
Serinc3,F1_Aged,6.6528586383718e-4,0.3586,shared,0.00173731690181934,0.3599,Endocardial_EC
Slit3,F1_Aged,0.0360113712902582,0.4029,shared,0.0168119180594955,0.3614,Endocardial_EC
Srpk2,F1_Aged,0.0333957728087355,0.6602,shared,0.0716735368660629,0.6745,Endocardial_EC
Stxbp6,F1_Aged,0.0664974482087854,0.5828,shared,2.5076042648107e-4,0.6742,Endocardial_EC
Tanc1,F1_Aged,0.0200680166675941,0.5985,shared,0.0612779410451224,0.5872,Endocardial_EC
Tanc2,F1_Aged,0.0161275165546907,0.3518,shared,0.00465262999746336,0.3496,Endocardial_EC
Tlr4,F1_Aged,0.0171902975081371,0.3574,shared,0.0106315095052682,0.3165,Endocardial_EC
Tmem108,F1_Aged,0.0177311179950828,0.4385,shared,0.00617948540634666,0.4079,Endocardial_EC
Tnfaip8,F1_Aged,0.0198232584678251,0.6848,shared,0.0389982433668352,0.6698,Endocardial_EC
Trim24,F1_Aged,0.0987609131208688,0.3606,shared,0.0503733775067352,0.34,Endocardial_EC
Tuft1,F1_Aged,0.0660571065754523,0.3159,shared,3.9361416332259e-4,0.1327,Endocardial_EC
Ugp2,F1_Aged,0.0462460469420138,0.5965,shared,0.0138153982927217,0.6774,Endocardial_EC
Zeb1,F1_Aged,4.4023550156704e-9,0.6931,shared,1.10595797931621e-8,0.6925,Endocardial_EC
Zfp236,F1_Aged,0.0381684176327264,0.7178,shared,0.0316054127907173,0.7448,Endocardial_EC
Zfp809,F1_Aged,0.0843994986097669,0.3792,shared,0.0110955239638422,0.2834,Endocardial_EC
4732440D04Rik,F1_Young,0.0186943631334973,0.3517,shared,1.9233051462758e-4,0.3357,Endocardial_EC
9330159M07Rik,F1_Young,2.0953540539470903e-9,0.0412,shared,1.50076658500443e-7,0.109,Endocardial_EC
Abi1,F1_Young,0.00375455460495907,0.6706,shared,2.4529541241664698e-11,0.7158,Endocardial_EC
