"pipeline","threshold","TP","FP","FN","TN","TPR","FPR"
"orig",0.1,94,325,312,1269,0.231527093596059,0.203889585947302
"phi",0.1,94,333,312,1261,0.231527093596059,0.208908406524467
"fixed",0.1,94,334,312,1260,0.231527093596059,0.209535759096612
"glmmtmb",0.1,94,335,312,1259,0.231527093596059,0.210163111668758
"ver",0.1,92,336,314,1258,0.226600985221675,0.210790464240903
