"gene","converged","iter","null_dev","deviance","df_null","df_resid","r2_mcfadden"
"Csrp3",TRUE,3,2978.02230013966,2977.41699072178,937,936,0.000203258860033473
"Ctnnal1",TRUE,4,547.179747215834,546.754834864749,132,131,0.000776549850843522
"Cux1",TRUE,3,283.239651312636,283.08812138578,193,192,0.00053498839641275
"D830005E20Rik",TRUE,4,11733.5240027064,11726.0750542313,4825,4824,0.000634843246869465
"D830024N08Rik",TRUE,4,120.382778824135,119.162595096683,79,78,0.0101358661045254
"D830032E09Rik",TRUE,5,314.352260588594,306.889097971815,290,289,0.023741399545864
"Daam1",TRUE,3,1896.94544342095,1878.09277873678,932,931,0.00993843273118467
"Dach1",TRUE,4,246.924511480096,244.728700259731,58,57,0.00889264175193816
"Dag1",TRUE,3,613.959453058705,607.435281465436,288,287,0.0106263883726628
"Dcaf6",TRUE,3,736.019830670373,714.808946734112,304,303,0.0288183593055396
"Dcaf8",TRUE,3,157.479296518281,156.774910620631,105,104,0.00447287937667229
"Ddx17",TRUE,3,51.9438357134256,51.6859554295016,61,60,0.00496459840483854
"Dennd1a",TRUE,3,265.78736579827,263.055594267856,150,149,0.0102780338042382
"Dennd4c",TRUE,4,197.888895872649,197.252757115383,81,80,0.00321462583567378
"Dennd5b",TRUE,4,305.688540687881,305.17832909931,117,116,0.00166905696701236
"Des",TRUE,4,136.841507084653,134.029983392204,74,73,0.0205458398723305
"Dgat2",TRUE,3,530.122574383715,529.188072715521,132,131,0.00176280300698539
"Dip2b",TRUE,3,184.032847255496,179.941652690778,69,68,0.022230784480763
"Dip2c",TRUE,4,3660.58179271232,3660.40979203413,2105,2104,4.69872517366854e-05
"Dlat",TRUE,3,111.655780395873,110.462143637578,82,81,0.0106903265918035
"Dlc1",TRUE,3,6927.06155217356,6920.4740202926,2901,2900,0.000950985036200835
"Dleu2",TRUE,4,569.641178215504,564.511766194335,164,163,0.00900463698435161
"Dlg1",TRUE,3,151.480702659022,151.477746336667,96,95,1.95161647900122e-05
"Dlgap1",TRUE,3,619.036178361907,618.999593676523,155,154,5.90994301502556e-05
"Dmxl1",TRUE,3,167.539345723359,166.164210448027,90,89,0.00820783481870824
"Dnaaf9",TRUE,4,361.125413428164,360.045616318717,213,212,0.00299008895329966
"Dnaja2",TRUE,4,167.451300714491,166.504569498666,78,77,0.00565377045018656
"Dnajb4",TRUE,3,394.358069120384,393.289691488195,178,177,0.00270915626139367
"Dnajb6",TRUE,3,137.527394485701,137.250398577364,53,52,0.00201411441969801
"Dnajc1",TRUE,4,190.991750769732,185.674712877851,105,104,0.0278390970837908
