"","converged","iter","deviance","df_resid","phi_hat","mu_weighted","pmin","pmax","m_eff","theta_map","terms","rank","p_model","error","coef_X.Intercept.","se_X.Intercept.","stat_X.Intercept.","p_X.Intercept.","coef_sexM","se_sexM","stat_sexM","p_sexM"
"1700025G04Rik",TRUE,4,102.740925345303,62,1.65711169911779,0.512423592918949,0.487179487179487,0.647058823529412,1.48821188812241,998.999999999999,"sex",2,0.279446164175314,FALSE,-0.0512932943875506,0.24992226755936,-0.205236991839343,0.838059319204558,0.657429097957868,0.613172196825786,1.07217695349069,0.287796298441604
"2210408F21Rik",TRUE,3,123.863146986935,83,1.49232707213174,0.422514620287589,0.375000000520459,0.444444444795496,1.33482080607199,998.999999999999,"sex",2,0.560613339260595,FALSE,-0.223143549892451,0.22274002361928,-1.00181164689944,0.319346332626614,-0.287682071652915,0.495593091957982,-0.580480390709938,0.563163438610132
"2610037D02Rik",TRUE,4,90.2061131295611,61,1.47878873982887,0.463255494505494,0.4375,0.571428571428572,1.23789307933371,998.999999999999,"sex",2,0.384626314020613,FALSE,-0.251314428280906,0.26172136564589,-0.960236577020372,0.340726983475017,0.538996500732687,0.619000077546977,0.870753526992543,0.387302703995433
"2610307P16Rik",TRUE,3,280.191057327291,195,1.43687721706303,0.437940480729254,0.413934426265394,0.491525423728939,1.83699086424626,1.09188281914055,"sex",2,0.180270877862447,FALSE,-0.347724113270721,0.134563765752409,-2.5840842913873,0.0104946683595591,0.31382256159554,0.233347702558291,1.34487101503451,0.180228994409656
"4632427E13Rik",TRUE,3,113.073666981219,74,1.52802252677323,0.537830491509213,0.521126760288237,0.578947368360846,1.18241079969762,998.999999999999,"sex",2,0.670401399997092,FALSE,0.0845573869255212,0.24998617266734,0.338248255986713,0.73613390399733,0.23389634394603,0.549147835225631,0.425926005608176,0.671398072788161
"4732440D04Rik",TRUE,4,95.8110194316668,75,1.27748025908889,0.249682539688057,0.238095238118097,0.253333333333388,1.24779392066613,998.999999999999,"sex",2,0.893148375049018,FALSE,-1.08091271156842,0.281887123491782,-3.83455866369126,0.000259938451805223,-0.082238098111252,0.612672386179076,-0.134228504444486,0.893581437928576
"4930523C07Rik",TRUE,4,85.2641391554598,60,1.42106898592433,0.445969498910675,0.433333333333333,0.450980392156863,1.30686885073,998.999999999999,"sex",2,0.879838794187774,FALSE,-0.196710294246054,0.286207903888695,-0.687298609064807,0.494542773600748,-0.0715536923486253,0.47151686953987,-0.151752136500336,0.879891544730929
"5031425E22Rik",TRUE,4,154.260513878523,107,1.44168704559368,0.577219848053178,0.572649572649573,0.592592592592578,1.32061336088347,998.999999999999,"sex",2,0.854608508778089,FALSE,0.29266961396282,0.19259274416288,1.51962949193612,0.131553584202753,0.0820238354785298,0.447233438780061,0.183402734156618,0.854829119159329
"9530026P05Rik",TRUE,3,398.992954643186,235,1.69784236018377,0.474304013796555,0.469135802469382,0.485549132947982,2.43877638940021,0.941841422672623,"sex",2,0.747964859907016,FALSE,-0.123613955966187,0.111993515956901,-1.1037599356534,0.270826222383933,0.06579438507738,0.204493860745283,0.321742593335521,0.747933709895961
"A930015D03Rik",TRUE,4,56.0539258127132,46,1.2185636046242,0.605871212121122,0.545454545454545,0.874999999999508,1.32202631343395,2.11248678039263,"sex",2,0.0188706993505243,FALSE,0.182321556793954,0.308954659086326,0.590123992087172,0.557995500442518,1.76358859225686,0.830953072038899,2.12236846050713,0.039221898309499
"AW554918",TRUE,3,168.588386577834,112,1.5052534515878,0.439391100718173,0.428571428576837,0.460000000035004,1.60691713713349,4.96985180967823,"sex",2,0.717347710476296,FALSE,-0.287682072429695,0.18420451546897,-1.56175363941149,0.121167298020929,0.127339422495434,0.350593624411055,0.363210890412927,0.717131968870652
"Aak1",TRUE,4,180.443484036725,113,1.59684499147544,0.497597876210248,0.452830188679245,0.576923076923077,1.37311032780215,998.999999999999,"sex",2,0.176914548373937,FALSE,-0.189241999638528,0.210814472295687,-0.897670817272444,0.371269699885697,0.499396927942368,0.36933448566726,1.35215352836638,0.179026208822742
