gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
Clic4,F1_Young,4.13134918101836e-9,0.2598,shared,0.0841152526284436,0.374,Mesothelial
Col14a1,F1_Young,0.0257362267443373,0.2599,shared,0.0792925521009813,0.3304,Mesothelial
Cpne8,F1_Young,0.0114372131843138,0.2873,shared,0.0735581369095793,0.336,Mesothelial
Esyt2,F1_Young,0.0506202392454103,0.434,shared,0.0977697489509853,0.6667,Mesothelial
Gm13481,F1_Young,7.249929381765e-6,0.9782,shared,5.4486182807619494e-11,0.9873,Mesothelial
Gm26862,F1_Young,0.0773657028100714,0.2724,shared,4.8782766920082e-4,0.1939,Mesothelial
Grb10,F1_Young,4.09605387151203e-9,0.128,shared,0.00749997155062315,0.7295,Mesothelial
Hpgd,F1_Young,4.90306228561593e-6,0.8783,shared,3.4194070173914e-4,0.8114,Mesothelial
Igfbp6,F1_Young,3.5083318999948e-4,0.7077,shared,0.0117669359279855,0.6535,Mesothelial
Kcnd2,F1_Young,1.61744599643412e-26,0.8808,shared,8.19269522822749e-35,0.8919,Mesothelial
Kcnq1ot1,F1_Young,2.58964843274717e-14,0.8653,shared,0.00456799202512301,0.3273,Mesothelial
Kiz,F1_Young,0.001621197261329,0.7033,shared,0.00507978155357504,0.6643,Mesothelial
Lama2,F1_Young,0.00498677140132109,0.3611,shared,0.00140374292607219,0.3426,Mesothelial
Malt1,F1_Young,0.00141127427166832,0.2324,shared,0.0287876751969908,0.2562,Mesothelial
Mast4,F1_Young,6.66117441017983e-6,0.6687,shared,3.0654729260787104e-9,0.699,Mesothelial
Mctp1,F1_Young,2.00570817398473e-8,0.2037,shared,0.0917949731925603,0.3809,Mesothelial
Pals2,F1_Young,2.8211558066256598e-11,0.8728,shared,1.49027481700974e-20,0.9486,Mesothelial
Pde7b,F1_Young,9.402851502685e-4,0.2998,shared,1.9257619012441e-4,0.2827,Mesothelial
Plcb1,F1_Young,0.0237616230286684,0.3513,shared,2.44890178722631e-7,0.2849,Mesothelial
Prkg1,F1_Young,2.54485630723452e-17,0.1499,shared,1.71434143697676e-26,0.1282,Mesothelial
Rapgef4,F1_Young,0.00424924121115979,0.2583,shared,0.00258683885347551,0.2116,Mesothelial
Rbbp8,F1_Young,1.11425506181091e-8,0.9027,shared,0.00156721172279691,0.815,Mesothelial
Rbfox1,F1_Young,0.00174452691910342,0.6164,shared,3.65793920953523e-8,0.6572,Mesothelial
Rbm28,F1_Young,0.0182643671285151,0.7318,shared,0.0911125823810322,0.665,Mesothelial
Rbm47,F1_Young,0.0244518176669264,0.2592,shared,0.0212905599873525,0.297,Mesothelial
Rnls,F1_Young,6.57009822154211e-5,0.1224,shared,0.00743045560491578,0.2902,Mesothelial
Sdk1,F1_Young,2.0414187712184e-4,0.2529,shared,0.00531313204610191,0.307,Mesothelial
Slc2a13,F1_Young,4.7246517032829e-4,0.2943,shared,8.81246791847301e-10,0.2233,Mesothelial
