gene,condition
Adgrd1,F1_Aged
Adk,F1_Aged
Adra1a,F1_Aged
Aldh1a2,F1_Aged
Ankrd12,F1_Aged
App,F1_Aged
Arhgap29,F1_Aged
Bmpr1b,F1_Aged
Btbd9,F1_Aged
Cobll1,F1_Aged
Corin,F1_Aged
Cp,F1_Aged
Creb5,F1_Aged
Crtc3,F1_Aged
Csgalnact1,F1_Aged
Dcn,F1_Aged
Dnm1l,F1_Aged
Dst,F1_Aged
Fbxl7,F1_Aged
Fhl2,F1_Aged
Flnb,F1_Aged
Frmd4b,F1_Aged
Gli2,F1_Aged
Gpr39,F1_Aged
Hadhb,F1_Aged
Itpr2,F1_Aged
Kcnd3,F1_Aged
Lrp6,F1_Aged
Lrrfip2,F1_Aged
Man1a,F1_Aged
Man2a1,F1_Aged
Mbnl2,F1_Aged
Mcc,F1_Aged
Mgat5,F1_Aged
Mpp7,F1_Aged
Nek7,F1_Aged
Nipbl,F1_Aged
Npr3,F1_Aged
Pbrm1,F1_Aged
Pcdh7,F1_Aged
Pdgfd,F1_Aged
Pdzrn4,F1_Aged
Piezo1,F1_Aged
Ppp1r12a,F1_Aged
Ppp1r3a,F1_Aged
Prune2,F1_Aged
Ptprk,F1_Aged
Rapgef5,F1_Aged
Rnf169,F1_Aged
Ryr2,F1_Aged
Sema5a,F1_Aged
Sf3b1,F1_Aged
Sik2,F1_Aged
Slc4a4,F1_Aged
Smap1,F1_Aged
Smc5,F1_Aged
Sntb2,F1_Aged
Sorbs2,F1_Aged
Srek1,F1_Aged
St3gal6,F1_Aged
Stard13,F1_Aged
Sulf1,F1_Aged
Susd6,F1_Aged
Tanc1,F1_Aged
Tango6,F1_Aged
Tll1,F1_Aged
Tor1aip1,F1_Aged
Trip12,F1_Aged
Tut4,F1_Aged
Urgcp,F1_Aged
Usp53,F1_Aged
Xrn1,F1_Aged
Zmynd8,F1_Aged
Adcy9,F1_Young
Ano6,F1_Young
Ap4e1,F1_Young
Atp10d,F1_Young
B4galt1,F1_Young
Baiap2l1,F1_Young
Cacnb2,F1_Young
Cdon,F1_Young
Cradd,F1_Young
Elp4,F1_Young
Epc1,F1_Young
Fhod3,F1_Young
Fnip2,F1_Young
Gm35330,F1_Young
Homer1,F1_Young
Ipo7,F1_Young
Lrch1,F1_Young
Mtmr3,F1_Young
Myh6,F1_Young
Myl2,F1_Young
Myof,F1_Young
Neat1,F1_Young
Nfe2l2,F1_Young
Nr3c2,F1_Young
Nrip1,F1_Young
Nt5dc1,F1_Young
Pakap,F1_Young
Pcnx1,F1_Young
Phip,F1_Young
Pkia,F1_Young
Plce1,F1_Young
Ppip5k2,F1_Young
Rora,F1_Young
Slc38a2,F1_Young
Slc39a8,F1_Young
Smyd3,F1_Young
Stxbp6,F1_Young
Tcf12,F1_Young
Tnnt2,F1_Young
Trabd2b,F1_Young
Trim24,F1_Young
Vgll4,F1_Young
Xdh,F1_Young
Xirp2,F1_Young
Zfp609,F1_Young
Zfpm2,F1_Young
