celltype,condition,chromosome,n_sig
Pericytes,F1_Aged,Unknown,3
Pericytes,F1_Young,2,17
Pericytes,F1_Young,1,16
Pericytes,F1_Young,4,15
Pericytes,F1_Young,7,14
Pericytes,F1_Young,9,14
Pericytes,F1_Young,3,13
Pericytes,F1_Young,6,12
Pericytes,F1_Young,11,11
Pericytes,F1_Young,10,10
Pericytes,F1_Young,13,9
Pericytes,F1_Young,14,9
Pericytes,F1_Young,15,9
Pericytes,F1_Young,5,9
Pericytes,F1_Young,12,8
Pericytes,F1_Young,19,8
Pericytes,F1_Young,17,6
Pericytes,F1_Young,8,6
Pericytes,F1_Young,18,4
Pericytes,F1_Young,16,2
Pericytes,F1_Young,Unknown,2
Smooth_Muscle,F1_Aged,6,6
Smooth_Muscle,F1_Aged,10,4
Smooth_Muscle,F1_Aged,9,4
Smooth_Muscle,F1_Aged,19,3
Smooth_Muscle,F1_Aged,3,3
Smooth_Muscle,F1_Aged,8,3
Smooth_Muscle,F1_Aged,1,2
Smooth_Muscle,F1_Aged,13,2
Smooth_Muscle,F1_Aged,16,2
Smooth_Muscle,F1_Aged,17,2
Smooth_Muscle,F1_Aged,18,2
Smooth_Muscle,F1_Aged,4,2
Smooth_Muscle,F1_Aged,11,1
Smooth_Muscle,F1_Aged,12,1
Smooth_Muscle,F1_Aged,15,1
Smooth_Muscle,F1_Aged,2,1
Smooth_Muscle,F1_Aged,5,1
Smooth_Muscle,F1_Aged,Unknown,1
Smooth_Muscle,F1_Young,11,1
Smooth_Muscle,F1_Young,16,1
Smooth_Muscle,F1_Young,17,1
Smooth_Muscle,F1_Young,18,1
Smooth_Muscle,F1_Young,19,1
Smooth_Muscle,F1_Young,4,1
Smooth_Muscle,F1_Young,6,1
T_cell,F1_Aged,1,8
T_cell,F1_Aged,16,3
T_cell,F1_Aged,2,3
T_cell,F1_Aged,11,2
T_cell,F1_Aged,15,2
T_cell,F1_Aged,18,2
T_cell,F1_Aged,19,2
T_cell,F1_Aged,7,2
T_cell,F1_Aged,10,1
T_cell,F1_Aged,13,1
T_cell,F1_Aged,17,1
T_cell,F1_Aged,3,1
T_cell,F1_Aged,4,1
T_cell,F1_Aged,6,1
T_cell,F1_Young,11,1
T_cell,F1_Young,3,1
