chromosome,n_sig
1,633
2,627
11,566
X,564
5,552
6,520
10,472
4,455
9,450
3,438
7,398
13,364
18,355
12,347
8,347
15,330
17,310
19,304
14,303
16,282
Unknown,56
Y,3
