"gene","converged","iter","null_dev","deviance","df_null","df_resid","r2_mcfadden"
"Fsd2",TRUE,18,22.7494854779034,17.2739167760325,21,20,0.240689782069548
"Fto",TRUE,4,73.5708829570722,72.4535601148235,54,53,0.0151870250476767
"Fubp1",TRUE,4,63.4447028393599,63.3930466367776,45,44,0.000814192521527257
"Fus",TRUE,3,55.5263312710855,55.5083842618403,39,38,0.000323216190127984
"Fut8",TRUE,3,51.3452305146686,50.1221455958372,30,29,0.0238208087990172
"Fxr1",TRUE,4,41.2864247544107,39.5633328863588,38,37,0.0417350709900812
"Fyb1",TRUE,4,53.5407819177452,52.3360690926823,30,29,0.0225008448123459
"Fyn",TRUE,4,65.9726279681907,63.8981021459218,43,42,0.0314452506465129
"Fyttd1",TRUE,4,41.7118804647394,41.0185668856813,26,25,0.0166214894014246
"Gab1",TRUE,4,77.6651083458074,75.3735235721967,50,49,0.0295059753655048
"Gab2",TRUE,4,91.9589273494255,83.2318083730326,64,63,0.0949023572581665
"Galnt1",TRUE,3,51.6218460674133,50.9601102305901,36,35,0.0128189107371124
"Galnt18",TRUE,4,48.1400687704255,45.7527986810663,31,30,0.0495900847326141
"Galnt2",TRUE,3,43.3149232683074,43.2137175353687,30,29,0.00233650957458176
"Garem1",TRUE,4,48.7793590828264,48.7552273683293,25,24,0.000494711594223984
"Garre1",TRUE,4,48.0266041896317,43.7121976062696,35,34,0.0898336798147705
"Gatad2b",TRUE,4,39.1861002020125,38.141153485252,32,31,0.0266662594995066
"Gbe1",TRUE,4,70.2051437026389,68.7955412510503,39,38,0.0200783358205077
"Gbf1",TRUE,3,49.5981408137384,49.5840315304074,38,37,0.000284472020514626
"Gda",TRUE,4,78.0260161572487,68.7987459728069,42,41,0.118258891570804
"Gfod1",TRUE,4,55.8986610889904,55.505978578309,28,27,0.00702490011444401
"Ghr",TRUE,3,84.9135085007746,84.7242860161926,57,56,0.0022284143939274
"Gigyf2",TRUE,4,43.1289686833221,43.1123327542363,26,25,0.000385725177152629
"Gja1",TRUE,4,50.3656562261365,48.9753520634425,25,24,0.0276042102271356
"Gli3",TRUE,3,34.1287580389073,33.9358997161019,23,22,0.00565090363339593
"Glis3",TRUE,3,81.5110577575902,81.5100049344776,36,35,1.29163225403017e-05
"Gls",TRUE,4,72.8116917255418,70.5989721362492,43,42,0.0303896192610551
"Glud1",TRUE,4,38.9440443746464,38.8959220936213,30,29,0.00123567754191656
"Glul",TRUE,4,55.3481223844878,54.8314551347622,39,38,0.0093348649866829
"Gm12295",TRUE,5,23.0273942081846,22.343847580321,22,21,0.0296840633240479
"Gm12940",TRUE,3,38.085151234713,37.8895659107372,27,26,0.00513547452576446
"Gm13481",TRUE,24,0,5.19657206153906e-10,19,18,NA
"Gm13938",TRUE,3,34.4013807030135,31.8206775398685,27,26,0.0750174298358599
"Gm20619",TRUE,4,78.427792091943,78.3885479061454,39,38,0.000500386211964354
"Gm20732",TRUE,4,89.6666877113438,89.6573341878003,47,46,0.000104314364478442
"Gm26862",TRUE,4,43.3400493705733,43.1939672146945,30,29,0.00337060427941993
"Gm35330",TRUE,5,53.2911819761032,46.8039978209269,31,30,0.121730911468341
"Gm3587",TRUE,4,39.6005119892614,39.3833458903394,21,20,0.00548392149527988
"Gm37376",TRUE,4,85.4424062323702,85.0211818917632,52,51,0.00492992132573422
"Gm43361",TRUE,3,33.6673462393627,33.6035278592425,26,25,0.00189555718667367
"Gm56730",TRUE,25,0,3.59953400419206e-10,37,36,NA
"Gm57283",TRUE,4,23.8915212084857,22.3086477567652,21,20,0.0662525185360862
"Gmds",TRUE,4,45.6952505588086,45.512917990416,29,28,0.00399018642337834
"Gna13",TRUE,3,25.7361239641947,25.1070962974212,22,21,0.0244414297836245
"Gnaq",TRUE,3,88.690172431948,88.5282325317554,65,64,0.00182590579939246
"Gnb1",TRUE,4,60.0508072409044,59.1362487143152,35,34,0.0152297457537965
"Gns",TRUE,4,56.6010800372485,56.6009886962896,34,33,1.61376706708793e-06
"Golga4",TRUE,3,75.9825563359334,75.9572411810067,41,40,0.000333170613722844
"Golph3",TRUE,4,47.8491077905732,47.4915354584327,31,30,0.00747291535101313
"Got1",TRUE,4,48.8322864890406,45.8918023463039,26,25,0.0602159831978516
"Gpatch2",TRUE,3,51.7799106694236,50.7370541899433,34,33,0.0201401753305097
"Gpatch8",TRUE,3,48.9830661094418,48.6237494345723,42,41,0.00733552844704899
"Gpbp1",TRUE,4,61.8637379369585,61.1327506941443,35,34,0.0118160859203017
"Gpbp1l1",TRUE,3,38.0326667797643,36.5024082780734,30,29,0.040235372148688
"Gpcpd1",TRUE,4,105.437407867317,104.917696941323,52,51,0.00492909429875066
"Gphn",TRUE,3,82.8283096086441,81.3958248282682,64,63,0.0172946277322839
"Grb10",TRUE,5,70.1188816922902,69.7647858885187,33,32,0.00504993512767826
