"term","estimate","se","z","p","gene"
"sexM",0.423814246776364,0.555774738963495,0.762564789408683,0.450832004003432,"1700025G04Rik"
"sexM",0.291730660964583,0.369384488778887,0.789775071305747,0.433894846724032,"2210408F21Rik"
"sexM",0.421791999875815,0.602712440038168,0.699822953462026,0.488663537679761,"2610037D02Rik"
"sexM",-0.550046336919227,0.699780194936235,-0.786027299571329,0.443337439481334,"2610307P16Rik"
"sexM",0.993251773010282,0.683609543381484,1.45295188258658,0.155404906136389,"4632427E13Rik"
"sexM",0.475308681605633,0.509332158859964,0.933199825177964,0.357297060598779,"4732440D04Rik"
"sexM",-0.405465108075104,0.754778206500038,-0.537197688782345,0.596523150937107,"4933406I18Rik"
"sexM",0.474776907703516,0.419167452404651,1.13266644387547,0.264450818322251,"5031425E22Rik"
"sexM",18.1285885024805,2059.25859832734,0.0088034540767273,0.99303837623801,"9330159M07Rik"
"sexM",-0.025975486403261,0.370089174505466,-0.0701871013600193,0.944319236907753,"9530026P05Rik"
"sexM",0.225246601510988,0.659832181137263,0.341369529935265,0.735374024649621,"AW554918"
"sexM",-0.387237594348714,0.455836354943642,-0.849510115086347,0.400196213009484,"Aak1"
"sexM",0.0588405000218723,0.403370495935565,0.145872096781396,0.884646200814831,"Abca1"
"sexM",0.0206192911719955,0.556579645435875,0.0370464341286644,0.97065847896298,"Abca8a"
"sexM",0.661894637055262,0.68186349430233,0.970714288983164,0.341789019144209,"Abca8b"
"sexM",0.407730114566433,0.470613404930257,0.86638015469801,0.391580742906573,"Abca9"
"sexM",0.307484697870997,0.603188003812331,0.509765936868109,0.614073249494029,"Abcc1"
"sexM",-0.619039208406217,0.673301909200957,-0.919408069317468,0.36573540338801,"Abcc5"
"sexM",-0.675447603460282,0.823639082722809,-0.820077164414501,0.420242630007952,"Abcd3"
"sexM",-1.55718722208996,0.574925738872605,-2.70850149298154,0.0112195066078582,"Abhd18"
"sexM",-0.651598177624897,0.418539387201015,-1.55683837065482,0.127587608839816,"Abi1"
"sexM",0.939105409637475,0.799765759337717,1.17422557626766,0.251825082565272,"Abi3bp"
"sexM",0.159848704692911,0.603297644976812,0.264958277268022,0.792915854072453,"Abl2"
"sexM",-0.240312303712518,0.27176958408215,-0.884250180255188,0.380481387291215,"Ablim1"
"sexM",-0.624154297486583,0.799443522112627,-0.780735949723102,0.445104813938925,"Ablim3"
"sexM",0.628608640768594,0.685866558356078,0.916517408685557,0.367509807205135,"Abra"
"sexM",-0.476677734137221,0.68816710804373,-0.692677299692926,0.493508696950657,"Abtb2"
"sexM",-0.182321556793954,0.447813635828795,-0.407137126265752,0.68625315999426,"Acacb"
"sexM",0.0689928714409614,0.698915811895661,0.0987141373348428,0.922259173110641,"Acadm"
"sexM",-0.0560894666510442,0.694431222403001,-0.0807703698243188,0.936220316429413,"Acap2"
"sexM",-0.223143551314182,0.688870476516171,-0.323926716155245,0.748799565063116,"Acat1"
"sexM",0.25131442827484,0.746787398693147,0.336527408891248,0.740591649548664,"Acer2"
"sexM",-0.054724899689245,0.68502552535331,-0.0798873876429934,0.936875569545003,"Acer3"
"sexM",1.16315080980568,0.738616347700457,1.57476992409785,0.128401059269266,"Ackr3"
"sexM",0.914689450500946,0.545733509013915,1.67607345965194,0.102388929055795,"Aco2"
"sexM",0.28946619425685,0.517685348228478,0.559154697438136,0.581460507590926,"Acox1"
"sexM",1.09605146780561,0.482886790281802,2.26978971026725,0.0296778565476573,"Acss1"
"sexM",-1.15745278869104,0.690766379957014,-1.67560672070211,0.105802145811288,"Actc1"
"sexM",0.49740260343385,0.278808280944952,1.78403095398755,0.0820061544558135,"Actn2"
"sexM",0.878550403891308,1.05214121426202,0.835011871013468,0.416812809058858,"Actn4"
"sexM",-0.451985122092768,0.585841755371342,-0.77151401030859,0.44558022274757,"Actr2"
"sexM",0.0465200145640344,0.536033310214433,0.0867856785717751,0.931264340345507,"Actr3"
"sexM",-0.747872080249192,0.57696476296526,-1.29621794649221,0.203382715595736,"Acvr2a"
"sexM",-0.152961972406448,0.297361156838819,-0.514397959816113,0.609112212655259,"Acyp2"
"sexM",0.182321556793955,0.593332472725938,0.30728396839013,0.760823128263883,"Adam10"
"sexM",-1.01160091167848,0.692979175746609,-1.45978544101068,0.159147807746625,"Adam17"
"sexM",0.197168064904037,0.481146117104938,0.409788332264633,0.684324193885233,"Adam19"
"sexM",0.0346855579917062,0.87225025876282,0.0397656035561438,0.968771969768842,"Adamts12"
"sexM",-0.133050507766033,0.483573148336997,-0.275140396491394,0.78497716490343,"Adamts9"
"sexM",-0.0588405000229332,0.610618676617196,-0.0963621033488647,0.924067723371618,"Adarb1"
"sexM",0.613104472886409,0.605718441871685,1.0121938354591,0.319038040454227,"Adcy9"
"sexM",-0.641853886172395,0.587796981895314,-1.09196526341932,0.285689320402464,"Adgrf5"
"sexM",-0.980829241942318,0.69693594860661,-1.40734488427997,0.172145062221483,"Adgrl2"
"sexM",0.356674943938557,0.71138679490355,0.501379764839345,0.621084074463989,"Adgrl4"
"sexM",-0.337882444524416,0.265180404281564,-1.27416068106472,0.207964151876878,"Adk"
"sexM",-0.405465108108163,0.676775212897273,-0.599113413702562,0.554711037480438,"Adprhl1"
"sexM",-0.440150666096055,0.579732591887305,-0.759230500847219,0.454292555901786,"Adra1a"
"sexM",0.681718484279173,0.358071893104496,1.90385924560749,0.0625780947011204,"Aff1"
"sexM",0.463572738915446,0.575004556532368,0.806207070272756,0.425567648621974,"Afg1l"
