celltype,condition,group_id,gene,HDR,log2FC,pval,padj,AR,N
MacFib,F1_Young,MacFib__F1_Young,Fhl2,-14.07080759941057,-0.00623869097975671,8.49556761235908e-15,1.3958217587106e-11,0.544933724635124,43
MacFib,F1_Young,MacFib__F1_Young,Mga,13.259960833638814,0.387023123109247,5.49590435820337e-14,4.5148854302640595e-11,0.570833333333333,40
MacFib,F1_Young,MacFib__F1_Young,Ctnnd1,11.424171665082202,0.144389909335175,3.7655492739459795e-12,2.06226581903108e-9,0.505952380952381,28
MacFib,F1_Young,MacFib__F1_Young,BC005537,10.911686087816436,0.807354922057604,1.225501683485e-11,5.03374816491463e-9,0.646341463414634,41
MacFib,F1_Young,MacFib__F1_Young,Ppp2ca,-7.916481666091799,-0.628031222613042,1.21204385459133e-8,3.96692727768648e-6,0.382857142857143,35
MacFib,F1_Young,MacFib__F1_Young,Prkag1,7.821512251264182,0.321928094887363,1.50830006143169e-8,3.96692727768648e-6,0.526666666666667,25
MacFib,F1_Young,MacFib__F1_Young,Phactr4,-7.7720852844261,-0.304854581528421,1.69010900449211e-8,3.96692727768648e-6,0.446666666666667,25
MacFib,F1_Young,MacFib__F1_Young,Ccdc88a,7.260836674046081,0.652076696579693,5.48483195260791e-8,1.09949259027186e-5,0.582258064516129,31
MacFib,F1_Young,MacFib__F1_Young,Kpna3,-7.220202747097368,-0.304854581528421,6.02278351335774e-8,1.09949259027186e-5,0.413333333333333,25
MacFib,F1_Young,MacFib__F1_Young,Ybx1,-7.1207002290752985,-0.823122237915921,7.57355477795547e-8,1.24433505001808e-5,0.326923076923077,26
MacFib,F1_Young,MacFib__F1_Young,Cebpb,-6.81559570512789,-0.169925001442313,1.52898876725755e-7,2.28375322236742e-5,0.488095238095238,21
MacFib,F1_Young,MacFib__F1_Young,Ago2,-6.622974919798116,-0.192645077942396,2.38245705061058e-7,3.19850849071692e-5,0.488505747126437,29
MacFib,F1_Young,MacFib__F1_Young,Cst3,6.596746703200918,1.29545588352617,2.53077360799269e-7,3.19850849071692e-5,0.736111111111111,24
MacFib,F1_Young,MacFib__F1_Young,Sucla2,6.273144323078163,0.131244533278252,5.33157689124604e-7,6.25698630879804e-5,0.540229885057471,29
MacFib,F1_Young,MacFib__F1_Young,Slc25a46,-6.234947729181616,-0.241008099503795,5.82173282770509e-7,6.37673802394631e-5,0.444444444444444,30
MacFib,F1_Young,MacFib__F1_Young,Mapk8ip3,6.156421647787724,0.0614005446641432,6.9755483323637e-7,7.16301619379597e-5,0.533333333333333,30
MacFib,F1_Young,MacFib__F1_Young,Tjp1,-6.022446256559168,-0.074000581443777,9.49628507362935e-7,8.908805386539e-5,0.552083333333333,24
MacFib,F1_Young,MacFib__F1_Young,Il6st,-6.010545586485383,-0.387023123109247,9.76010328409629e-7,8.908805386539e-5,0.430952380952381,35
MacFib,F1_Young,MacFib__F1_Young,Rsbn1l,5.959345023710684,0.137503523749935,1.0981330848659e-6,9.49596136018252e-5,0.486821705426357,43
MacFib,F1_Young,MacFib__F1_Young,Itgb5,5.900471297346847,1.37851162325373,1.25755996413816e-6,1.0330855105395e-4,0.708695652173913,23
MacFib,F1_Young,MacFib__F1_Young,Mark2,5.877803715203808,0.628031222613042,1.32494022311588e-6,1.0366079936092e-4,0.565315315315315,37
MacFib,F1_Young,MacFib__F1_Young,Agps,-5.844887279911823,-0.447458976971221,1.42926487263399e-6,1.0674009935171e-4,0.3984375,32
MacFib,F1_Young,MacFib__F1_Young,Nt5dc3,5.81180109449719,0.932885804141463,1.54240670861309e-6,0.00011018148792396999,0.657407407407407,18
MacFib,F1_Young,MacFib__F1_Young,Arid2,5.772517744899242,0.67137725253863,1.68842687040667e-6,1.1558688950325e-4,0.630813953488372,43
MacFib,F1_Young,MacFib__F1_Young,Zbtb11,-5.725590725417965,-0.263034405833794,1.88108870010647e-6,1.2362514937099e-4,0.476190476190476,21
MacFib,F1_Young,MacFib__F1_Young,Mcl1,5.47130469730013,0.485426827170242,3.37827735987053e-6,2.1348114239489e-4,0.555555555555556,33
MacFib,F1_Young,MacFib__F1_Young,Ppp2r5a,5.4308058231954375,0.53051471669878,3.70846493383112e-6,2.2566695875127e-4,0.610648148148148,36
MacFib,F1_Young,MacFib__F1_Young,Fbxw4,-5.387625601689161,-0.610053481683987,4.09613628906737e-6,2.403554258192e-4,0.380952380952381,35
MacFib,F1_Young,MacFib__F1_Young,Zyg11b,-5.31998675050102,-0.0544477840223763,4.78644694639547e-6,2.711769769975e-4,0.456140350877193,38
MacFib,F1_Young,MacFib__F1_Young,Fam120a,-5.248050576070551,-0.667424660913129,5.64871188508661e-6,3.0936112090657e-4,0.407407407407407,27
MacFib,F1_Young,MacFib__F1_Young,Clint1,-5.141318225664142,-0.192645077942396,7.22240394032833e-6,3.827874088374e-4,0.435897435897436,39
MacFib,F1_Young,MacFib__F1_Young,Ppp4r1,-5.12502385349947,-0.42449782852791,7.49853022739848e-6,3.8500266136299e-4,0.407349896480331,46
MacFib,F1_Young,MacFib__F1_Young,Gm12940,4.966101569336537,0.0703893278913981,1.08118106370621e-5,5.3829711747554e-4,0.535714285714286,28
MacFib,F1_Young,MacFib__F1_Young,Qrich1,-4.939707319817783,-0.243925582886089,1.14892764714865e-5,5.5520238948977e-4,0.417424242424242,44
MacFib,F1_Young,MacFib__F1_Young,Myh9,0,0,1.85956590496397e-5,8.7293336624451e-4,0.534408602150538,31
MacFib,F1_Young,MacFib__F1_Young,Srrm1,-4.6999277646708775,-0.473931188332412,1.99559421054429e-5,9.107670244234e-4,0.42816091954023,29
MacFib,F1_Young,MacFib__F1_Young,Coro6,4.67356946519689,0.447458976971221,2.12046219903843e-5,9.1960798006779e-4,0.547395833333333,32
MacFib,F1_Young,MacFib__F1_Young,Trappc8,4.672251235534221,0.343954401217361,2.12690829230531e-5,9.1960798006779e-4,0.592592592592593,36
MacFib,F1_Young,MacFib__F1_Young,Spag9,-4.522166106380838,-0.321928094887362,3.00492677621693e-5,0.00126592171623703,0.441654742826618,64
MacFib,F1_Young,MacFib__F1_Young,Mapk1,-4.482399042055614,-0.563900885193326,3.29306996542809e-5,0.00135262848829959,0.379047619047619,35
