"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi"
"Actn2_rep2",0.5209941244492,0.519641990112162,0.14402862183207,0.176163871430439,0.185524352302156,7.27366666666667,3000,6.943064422056
"Actn2",0.511181516938993,0.514817858892697,0.151062810632343,0.176209221088091,0.181513786841785,7.06466666666667,3000,6.61976297021112
"Actn2_rep1",0.530388799043104,0.524894918578302,0.165448932105613,0.181045498608833,0.180556444253969,7.00833333333333,3000,6.04416110320772
"Myom1",0.526806169458059,0.527243258515501,0.0859738789486863,0.147410926858153,0.175280772497781,6.60666666666667,3000,11.6314398306589
"Pln",0.572729223075666,0.574654887809132,0.216114421937871,0.19516626225015,0.172737573152764,6.095,3000,4.62717846885517
"Pln_rep1",0.611791700008467,0.617123532728948,0.215843698279945,0.195133279510329,0.172844217236408,5.99333333333333,3000,4.63298214387997
"Pln_rep3",0.563749639727847,0.568139475904458,0.217970899326807,0.196087882414235,0.17306843746446,5.91733333333333,3000,4.58776838141447
"Pln_rep4",0.567990101006293,0.571676739100584,0.225405561692294,0.198938438825379,0.173110083117764,5.90666666666667,3000,4.43644776327713
"Pln_rep2",0.574781956484632,0.571888224021221,0.206871090882841,0.191914289579031,0.173131858904992,5.90133333333333,3000,4.83392820008059
"Ank2",0.377612828710779,0.378742755563194,0.228771559278827,0.200299240777729,0.173236202699466,5.87766666666667,3000,4.37117272423361
"Mast2_rep1",0.326508699009271,0.327808352568302,0.133924218621153,0.165352044892577,0.174871643098994,5.654,3000,7.46690934840408
"Mast2_rep3",0.484118752013599,0.485136295624002,0.125558455343233,0.162210525591856,0.174925638654885,5.64866666666667,3000,7.96441782647251
"Mast2",0.681487485286164,0.681153254406002,0.132446657930001,0.166386054029326,0.17730790492139,5.461,3000,7.55020938715199
"Mast2_rep2",0.488232822174599,0.485482534659503,0.129844921683681,0.165414770540728,0.177333438296004,5.45933333333333,3000,7.701494883536
