gene,sex,ratio,celltype,condition
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.6,Cardiomyocyte,F1_Aged
Airn,M,0.4782608695652174,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8888888888888888,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.4375,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9166666666666666,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9545454545454546,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8823529411764706,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8888888888888888,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
Airn,M,0.7272727272727273,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8888888888888888,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9166666666666666,Cardiomyocyte,F1_Aged
Airn,M,0.9230769230769231,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.95,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,0.5,Cardiomyocyte,F1_Aged
Airn,M,0.8666666666666667,Cardiomyocyte,F1_Aged
Airn,M,0.8666666666666667,Cardiomyocyte,F1_Aged
Airn,M,0.9,Cardiomyocyte,F1_Aged
Airn,M,0.9166666666666666,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9375,Cardiomyocyte,F1_Aged
Airn,M,0.7777777777777778,Cardiomyocyte,F1_Aged
Airn,M,0.9,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,0.5384615384615384,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9166666666666666,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,0.8888888888888888,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.6428571428571429,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9375,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.42857142857142855,Cardiomyocyte,F1_Aged
Airn,M,0.8,Cardiomyocyte,F1_Aged
Airn,M,0.9545454545454546,Cardiomyocyte,F1_Aged
Airn,M,0.9473684210526315,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8333333333333334,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.5,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9,Cardiomyocyte,F1_Aged
Airn,M,0.6071428571428571,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.9166666666666666,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
