"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"1700025G04Rik",0.4752,0.463534675615213,149,0.238,0.255615233091094,0.252369666007798,-0.0832555036493523,-0.0216850302218319,0.83503002462114,1
"2210408F21Rik",0.6254,0.619883040935672,57,1.551,0.781460037716666,0.293969964272588,0.747233929620033,-2.29636953519758,0.0321076644233896,1
"2610037D02Rik",0.3725,0.363636363636364,66,0.3897,0.331024373507396,0.27955855980363,-0.707819248506689,0.019587425500724,1,1
"2610307P16Rik",0.5164,0.517115600448934,216,0.4575,0.332190687417963,0.242015909916369,0.0874628412503393,0.125933497162436,1,1
"4632427E13Rik",0.4973,0.509132420091324,73,0.5927,0.397657632600518,0.263589757525191,-0.099535673550915,0.0366365226936125,1,1
"4732440D04Rik",0.3532,0.364864864864865,74,1e-04,0.174481763104845,0.2664338128488,-0.874469117916141,0.0397179161322967,1,1
"4732471J01Rik",0.5171,0.525900900900901,74,0.0755,0.201252569309378,0.263589757525191,0.099535673550915,0.00335173927933852,1,1
"4930523C07Rik",0.4552,0.449367088607595,79,1.6689,0.801852530267173,0.256734097894729,-0.15200309344505,-1.30898052069146,0.10566013084124,1
"5031425E22Rik",0.5294,0.529411764705882,85,1.1176,0.590161142851236,0.253164785514788,0.169925001442312,-2.10459292665311,0.0402056297027873,1
"9530026P05Rik",0.4599,0.453260261520173,227,0.6149,0.385074498883543,0.231495117961465,-0.162729500038108,-1.44353538652956,0.0892931389553043,1
"9630014M24Rik",0.4554,0.454166666666667,80,2.9013,1.2650163170294,0.249347588209574,-0.34577483684173,-0.346894261474439,0.404878745220877,1
"AW554918",0.473,0.477891156462585,98,0.3142,0.280468058050822,0.246132213996289,-0.175849835399418,-0.0202903059938251,0.840349614603227,1
"Aak1",0.4755,0.47411003236246,103,0.1896,0.232149841391883,0.24460219108587,-0.146841388329271,-2.61229045450911,0.0222698122205011,1
"Abca8a",0.5595,0.572222222222222,36,0.1249,0.263528784811264,0.330054297335071,0.29373120305671,-0.116044192020418,0.629979628326707,1
