gene,condition
1700025G04Rik,F1_Aged
2210408I21Rik,F1_Aged
2900093K20Rik,F1_Aged
4833420G17Rik,F1_Aged
6820431F20Rik,F1_Aged
A730049H05Rik,F1_Aged
Abca1,F1_Aged
Acss3,F1_Aged
Actn1,F1_Aged
Adam19,F1_Aged
Adamts19,F1_Aged
Aff3,F1_Aged
Afg2a,F1_Aged
Ahcyl2,F1_Aged
Airn,F1_Aged
Angpt1,F1_Aged
Ankrd28,F1_Aged
Ankrd44,F1_Aged
Antxr2,F1_Aged
Arl5b,F1_Aged
Arpc2,F1_Aged
Auts2,F1_Aged
Bag3,F1_Aged
Baz1a,F1_Aged
Bend6,F1_Aged
Birc3,F1_Aged
Bmal1,F1_Aged
Bmpr2,F1_Aged
Calcrl,F1_Aged
Capn2,F1_Aged
Ccnl1,F1_Aged
Cd44,F1_Aged
Cdh19,F1_Aged
Cdk8,F1_Aged
Cebpb,F1_Aged
Cep85l,F1_Aged
Cgnl1,F1_Aged
Chn1,F1_Aged
Col5a3,F1_Aged
Col8a1,F1_Aged
Colec12,F1_Aged
Copa,F1_Aged
Coq10b,F1_Aged
Crim1,F1_Aged
Ctnnd1,F1_Aged
Cuedc1,F1_Aged
Cxcl1,F1_Aged
Dennd1a,F1_Aged
Dennd2a,F1_Aged
Dgkh,F1_Aged
Dleu2,F1_Aged
Dnajc1,F1_Aged
Dnm3os,F1_Aged
Dusp16,F1_Aged
Ebf2,F1_Aged
Ece1,F1_Aged
Elk3,F1_Aged
Ell2,F1_Aged
Elovl5,F1_Aged
Enah,F1_Aged
Epas1,F1_Aged
Epha7,F1_Aged
Eprs1,F1_Aged
Eya4,F1_Aged
Ezr,F1_Aged
Fam20a,F1_Aged
Fblim1,F1_Aged
Fbn2,F1_Aged
Fermt2,F1_Aged
Fgf7,F1_Aged
Filip1,F1_Aged
Fndc1,F1_Aged
Fosl2,F1_Aged
Gab1,F1_Aged
Galnt16,F1_Aged
Gbe1,F1_Aged
Gclc,F1_Aged
Gm17501,F1_Aged
Gng12,F1_Aged
Gpr39,F1_Aged
Grb10,F1_Aged
Gsta3,F1_Aged
Gulp1,F1_Aged
Has2os,F1_Aged
Heg1,F1_Aged
Hivep1,F1_Aged
Hnrnpll,F1_Aged
Hspa12b,F1_Aged
Htra3,F1_Aged
Ifih1,F1_Aged
Igfbp7,F1_Aged
Il1rl2,F1_Aged
Irag1,F1_Aged
Irak2,F1_Aged
Itpkb,F1_Aged
Junb,F1_Aged
Kdm7a,F1_Aged
Kif13a,F1_Aged
Klf7,F1_Aged
Klhl29,F1_Aged
Kmt2c,F1_Aged
Limd1,F1_Aged
Litaf,F1_Aged
Lpar1,F1_Aged
Lrig1,F1_Aged
Lum,F1_Aged
Lyn,F1_Aged
Man1c1,F1_Aged
Mcu,F1_Aged
Mdga2,F1_Aged
Mier1,F1_Aged
Msi2,F1_Aged
Mtcl1,F1_Aged
Mtss1,F1_Aged
Mycbp2,F1_Aged
Myh6,F1_Aged
Myh9,F1_Aged
Necab1,F1_Aged
Nedd9,F1_Aged
Nek7,F1_Aged
Nfat5,F1_Aged
Nfe2l2,F1_Aged
Nfkbia,F1_Aged
Nmt2,F1_Aged
Npas3,F1_Aged
Nr4a1,F1_Aged
Nr6a1,F1_Aged
Nup98,F1_Aged
Osbpl6,F1_Aged
Osbpl9,F1_Aged
Pak1,F1_Aged
Palmd,F1_Aged
Papss2,F1_Aged
Parp8,F1_Aged
Parva,F1_Aged
Pcolce2,F1_Aged
Peli2,F1_Aged
Phlda1,F1_Aged
Pi15,F1_Aged
Pid1,F1_Aged
Pld1,F1_Aged
Plekha6,F1_Aged
Plekhg1,F1_Aged
Plekhh2,F1_Aged
Plod2,F1_Aged
Ppfia2,F1_Aged
Ppp1r12a,F1_Aged
Prkce,F1_Aged
Prrx1,F1_Aged
Ptp4a2,F1_Aged
Ptprj,F1_Aged
Pxk,F1_Aged
Qki,F1_Aged
Rad51b,F1_Aged
Rap1a,F1_Aged
Rnf213,F1_Aged
Rnf217,F1_Aged
Ror1,F1_Aged
Runx1t1,F1_Aged
Schip1,F1_Aged
Sdc2,F1_Aged
Sema5a,F1_Aged
Septin7,F1_Aged
Septin9,F1_Aged
Sgce,F1_Aged
Sgip1,F1_Aged
Sh3pxd2b,F1_Aged
Sh3rf3,F1_Aged
Shroom3,F1_Aged
Sik2,F1_Aged
Slc1a5,F1_Aged
Slc2a13,F1_Aged
Slc4a4,F1_Aged
Slf2,F1_Aged
Smoc2,F1_Aged
Smurf2,F1_Aged
Sntb1,F1_Aged
Spsb1,F1_Aged
St3gal4,F1_Aged
St6gal1,F1_Aged
Stard13,F1_Aged
Stk40,F1_Aged
Syk,F1_Aged
Tbc1d5,F1_Aged
Tcp1,F1_Aged
Tgfb1,F1_Aged
Tgfbr2,F1_Aged
Thbs2,F1_Aged
Tiparp,F1_Aged
Tll2,F1_Aged
Tmem100,F1_Aged
Tmtc1,F1_Aged
Tpm4,F1_Aged
Trabd2b,F1_Aged
Ttc19,F1_Aged
Uaca,F1_Aged
Ubap2l,F1_Aged
Ube2d3,F1_Aged
Ube2h,F1_Aged
Ubr3,F1_Aged
Ubtd1,F1_Aged
Ubtd2,F1_Aged
Vapa,F1_Aged
Vav3,F1_Aged
Vcam1,F1_Aged
Vgll3,F1_Aged
Vmp1,F1_Aged
Wac,F1_Aged
Wsb1,F1_Aged
Zbtb7c,F1_Aged
Zfp521,F1_Aged
Zhx2,F1_Aged
Znrf1,F1_Aged
Abi1,F1_Young
Acer2,F1_Young
Adamtsl1,F1_Young
Adcy2,F1_Young
Agap1,F1_Young
App,F1_Young
Arhgef3,F1_Young
Arid1b,F1_Young
Atp2a2,F1_Young
Axl,F1_Young
B3galt1,F1_Young
Birc6,F1_Young
C330020E22Rik,F1_Young
Cacna1c,F1_Young
Cacnb4,F1_Young
Cadm1,F1_Young
Ccdc80,F1_Young
Cdk14,F1_Young
Cdv3,F1_Young
Cep112,F1_Young
Cmip,F1_Young
Cmklr1,F1_Young
Col14a1,F1_Young
Col4a1,F1_Young
Col4a2,F1_Young
Col4a3,F1_Young
Cp,F1_Young
Cped1,F1_Young
Creb3l2,F1_Young
Csgalnact1,F1_Young
Cst3,F1_Young
Dcbld2,F1_Young
Dchs2,F1_Young
Ddr2,F1_Young
Dnajc3,F1_Young
Dnm3,F1_Young
Dock10,F1_Young
Dpep1,F1_Young
Dpt,F1_Young
Elf1,F1_Young
Etv6,F1_Young
Fam13a,F1_Young
Farp1,F1_Young
Fbln2,F1_Young
Fgd5,F1_Young
Frmd6,F1_Young
Frzb,F1_Young
Gls,F1_Young
Grk5,F1_Young
Gxylt2,F1_Young
Hsp90b1,F1_Young
Hspa5,F1_Young
Hspb1,F1_Young
Hsph1,F1_Young
Hycc1,F1_Young
Il1r1,F1_Young
Impact,F1_Young
Ipo7,F1_Young
Iqgap2,F1_Young
Itga1,F1_Young
Jarid2,F1_Young
Kcnab1,F1_Young
Kcnc2,F1_Young
Khdrbs3,F1_Young
Lmo7,F1_Young
Lrp1,F1_Young
Ltbp1,F1_Young
Malat1,F1_Young
Mcf2l,F1_Young
Medag,F1_Young
Meis2,F1_Young
Mmp16,F1_Young
Mpdz,F1_Young
Mt1,F1_Young
Nedd4,F1_Young
Ngf,F1_Young
Nipbl,F1_Young
Nlk,F1_Young
Nr3c2,F1_Young
Nrip1,F1_Young
Nrp2,F1_Young
Ntrk3,F1_Young
Osmr,F1_Young
Pakap,F1_Young
Pam,F1_Young
Pdia3,F1_Young
Pdlim1,F1_Young
Pdlim3,F1_Young
Pdlim5,F1_Young
Prkca,F1_Young
Ptpn12,F1_Young
Ptpn14,F1_Young
Ptprg,F1_Young
Ralgapa1,F1_Young
Rapgef1,F1_Young
Rgs7,F1_Young
Rock2,F1_Young
Rps2,F1_Young
Rsrc2,F1_Young
Samd4,F1_Young
Sec63,F1_Young
Sema3d,F1_Young
Septin11,F1_Young
Sh3d19,F1_Young
Slc8a1,F1_Young
Slco2b1,F1_Young
Snd1,F1_Young
St8sia4,F1_Young
Stag1,F1_Young
Stim1,F1_Young
Ston2,F1_Young
Sulf1,F1_Young
Tcim,F1_Young
Tnpo1,F1_Young
Top1,F1_Young
Tpp2,F1_Young
Ube2e2,F1_Young
Utrn,F1_Young
Wnk1,F1_Young
Wwtr1,F1_Young
Xdh,F1_Young
Zfc3h1,F1_Young
