gene,pval,padj,celltype,condition,chromosome
1110002E22Rik,0.0739553904022897,0.309376976059454,Cardiomyocyte,F1_Aged,3
1110002L01Rik,7.5783890533912e-4,0.0041990908792944,Cardiomyocyte,F1_Aged,12
1110019D14Rik,6.722227870478e-4,0.0037525914318559,Cardiomyocyte,F1_Aged,6
1600010M07Rik,0.0742550541749342,0.310243719498013,Cardiomyocyte,F1_Aged,7
1700025G04Rik,7.26816182349727e-113,1.26345507346287e-111,Cardiomyocyte,F1_Aged,1
1700087I21Rik,4.15903203413315e-30,3.85990386570311e-29,Cardiomyocyte,F1_Aged,14
1700096K18Rik,7.90272757108845e-5,4.7093518651868e-4,Cardiomyocyte,F1_Aged,5
2010001K21Rik,4.5582560596768397e-11,3.39843312893684e-10,Cardiomyocyte,F1_Aged,13
2210408F21Rik,3.82160570804664e-116,6.83812648026478e-115,Cardiomyocyte,F1_Aged,6
2310014F06Rik,6.201857022834279e-33,5.89439952170227e-32,Cardiomyocyte,F1_Aged,7
2310016D03Rik,0.0971333099316181,0.390511989000095,Cardiomyocyte,F1_Aged,12
2310039L15Rik,0.0449570804472203,0.202321938162876,Cardiomyocyte,F1_Aged,10
2310057M21Rik,8.6047011765691e-4,0.00474815336305749,Cardiomyocyte,F1_Aged,7
2610008E11Rik,6.52752429328057e-7,4.30252337995213e-6,Cardiomyocyte,F1_Aged,10
2610035D17Rik,2.75662550640104e-10,2.03040144324379e-9,Cardiomyocyte,F1_Aged,11
2810449D17Rik,1.3480454928823e-12,1.0420950757189199e-11,Cardiomyocyte,F1_Aged,19
3425401B19Rik,0.0626879852817661,0.269811662117159,Cardiomyocyte,F1_Aged,14
4632427E13Rik,9.51901947984828e-127,1.91235391346652e-125,Cardiomyocyte,F1_Aged,7
4732440D04Rik,2.942552997285019e-215,2.29587565253285e-213,Cardiomyocyte,F1_Aged,1
4833420G17Rik,8.928523916652401e-10,6.448912323007281e-9,Cardiomyocyte,F1_Aged,13
4921511C10Rik,0.0014511050160449,0.00785868818213179,Cardiomyocyte,F1_Aged,3
4930402D18Rik,1.25945288316121e-5,7.89068986555715e-5,Cardiomyocyte,F1_Aged,15
4930412C18Rik,3.0859652534023e-4,0.00176981426071197,Cardiomyocyte,F1_Aged,4
4930428N03Rik,6.8789904154592e-4,0.00383372306376508,Cardiomyocyte,F1_Aged,14
4930447C04Rik,0.0144778740675482,0.0706006795009072,Cardiomyocyte,F1_Aged,12
4930458D05Rik,5.0553128946179e-4,0.00286013065117086,Cardiomyocyte,F1_Aged,5
4930481A15Rik,4.04034590014669e-38,3.99863141445196e-37,Cardiomyocyte,F1_Aged,19
4930512H18Rik,2.8668048588349e-4,0.00164694012010126,Cardiomyocyte,F1_Aged,8
4930517O19Rik,0.0243105314087914,0.114472747896835,Cardiomyocyte,F1_Aged,14
