celltype,condition,chromosome,n_sig
Cardiomyocyte,F1_Aged,X,143
Cardiomyocyte,F1_Aged,2,128
Cardiomyocyte,F1_Aged,11,112
Cardiomyocyte,F1_Aged,5,110
Cardiomyocyte,F1_Aged,4,94
Cardiomyocyte,F1_Aged,10,92
Cardiomyocyte,F1_Aged,9,91
Cardiomyocyte,F1_Aged,3,89
Cardiomyocyte,F1_Aged,1,88
Cardiomyocyte,F1_Aged,6,84
Cardiomyocyte,F1_Aged,7,84
Cardiomyocyte,F1_Aged,18,76
Cardiomyocyte,F1_Aged,13,73
Cardiomyocyte,F1_Aged,15,64
Cardiomyocyte,F1_Aged,8,64
Cardiomyocyte,F1_Aged,14,60
Cardiomyocyte,F1_Aged,19,60
Cardiomyocyte,F1_Aged,12,56
Cardiomyocyte,F1_Aged,17,55
Cardiomyocyte,F1_Aged,16,43
Cardiomyocyte,F1_Aged,Unknown,10
Cardiomyocyte,F1_Aged,Y,1
