"pipeline","threshold","TP","FP","FN","TN","TPR","FPR"
"orig",0.1,14,54,3,29,0.823529411764706,0.650602409638554
"phi",0.1,14,53,3,30,0.823529411764706,0.63855421686747
"glmmtmb",0.1,14,54,3,29,0.823529411764706,0.650602409638554
