"celltype","gene","term","estimate","se","z","p"
"Cardiomyocyte","Airn","conditionF1_Young",2.36053982698943,0.0877842278485373,26.8902499326222,2.28172149649899e-139
"Cardiomyocyte","Pde7b","conditionF1_Young",-0.420873352645514,0.05516268886685,-7.62967435582056,3.5814762747798e-14
"Cardiomyocyte","Grb10","conditionF1_Young",-4.1940933548812,0.521076590111452,-8.04889997837772,5.1442371363719e-13
"Cardiomyocyte","Kcnq1ot1","conditionF1_Young",2.01294306094715,0.259558176814676,7.75526737647101,1.0437692754614e-12
"Cardiomyocyte","Clic4","conditionF1_Young",-0.521419602946938,0.0746793044548302,-6.98211648800665,4.783353805453e-12
"Cardiomyocyte","Tacc2","conditionF1_Young",-0.311938227818852,0.045388693560628,-6.87259763055707,8.69869249609883e-12
"Cardiomyocyte","Rbpms","conditionF1_Young",0.221060414952364,0.0396885821457129,5.56987433163425,2.84908837638899e-08
"Cardiomyocyte","Fhl2","conditionF1_Young",-0.114151527222934,0.0234200313121024,-4.87409797628859,1.12419950897497e-06
"Cardiomyocyte","Tpm1","conditionF1_Young",-0.337445492416034,0.0716032646369139,-4.71271099337654,2.72474548248819e-06
"Cardiomyocyte","Ppargc1a","conditionF1_Young",-0.208191675763331,0.0512982410434251,-4.05845642128533,5.13848883886003e-05
"Cardiomyocyte","Clip4","conditionF1_Young",1.17771595262187,0.285932938382166,4.11885373992059,0.000112990764608408
"Cardiomyocyte","Gja1","conditionF1_Young",-0.747111079599088,0.196764142264685,-3.79698796233961,0.000189456780362659
"Cardiomyocyte","Prkg1","conditionF1_Young",0.429770575013163,0.114867969568495,3.74143093699321,0.000197115126191317
"Cardiomyocyte","Atp2a2","conditionF1_Young",0.0605344874475617,0.0170188072457233,3.55691715485958,0.000378428506461638
"Cardiomyocyte","Magi1","conditionF1_Young",0.21249950149676,0.0600897718671471,3.53636725342504,0.000418408354923801
"Cardiomyocyte","Mbnl2","conditionF1_Young",0.101068724830625,0.0286565692493039,3.5268954895248,0.000426634760028592
"Cardiomyocyte","Grb14","conditionF1_Young",0.342794957875163,0.0969737630216597,3.53492477958804,0.000440430276512947
"Cardiomyocyte","Dtna","conditionF1_Young",-0.436034819655157,0.122935032800412,-3.54687195116358,0.000442905630032447
"Cardiomyocyte","Zfp568","conditionF1_Young",-1.70237444527169,0.473320115678382,-3.59666616499443,0.000616645322621213
"Cardiomyocyte","Amd1","conditionF1_Young",-0.766853442345629,0.220821145197177,-3.47273555555962,0.000660770119526584
"Cardiomyocyte","Sf3b1","conditionF1_Young",-0.402806774656535,0.119117338698463,-3.38159649181059,0.000785621452521698
"Cardiomyocyte","Ppm1l","conditionF1_Young",0.338634706216505,0.101049050307157,3.35119137871322,0.00085025184670792
"Cardiomyocyte","Irf2","conditionF1_Young",0.673232529344588,0.198595587684968,3.38996720517546,0.000910083675422718
"Cardiomyocyte","Lpl","conditionF1_Young",0.134827565471325,0.0406062071620923,3.32036835977118,0.00091200604607856
"Cardiomyocyte","Tgm2","conditionF1_Young",0.727247628557767,0.222465257921911,3.26903910907762,0.00131954153855133
"Cardiomyocyte","Slco3a1","conditionF1_Young",-0.16974139676616,0.0527800112029876,-3.21601668694893,0.00132876240854602
"Cardiomyocyte","Rock2","conditionF1_Young",0.158005343598671,0.0492004103229115,3.2114639402731,0.00134986351111982
"Cardiomyocyte","Fry","conditionF1_Young",-0.129105149735376,0.0404236597927319,-3.19380161017951,0.0014249257642856
"Cardiomyocyte","Malat1","conditionF1_Young",0.0187277080757555,0.00586910745620458,3.19089541561508,0.00142611181595032
"Cardiomyocyte","Pdzrn3","conditionF1_Young",0.187198831806024,0.0592234467427823,3.16089052734572,0.00160084985505304
"Cardiomyocyte","Nexn","conditionF1_Young",0.148222375110789,0.0474913258929277,3.1210409969384,0.00184083500405719
"Cardiomyocyte","Enah","conditionF1_Young",0.197331446063775,0.0635826961092934,3.10354008462584,0.00195787197685103
"Cardiomyocyte","Myoz2","conditionF1_Young",0.158804773573653,0.0514721149058847,3.08525837463689,0.00207080378454179
"Cardiomyocyte","Slc8a1","conditionF1_Young",-0.0494571262763752,0.0161948492481663,-3.05388000335816,0.00226977479362273
"Cardiomyocyte","Pde4b","conditionF1_Young",-0.0884724202723308,0.0292869672003694,-3.0208802320513,0.00253793949613389
"Cardiomyocyte","Tmem65","conditionF1_Young",0.310377116067448,0.103103566205784,3.01034316745133,0.00272882466805126
"Cardiomyocyte","Lncpint","conditionF1_Young",-0.0766003166876867,0.0255598116201461,-2.99690458701623,0.00274423213337965
"Cardiomyocyte","Ank","conditionF1_Young",-0.182266561442282,0.0608368179829241,-2.9959910377535,0.00278584771790419
"Cardiomyocyte","Zfp385b","conditionF1_Young",0.678778108470883,0.23175063778188,2.92891581644638,0.00390168813812752
"Cardiomyocyte","Igf2r","conditionF1_Young",0.925245854239472,0.309241148263254,2.99198816016496,0.00395355060712037
"Cardiomyocyte","Prdm16","conditionF1_Young",-0.855795091180326,0.286957560029525,-2.98230543601037,0.00425764000385381
"Cardiomyocyte","Nfe2l2","conditionF1_Young",-1.14324664974359,0.38870818350519,-2.94114376351514,0.00452630088500588
"Cardiomyocyte","Pdzd2","conditionF1_Young",0.264402301083533,0.0934074288493617,2.83063461162104,0.00481270663563875
"Cardiomyocyte","Strn3","conditionF1_Young",0.231624266490745,0.0838656505013014,2.76184904196445,0.00597071921444412
"Cardiomyocyte","1700025G04Rik","conditionF1_Young",0.482480745203819,0.175393873101638,2.7508415013119,0.00642165346641786
"Cardiomyocyte","Atp1a1","conditionF1_Young",0.254704203749042,0.0934027918887203,2.72694422295744,0.00657561894985614
"Cardiomyocyte","Mylk4","conditionF1_Young",0.457851524216986,0.167185245903938,2.73858809574657,0.00669531540345237
"Cardiomyocyte","Tcf4","conditionF1_Young",-0.647087303184615,0.235569138151185,-2.74691034769301,0.00723780847435674
"Cardiomyocyte","Zfp106","conditionF1_Young",0.642723834139415,0.235080885425801,2.73405399582043,0.00740040357671697
"Cardiomyocyte","Prkce","conditionF1_Young",0.159493444873363,0.0597175671706854,2.67079608949067,0.00768004112788393
"Cardiomyocyte","Man2a1","conditionF1_Young",0.513610664819999,0.192384380080304,2.6697108393395,0.0079853319523743
"Cardiomyocyte","Gpcpd1","conditionF1_Young",-0.0894195138712228,0.0337014720465617,-2.65328213995167,0.00800548707262424
"Cardiomyocyte","Dsp","conditionF1_Young",0.458895100636841,0.172322820799687,2.66299668556537,0.00841647805428139
"Cardiomyocyte","Fign","conditionF1_Young",-0.660614857842209,0.249708521299362,-2.64554391017451,0.00936165740758021
"Cardiomyocyte","Cacna1c","conditionF1_Young",0.0353251980485535,0.0136523225787242,2.58748633024569,0.00969291393884974
"Cardiomyocyte","Gm5532","conditionF1_Young",-0.564247659260151,0.216358947169613,-2.60792385358491,0.00990097762510389
"Cardiomyocyte","Gm26862","conditionF1_Young",0.187861547422069,0.0726951888195368,2.58423632254988,0.00991374400732621
"Cardiomyocyte","Ccar1","conditionF1_Young",-0.622863987758466,0.235089575469468,-2.64947514799252,0.0102518166993973
"Cardiomyocyte","Tead1","conditionF1_Young",0.146803434378828,0.0573426198949814,2.5601103445864,0.0105984158495177
"Cardiomyocyte","Hand2os1","conditionF1_Young",-0.167755159189469,0.0655888495396107,-2.55767802556375,0.0106939251374829
"Cardiomyocyte","Pdlim5","conditionF1_Young",0.0491445567464452,0.0196319329216417,2.50329689606211,0.01233798699017
"Cardiomyocyte","Txlnb","conditionF1_Young",-0.139407957946693,0.0562980814274484,-2.47624704806945,0.0134152998603601
"Cardiomyocyte","Mir99ahg","conditionF1_Young",0.0762293892234947,0.031316281292308,2.43417756124889,0.0149790801540426
"Cardiomyocyte","Svil","conditionF1_Young",-0.145197459929833,0.059644544585807,-2.43437955538325,0.0150821954761859
