"celltype","gene","term","estimate","se","z","p"
"Cardiomyocyte","Airn","sexM",1.0812382108191,0.0769256527383807,14.0556260795904,3.55712769033341e-43
"Cardiomyocyte","Tmem65","sexM",-1.04913678076012,0.10242106697417,-10.2433689840852,1.1630346242205e-22
"Cardiomyocyte","Lama2","sexM",0.266425105055632,0.0321951586196512,8.27531580766965,1.73317075409839e-16
"Cardiomyocyte","Celf2","sexM",0.225294348114597,0.0307116306412045,7.3357989599005,2.73167962772819e-13
"Cardiomyocyte","Gpcpd1","sexM",0.244436905572321,0.033648142189713,7.2644993056125,4.54560478859434e-13
"Cardiomyocyte","Myzap","sexM",0.199642601020285,0.0338413748004384,5.89936437859192,4.09937802916668e-09
"Cardiomyocyte","Lrrc2","sexM",0.318765455949138,0.0551676548092604,5.77812229015814,9.03266885333738e-09
"Cardiomyocyte","Gja1","sexM",1.09919185271552,0.196810730294028,5.58501993805603,6.85699717548258e-08
"Cardiomyocyte","Mpp7","sexM",1.28000202013422,0.230967066013405,5.54192440605333,1.15431118034555e-07
"Cardiomyocyte","Pdzrn3","sexM",-0.387392721181835,0.0728881688734267,-5.31489166444226,1.20964547828239e-07
"Cardiomyocyte","Pdzd2","sexM",-0.50728240231447,0.102543406003794,-4.94700168527364,9.98549765428335e-07
"Cardiomyocyte","Gm12295","sexM",0.542496782592436,0.110324153875898,4.91729837513809,1.11912904730555e-06
"Cardiomyocyte","Ppm1l","sexM",0.640793119147713,0.130608122627828,4.90622716455143,1.16918308902825e-06
"Cardiomyocyte","Efna5","sexM",-0.250770095976979,0.0517735735374218,-4.8435925674654,1.3618184962293e-06
"Cardiomyocyte","Shld1","sexM",0.290602775964288,0.0628605033575904,4.62297882521168,4.20058833185946e-06
"Cardiomyocyte","Cacna2d1","sexM",-0.23682768587585,0.0517264749471029,-4.57846172811964,4.95503434699625e-06
"Cardiomyocyte","Clasp1","sexM",0.233888778843238,0.0520376110535509,4.49461022725559,7.41087557829538e-06
"Cardiomyocyte","Magi1","sexM",-0.272227449801316,0.0638296612159787,-4.26490513368365,2.12888354437379e-05
"Cardiomyocyte","Ednra","sexM",-1.00431466645076,0.235043815521045,-4.27288275687832,3.2334349775133e-05
"Cardiomyocyte","Ank","sexM",0.237317353635406,0.0577329845136551,4.11060255475404,4.18614520034437e-05
"Cardiomyocyte","Tnfaip8","sexM",0.663622341384172,0.160960856390528,4.12288028447161,4.34847521817806e-05
"Cardiomyocyte","Foxn3","sexM",0.391583808938411,0.0950976404178448,4.11770268134783,4.46466442588793e-05
"Cardiomyocyte","Setbp1","sexM",0.362796042028993,0.0896956600938378,4.04474465820802,5.95952697779808e-05
"Cardiomyocyte","Nfe2l2","sexM",1.44313253357593,0.348689524500718,4.13873211603452,0.000102525782122062
