gene,condition
2210408F21Rik,F1_Aged
5031425E22Rik,F1_Aged
Abca6,F1_Aged
Abca9,F1_Aged
Abi1,F1_Aged
Adamts5,F1_Aged
Airn,F1_Aged
Ambra1,F1_Aged
Ank,F1_Aged
Arfgef1,F1_Aged
Arhgap10,F1_Aged
Arid2,F1_Aged
Ascc3,F1_Aged
Atf6,F1_Aged
Atf7,F1_Aged
Atp2c1,F1_Aged
B3galt1,F1_Aged
C1qtnf7,F1_Aged
Cacnb2,F1_Aged
Camkmt,F1_Aged
Cdc37l1,F1_Aged
Cdh2,F1_Aged
Cep112,F1_Aged
Ckmt2,F1_Aged
Clec3b,F1_Aged
Cmss1,F1_Aged
Cwc27,F1_Aged
Dnajc7,F1_Aged
Enah,F1_Aged
Epas1,F1_Aged
Epb41,F1_Aged
Epc1,F1_Aged
Epc2,F1_Aged
Exoc6,F1_Aged
Flrt2,F1_Aged
Fmo2,F1_Aged
Fnip1,F1_Aged
Foxp1,F1_Aged
Gdi2,F1_Aged
Gm20732,F1_Aged
Gm37376,F1_Aged
Golga4,F1_Aged
Gpcpd1,F1_Aged
Gucy1a2,F1_Aged
Heatr5a,F1_Aged
Helz,F1_Aged
Hibadh,F1_Aged
Itga6,F1_Aged
Kcnq1ot1,F1_Aged
Kmt2a,F1_Aged
Krit1,F1_Aged
Ldb3,F1_Aged
Limch1,F1_Aged
Lmo7,F1_Aged
Lnpep,F1_Aged
Lnx1,F1_Aged
Lrrfip1,F1_Aged
Mfhas1,F1_Aged
Mllt3,F1_Aged
Mnat1,F1_Aged
Mtus1,F1_Aged
Myh6,F1_Aged
Myocd,F1_Aged
Nsmce2,F1_Aged
Oxct1,F1_Aged
P4ha1,F1_Aged
Palld,F1_Aged
Palmd,F1_Aged
Pbrm1,F1_Aged
Pcsk6,F1_Aged
Pde4dip,F1_Aged
Pds5b,F1_Aged
Per3,F1_Aged
Phkb,F1_Aged
Pnisr,F1_Aged
Pparg,F1_Aged
Psme4,F1_Aged
Ptbp3,F1_Aged
Ptpra,F1_Aged
Ptprk,F1_Aged
Qrich1,F1_Aged
Rap1a,F1_Aged
Rap1gds1,F1_Aged
Rapgef6,F1_Aged
Rasa1,F1_Aged
Rbfox1,F1_Aged
Rcsd1,F1_Aged
Rhoj,F1_Aged
Rhoq,F1_Aged
Rptor,F1_Aged
Ryr2,F1_Aged
Sec24b,F1_Aged
Septin11,F1_Aged
Sesn1,F1_Aged
Shld1,F1_Aged
Slain2,F1_Aged
Slc1a5,F1_Aged
Slc25a12,F1_Aged
Slco3a1,F1_Aged
Sltm,F1_Aged
Spop,F1_Aged
Srek1,F1_Aged
Stat5b,F1_Aged
Stim1,F1_Aged
Tenm3,F1_Aged
Tlr4,F1_Aged
Tnfaip8,F1_Aged
Tnks,F1_Aged
Tnrc6b,F1_Aged
Tpm1,F1_Aged
Trak2,F1_Aged
Tulp4,F1_Aged
Ubxn4,F1_Aged
Unc13b,F1_Aged
Usp15,F1_Aged
Vgll4,F1_Aged
Virma,F1_Aged
Wapl,F1_Aged
Washc4,F1_Aged
Wdr33,F1_Aged
Wwc2,F1_Aged
Yap1,F1_Aged
Zfp148,F1_Aged
Zfyve9,F1_Aged
9530026P05Rik,F1_Young
Ank3,F1_Young
Dnajc1,F1_Young
Fndc3a,F1_Young
Fut8,F1_Young
Jak1,F1_Young
Kmt2e,F1_Young
Map3k20,F1_Young
Mir99ahg,F1_Young
Myl2,F1_Young
Myo9a,F1_Young
Myoz2,F1_Young
Nrip1,F1_Young
Nup98,F1_Young
Pfkfb2,F1_Young
Pik3c2a,F1_Young
Plekhg1,F1_Young
Rasgrf2,F1_Young
Rbfox2,F1_Young
Rhoa,F1_Young
Serpine1,F1_Young
Ssbp2,F1_Young
Tmod3,F1_Young
Tra2a,F1_Young
Usp13,F1_Young
Vmp1,F1_Young
Ywhae,F1_Young
Zbtb38,F1_Young
Zbtb7c,F1_Young
