gene,condition,padj,status,padj_other,celltype
Ankrd12,F1_Aged,0.0131990793511644,shared,0.0545669535971517,Unknown_1
Bptf,F1_Aged,0.0568094143367908,shared,2.44786057924469e-5,Unknown_1
Cav1,F1_Aged,0.0809557705230015,shared,3.44236007909341e-7,Unknown_1
Colec12,F1_Aged,8.3065050028456e-6,shared,2.65586379070594e-5,Unknown_1
Erc1,F1_Aged,0.019939107300487,shared,0.0200030997867881,Unknown_1
Fhip1a,F1_Aged,0.0542381054901515,shared,0.00950584156386203,Unknown_1
Fmo1,F1_Aged,0.0378768236882771,shared,0.00105079933160846,Unknown_1
Frmd6,F1_Aged,0.0422253040889409,shared,1.55807369198189e-5,Unknown_1
Hipk3,F1_Aged,0.0107325912077404,shared,0.0398494932167804,Unknown_1
Mfn1,F1_Aged,0.0854839996171966,shared,0.00389353607593119,Unknown_1
Prpf39,F1_Aged,3.9964900359523e-5,shared,0.00373647995189399,Unknown_1
Raph1,F1_Aged,0.0293997916267137,shared,1.57346195503691e-5,Unknown_1
Smchd1,F1_Aged,0.068727591890254,shared,0.00726691911089874,Unknown_1
Tmem245,F1_Aged,0.0952557707056552,shared,3.44236007909341e-7,Unknown_1
Ttc3,F1_Aged,0.0736932924161048,shared,0.00632081903659143,Unknown_1
Ankrd12,F1_Young,0.0545669535971517,shared,0.0131990793511644,Unknown_1
Bptf,F1_Young,2.44786057924469e-5,shared,0.0568094143367908,Unknown_1
Cav1,F1_Young,3.44236007909341e-7,shared,0.0809557705230015,Unknown_1
Colec12,F1_Young,2.65586379070594e-5,shared,8.3065050028456e-6,Unknown_1
Erc1,F1_Young,0.0200030997867881,shared,0.019939107300487,Unknown_1
Fhip1a,F1_Young,0.00950584156386203,shared,0.0542381054901515,Unknown_1
Fmo1,F1_Young,0.00105079933160846,shared,0.0378768236882771,Unknown_1
Frmd6,F1_Young,1.55807369198189e-5,shared,0.0422253040889409,Unknown_1
Hipk3,F1_Young,0.0398494932167804,shared,0.0107325912077404,Unknown_1
Mfn1,F1_Young,0.00389353607593119,shared,0.0854839996171966,Unknown_1
