gene,theta_glm,theta_asp,log2_ratio,underdisp,celltype,condition,chromosome
Clvs1,1e-6,0.305661814940687,-17.22158152792536,TRUE,Cardiomyocyte,F1_Aged,4
Cntnap5b,1e-6,0.285616567069514,-17.12372519030473,TRUE,Cardiomyocyte,F1_Aged,1
Cubn,1e-6,0.53096728736431,-18.01826617157076,TRUE,Cardiomyocyte,F1_Aged,2
Cyfip2,1e-6,0.261455893602996,-16.996213583388997,TRUE,Cardiomyocyte,F1_Aged,11
Cyp2d22,1e-6,1.40555955758988,-19.422714181884498,TRUE,Cardiomyocyte,F1_Aged,15
D830032E09Rik,1e-6,0.18573338358005,-16.502881389487445,TRUE,Cardiomyocyte,F1_Aged,1
Dapk2,1e-6,0.546666035274335,-18.060302856229807,TRUE,Cardiomyocyte,F1_Aged,9
Dixdc1,1e-6,0.577782202687077,-18.14016873691963,TRUE,Cardiomyocyte,F1_Aged,9
Dnah7b,1e-6,5.43645807712804,-21.374235857719984,TRUE,Cardiomyocyte,F1_Aged,1
Dock3,1e-6,0.287736215892685,-17.134392305564287,TRUE,Cardiomyocyte,F1_Aged,9
Enpp2,1e-6,0.531393554733464,-18.019423918864256,TRUE,Cardiomyocyte,F1_Aged,15
Ephb1,1e-6,0.274327844926784,-17.065546800031413,TRUE,Cardiomyocyte,F1_Aged,9
Fancc,1e-6,0.516288082481081,-17.97781956543375,TRUE,Cardiomyocyte,F1_Aged,13
Fmn1,1e-6,0.168965451183199,-16.366377297770516,TRUE,Cardiomyocyte,F1_Aged,2
Foxo6os,1e-6,0.517852897739542,-17.982185601812578,TRUE,Cardiomyocyte,F1_Aged,4
Gck,1e-6,0.349433149810079,-17.414661082560198,TRUE,Cardiomyocyte,F1_Aged,11
Gcnt1,1e-6,0.769002154218987,-18.55262999013595,TRUE,Cardiomyocyte,F1_Aged,19
Gdnf,1e-6,1.46592277059903,-19.483378653261028,TRUE,Cardiomyocyte,F1_Aged,15
Glt28d2,1e-6,0.213257526015691,-16.702243895674016,TRUE,Cardiomyocyte,F1_Aged,3
Gm11734,1e-6,0.309227356718949,-17.2383130971342,TRUE,Cardiomyocyte,F1_Aged,11
Gm11816,1e-6,0.314555305591348,-17.262958757127166,TRUE,Cardiomyocyte,F1_Aged,4
Gm11884,1e-6,0.574829089207137,-18.132776055393116,TRUE,Cardiomyocyte,F1_Aged,4
Gm11967,1e-6,0.410202237573322,-17.64597935292582,TRUE,Cardiomyocyte,F1_Aged,11
Gm12224,1e-6,0.71492371408535,-18.447431799776226,TRUE,Cardiomyocyte,F1_Aged,11
Gm12381,1e-6,0.444994565904944,-17.763431435057825,TRUE,Cardiomyocyte,F1_Aged,4
Gm13274,1e-6,0.546272149644583,-18.05926298803361,TRUE,Cardiomyocyte,F1_Aged,4
