"gene","converged","iter","null_dev","deviance","df_null","df_resid","r2_mcfadden"
"2210408F21Rik",TRUE,3,119.369561417693,119.031728830685,61,60,0.00283014013786254
"4732440D04Rik",TRUE,4,97.1175008676846,93.8327005777856,57,56,0.0338229491137164
"9530026P05Rik",TRUE,4,289.730583169286,289.561401322125,119,118,0.00058392816288233
"Abca8a",TRUE,4,734.41592575364,733.439011286543,323,322,0.00133019237851306
"Abca8b",TRUE,3,239.812527554522,239.495749391895,59,58,0.00132094084432355
"Abi1",TRUE,5,367.31998725047,342.35109031408,182,181,0.0679758733612404
"Ablim1",TRUE,3,710.588517542916,710.454116406424,358,357,0.000189140597088522
"Acacb",TRUE,4,96.4999255355418,96.4032346406932,51,50,0.00100197895813925
"Actn2",TRUE,3,486.253522806703,481.577227094878,208,207,0.00961699091624846
"Acyp2",TRUE,4,438.305816679372,437.96877679569,252,251,0.000768960554152209
"Adamts9",TRUE,3,542.640454844316,541.981093835528,108,107,0.00121509740547765
"Adamtsl3",TRUE,4,178.938243063751,178.717991808031,61,60,0.00123087860900362
"Adgrd1",TRUE,4,139.294140743067,139.278689913178,59,58,0.000110922324561558
"Adk",TRUE,3,442.057063233711,441.251006256085,250,249,0.00182342291225901
"Adra1a",TRUE,4,140.903368784352,140.771534494166,51,50,0.00093563618331427
"Aff1",TRUE,4,150.293057519115,150.17257736859,69,68,0.000801634836058218
"Airn",TRUE,3,1912.30275126119,1881.6728313196,315,314,0.0160172963833189
"Akap13",TRUE,4,100.223487491706,97.2084320889187,77,76,0.0300833215670828
"Akap6",TRUE,3,257.42929482095,256.956896158061,191,190,0.00183506179130655
"Akt3",TRUE,3,119.192156600955,117.622921762376,66,65,0.0131655881001711
"Alpk2",TRUE,4,106.864045870088,106.646946895403,58,57,0.00203154365827685
"Ank",TRUE,4,184.828956651387,175.693483085089,90,89,0.0494266360196404
"Ank2",TRUE,3,658.33825802034,658.268349623227,362,361,0.000106189175946736
"Ank3",TRUE,4,86.9864216221997,85.8278328762849,49,48,0.0133191907921771
"Ankrd11",TRUE,3,80.6579629392587,80.3354293213168,54,53,0.00399878209402382
"Ankrd17",TRUE,3,212.325079457175,211.226742898984,127,126,0.0051729007284429
"Aopep",TRUE,3,200.843782361523,197.131345742231,133,132,0.0184841998872987
"App",TRUE,3,119.400757603951,119.377392940197,52,51,0.000195682709410838
"Arb2a",TRUE,4,121.803096430531,114.469774835981,59,58,0.0602063642834608
"Arhgap10",TRUE,3,94.6851290733212,94.6763409690758,64,63,9.28139860125743e-05
"Arhgap21",TRUE,3,160.38089710281,160.380890831995,88,87,3.90995106291925e-08
"Arhgap24",TRUE,3,689.915063828551,689.067782670875,229,228,0.00122809488022246
"Arhgap26",TRUE,3,326.746078782422,326.458836943703,207,206,0.000879098043928384
"Arhgef12",TRUE,3,157.628817711028,157.565403973391,91,90,0.000402297870138013
"Arid1b",TRUE,4,110.1693764848,107.296240816622,63,62,0.0260792586819709
"Arih1",TRUE,3,124.873313061437,124.502148162095,67,66,0.00297233163950705
"Arl15",TRUE,3,482.449639147987,481.524904174826,217,216,0.0019167492275336
"Asap1",TRUE,4,257.358206216856,251.741914923608,154,153,0.0218228568492383
"Asph",TRUE,4,152.135647966652,150.600126644663,80,79,0.0100931066617977
"Atf6",TRUE,3,101.642926051829,101.501280355994,53,52,0.00139356176899641
"Atp2a2",TRUE,3,726.654129860527,723.922957715136,373,372,0.00375855862253938
"Atxn1",TRUE,3,227.498927718579,227.096998178768,121,120,0.00176673157909524
"Auts2",TRUE,3,115.374757230699,114.77149799418,51,50,0.00522869344213417
"Axl",TRUE,4,79.4559225368601,79.177110038696,57,56,0.00350902096737682
"B3galt1",TRUE,4,187.198490925631,187.117362236123,55,54,0.000433383245274532
