"","AR","N","log2FC","llr_var","pval_var"
"Nr6a1",0.46231746031746,175,-0.190430656876954,7733.03093989863,1
"Nr6a1os",0.35,10,-0.527247002864869,-13628.3852333941,0
"Nrap",0.503788411880517,190,0.016756228325578,8867.80731601796,1
"Nras",0.599358974358974,26,0.526930379349741,8232.49589543287,1
"Nrbp1",0.578947368421053,19,0.0418201756946268,-792.072157431161,0
"Nrdc",0.444859813084112,107,-0.225712779628059,7722.75821884133,1
"Nrep",0.479166666666667,20,-0.161751069996613,-172.713090806386,4.1992511178841e-77
"Nrf1",0.522058823529412,34,0.296617006358175,12438.0713483824,1
"Nrg4",0.236559139784946,31,-1.49683159044249,8056.40145629189,1
"Nrip1",0.44706248925563,277,-0.313922632184979,8171.68593393577,1
"Nrp1",0.526731489697328,322,0.0474409949173173,8122.39131720592,1
"Nrp2",0.476334776334776,33,0.138827704697317,7886.48506569758,1
"Nrxn1",0.445445229373801,42,-0.475579041213895,-328.243068154232,8.67990588235553e-145
"Nsd1",0.485071494162403,231,-0.0209306578696007,7684.96905191552,1
"Nsd2",0.473484848484849,22,0.216811389073148,4474.42982100943,1
"Nsd3",0.497994987468672,171,0.135087623033179,7699.22571513866,1
"Nsf",0.450961538461538,52,-0.267933205246633,7668.78748507387,1
"Nsmaf",0.540705128205128,52,0.395928676331139,7695.82170125149,1
"Nsmce2",0.50682261208577,171,-0.0311946216035943,7724.25394649462,1
"Nsmce4a",0.622222222222222,15,0.206450877467427,11.5116259714177,1
"Nt5c2",0.460359977324263,84,-0.0995356735509145,7883.54467242943,1
"Nt5c3",0.388888888888889,21,0,495.916596604308,1
"Nt5dc1",0.363078703703704,144,-0.9607648367169,6958.68598333153,1
"Nt5dc3",0.633854166666667,64,0.758991900496205,7994.6639690202,1
"Nt5e",0.805405405405405,37,1.60528248510075,6584.40115295889,1
"Ntan1",0.386363636363636,11,0.169925001442312,-15814.5954133538,0
"Ntf3",0.551282051282051,13,0.099535673550915,-8434.54739365834,0
"Ntmt1",0.4,10,-0.167109985835259,-8561.98631900158,0
"Ntn1",0.557932652589141,131,0.309621199435749,7677.08182375302,1
"Ntn4",0.471536424961348,168,-0.0158830416066552,8583.09278230327,1
"Ntrk3",0.355555555555556,30,-0.644905041177439,-376.766848051788,6.83992288848829e-166
"Nuak1",0.666951566951567,39,0.661198086548241,7650.91994626206,1
"Nuak2",0.572222222222222,30,0.31315788525963,3682.19093891812,1
"Nub1",0.5,13,-0.0588936890535683,-2394.81673967537,0
"Nubpl",0.6,15,0.506959988719883,-12459.1515182988,0
"Nucks1",0.56578947368421,19,0.485426827170242,1282.44150765661,1
"Nudcd2",0.4,10,-0.838248930003387,-16790.754269802,0
"Nudcd3",0.581172839506173,54,0.273323665225298,8414.16871537479,1
"Nudt13",0.580246913580247,27,0.86367852878722,-474.607011131592,1.96605494139386e-208
"Nudt3",0.457575757575758,33,-0.303616216610421,-229.873059432952,5.45934095512622e-102
"Nudt4",0.358720930232558,86,-0.740833411605919,7774.69474458135,1
"Nudt5",0.663636363636364,11,0.659924558402378,-8398.58965433454,0
"Nudt7",0.566666666666667,20,-0.428843298803874,1038.05062206095,1
"Nufip2",0.581770833333333,128,0.588998013956313,7615.35480862344,1
"Numa1",0.534313725490196,34,-0.097847323398145,-817.660502101823,0
"Numb",0.49981746031746,200,-0.0172367049253039,7916.29186743695,1
"Nup133",0.541666666666667,12,-0.217591435072626,-12161.8411574951,0
"Nup153",0.47008547008547,39,0.210419779670372,12460.5536832155,1
"Nup155",0.708333333333333,12,0.619727918881832,-11947.7453515198,0
"Nup188",0.519230769230769,39,0.0970244543948651,7813.16816940808,1
"Nup205",0.452380952380952,14,0.127379306476227,3319.15152801621,1
"Nup54",0.461538461538462,13,-0.34577483684173,-10470.0220023071,0
"Nup88",0.333333333333333,21,-0.370837695368309,355.165049158744,1
"Nup93",0.615384615384615,13,0.332575339086871,-103.423723136808,6.69403418830515e-47
"Nup98",0.477514189514189,225,-0.13540112610792,8009.84014487082,1
"Nupr1",0.730392156862745,17,1.32192809488736,23.740833599144,1
"Nus1",0.455555555555556,30,-0.220500361995239,-281.681201986068,1.5602239737392e-124
"Nvl",0.57,50,0.490527698863108,11817.0719878788,1
"Nxn",0.545634920634921,147,0.2088881569867,7671.8331176509,1
"Nxpe4",0.472222222222222,36,-0.21076709621682,4822.02670404191,1
"Oaf",0.75,20,1,8.86494391699853,1
"Obi1",0.7,15,0.306661338234052,-6828.65147865441,0
"Obscn",0.493501006569188,286,-0.0671141958585368,8765.09118381544,1
"Ociad1",0.590909090909091,22,0.0339473319233377,-778.629255512813,0
"Odc1",0.452380952380952,14,-1.2081081953302,85.1870229233937,1
"Odf2",0.657894736842105,19,0.251538766995965,3581.88603716128,1
"Oga",0.592063492063492,63,0.601450623509725,8825.00883992976,1
"Ogdh",0.465962590641904,354,-0.21826017975706,9422.03880473158,1
"Ogn",0.523809523809524,21,-0.195920209975257,-790.842947412632,0
"Oip5os1",0.510233918128655,57,-0.0637255976103877,9505.86605307962,1
"Ola1",0.351851851851852,27,-0.137503523749935,-333.163706573617,6.28474324450753e-147
"Olfml1",0.5,12,0.217591435072626,73.0666215605743,1
"Oma1",0.547849462365591,31,0.286304185156641,-449.217696726566,2.14757194371364e-197
"Opa1",0.476666666666667,80,-0.189824558880017,7664.45559488635,1
"Opa3",0.34375,16,-0.36564947231668,227.459844279412,1
"Opcml",0.602091377091377,74,0.527450042065948,7514.12086362843,1
"Optn",0.509375,80,-0.154722594798642,7764.52212875258,1
"Or5m3b",1,120,Inf,11967.1277488377,1
"Orc3",0.655555555555556,15,0.289506617194985,-13.7669162865323,1.54370372429594e-07
"Orc4",0.47108843537415,98,-0.173331602885562,7873.03551298589,1
"Orc5",0.5,21,0.405256478486258,-306.735502662144,1.96698823765586e-135
"Os9",0.538461538461538,13,-0.0588936890535683,392.28633594801,1
"Osbp",0.492647058823529,34,0.0914230277635948,-245.192963156135,1.17446212201323e-108
"Osbpl11",0.494623655913978,31,-0.0506260730699677,8532.33144983618,1
"Osbpl1a",0.500665642601126,93,-0.0499684592740852,7712.55022795227,1
"Osbpl2",0.280555555555556,30,-0.740912778682869,-290.233798674537,2.96735057928994e-128
"Osbpl3",0.308333333333333,30,-0.592575684831032,-223.765980130427,2.4844631884351e-99
"Osbpl6",0.44253663003663,52,-0.357261167999643,11703.6825256252,1
"Osbpl8",0.477011494252874,29,0.0725124997843678,-433.949628504832,9.33850499713089e-191
"Osbpl9",0.537924736082631,285,0.273323665225299,7903.19966807994,1
"Osgepl1",0.368181818181818,55,-0.766327653797549,9013.63135483804,1
"Osmr",0.526535087719298,152,0.236261086586292,7627.29664922296,1
"Ostf1",0.649122807017544,19,0.843274496312547,-137.923216571681,6.03606774095197e-62
"Otud1",0.41025641025641,13,-0.182864057149811,-11408.158120715,0
"Otud4",0.516666666666667,45,0.35418229389199,12424.7010092713,1
"Otud6b",0.5,11,0.075288127304237,-12727.5098686044,0
"Otud7a",0.602150537634409,31,0.678071905112638,9820.1344596647,1
"Otud7b",0.656862745098039,17,0.615336149764675,2950.04885968949,1
"Otulin",0.458333333333333,40,-0.301890341650817,8488.63196608351,1
"Oxa1l",0.423076923076923,13,0.31685710533994,-16223.2190370304,0
"Oxct1",0.555813434820038,294,0.295718215564514,8469.9614804497,1
"Oxr1",0.462531565656566,132,-0.0301619705102525,7482.39930349185,1
"Oxsr1",0.310606060606061,22,-0.660513533728333,-2127.86193320644,0
"P2rx4",0.482954545454545,44,0.381562794727756,14170.3872107483,1
"P3h2",0.391666666666667,20,-0.584962500721157,-297.458477122052,2.13505817559396e-131
"P4ha1",0.476401747317589,202,-0.0890631686921817,7837.38406849266,1
"P4ha2",0.45448717948718,52,-0.253384235800075,8267.84229492165,1
"P4hb",0.4,10,0.113956189297086,-10395.9006811578,0
"Pabpc1",0.464912280701754,19,0.109624491174498,-4814.31785379084,0
"Pacs1",0.582666666666667,25,0.260062839302503,7691.16560726126,1
"Pacs2",0.578947368421053,19,0.101879614019214,5004.28523852928,1
"Pafah1b1",0.509300599762556,420,0.0621564760625695,8142.67126075259,1
"Pafah1b2",0.421052631578947,19,-0.330148601692331,-1727.87766159414,0
"Pag1",0.635714285714286,35,0.678071905112638,5830.40276626789,1
"Pah",0.269230769230769,13,-2.62449086490779,-7080.60501648061,0
"Paip1",0.54212962962963,36,0.0119726416660759,8362.78951634115,1
"Paip2",0.510351966873706,69,0.0967532328795873,8052.16959219455,1
"Pak1",0.43452380952381,28,-0.37851162325373,12861.4707824095,1
"Pak2",0.53735632183908,87,0.0809199953835673,8651.79315130031,1
"Pakap",0.608405157170393,632,0.633731377924495,9226.6835398771,1
"Pald1",0.541666666666667,20,0.211504105193712,180.845026002545,1
"Palld",0.463959289417678,386,-0.1808930584163,10821.8875693578,1
"Palm",0.553216374269006,57,0.136501999904862,8056.92439381415,1
"Palmd",0.505301587301587,75,0.147430363655226,7957.77494143318,1
"Pals1",0.549047619047619,110,0.251283400141437,7415.02090975312,1
"Pals2",0.690112994350282,59,0.969303202777084,7237.44668020768,1
"Pam",0.502544415273764,506,0.0644074501473124,9095.12266544825,1
"Pan2",0.409090909090909,11,-0.162271428898878,-11836.1780756156,0
"Pan3",0.46185732076143,365,-0.133392999856829,8009.5427702704,1
"Pank1",0.536192787557578,139,0.333423733725192,8040.52146363495,1
"Pank2",0.615,50,0.380904814359698,7881.78205114198,1
"Pank3",0.560606060606061,11,0.632268215499513,-8812.14300446201,0
"Papola",0.496234207968902,98,-0.173451512709085,7582.59540391241,1
"Pappa",0.725675675675676,37,1.39078995303217,6444.2366682924,1
"Papss2",0.536006289308176,53,0.0588936890535687,7820.31264251997,1
"Paqr9",0.4,10,-0.443606651475615,-12391.2695113519,0
"Pard3",0.521603048084091,422,0.141482897375683,8077.28573346436,1
"Parg",0.96875,16,3.57399138290015,-225.991752237518,2.66963698597166e-100
"Parm1",0.531666666666667,20,0.347923303420307,-357.919892608223,1.07471481164637e-157
"Parn",0.511494252873563,29,0.364572432295856,-370.897438733739,2.44063956977398e-163
"Parp12",0.450980392156863,17,0.0458036896131251,-7707.76051985228,0
"Parp14",0.436781609195402,29,-0.227805917522812,-87.4341548834673,6.39682546342654e-40
"Parp3",0.571428571428571,21,0.190822342335578,-191.76824057396,2.1136008839582e-85
"Parp4",0.42452876984127,96,-0.539582597217147,7383.61872182171,1
"Parp6",0.587301587301587,21,0.0558532347335174,-429.887720798689,5.44977908234246e-189
"Parp8",0.500086511697886,211,0.115220897788652,7760.10523216033,1
"Parva",0.483849557522124,226,-0.0888599313901237,7660.19674329894,1
"Parvb",0.531372549019608,34,-0.166009951438929,16539.8400317381,1
"Patj",0.645833333333333,12,0.667424660913129,7046.82395853123,1
"Patl1",0.49375,32,-0.160464672193246,8215.97870820255,1
"Pawr",0.604761904761905,21,0.622930350920177,-80.286645676937,8.47993335873112e-37
"Paxbp1",0.514717046238785,138,-0.1242823358866,7960.84492763612,1
"Paxip1",0.333333333333333,14,-0.406625259462643,-1164.18319320506,0
"Pbrm1",0.519583591012162,147,0.0899166366766151,7619.92747456292,1
"Pbx1",0.512694433776682,628,0.0400049573133954,8952.32870596483,1
"Pbx3",0.481873479318735,137,-0.0520885111484539,7387.14779356567,1
"Pcbd2",0.531851851851852,45,0.199308808223407,10613.9553133529,1
"Pcbp2",0.547994987468672,152,0.197336773267118,7510.31301618442,1
"Pcca",0.453985507246377,46,0.0699020132301564,-290.044897202949,3.58549087284492e-128
"Pcdh7",0.650159799276662,619,0.660414729150622,11468.7752217254,1
"Pcdh9",0.533947540736424,711,0.232391733897556,10045.2000816074,1
"Pcdha11",0.195512820512821,52,-2.41761144294267,4695.87487855684,1
"Pcf11",0.478835978835979,63,-0.18696293179885,9185.06951983664,1
"Pcgf3",0.633333333333333,12,0.336283387864432,-7678.65235538977,0
"Pcgf5",0.48314620519054,203,-0.124942866978556,8003.97086151467,1
"Pcid2",0.466666666666667,10,-0.211504105193712,-8962.41409278499,0
"Pcm1",0.448973727422003,116,-0.101003318683476,7681.38834672969,1
"Pcmt1",0.432980599647266,54,-0.12851474052268,7597.75402788007,1
"Pcmtd2",0.478205128205128,39,-0.123382415505282,-586.204157675375,6.05062206108151e-257
"Pcnp",0.428484848484848,55,-0.207096234239936,8175.35956987952,1
"Pcnt",0.53015873015873,21,0.211504105193712,1958.92230355417,1
"Pcnx1",0.512198990268044,187,-0.263034405833794,7751.36124732828,1
"Pcnx4",0.577777777777778,15,0.373458395527444,-751.934684141267,0
"Pcolce",0.605072463768116,23,0.110423989693651,-273.660096843423,4.81902799188401e-121
"Pcolce2",0.363032581453634,76,-0.648351206992638,16605.9551058216,1
"Pcp4l1",0.316666666666667,10,-1.12928301694497,-5694.50986419426,0
"Pcsk5",0.551013872167718,117,0.395709238344422,7701.06115189249,1
"Pcsk6",0.489728501950724,405,0.00611960637989825,8324.90375096252,1
"Pcsk7",0.419393939393939,55,-0.694110115204409,7500.94440399383,1
"Pcx",0.447619047619048,42,-0.203091865377512,8514.57073604505,1
"Pcyt1a",0.59375,16,0.0201778819376304,1420.08526143128,1
"Pcyt2",0.445652173913043,23,-0.203533394085132,-4539.07643513487,0
"Pdcd10",0.451923076923077,52,-0.0360692547075221,7742.7361651152,1
