gene,condition
0610005C13Rik,F1_Aged
0610040B10Rik,F1_Aged
0610040J01Rik,F1_Aged
1500004A13Rik,F1_Aged
1500026H17Rik,F1_Aged
1600014C10Rik,F1_Aged
1700086O06Rik,F1_Aged
2310002L09Rik,F1_Aged
2310057M21Rik,F1_Aged
2310068J16Rik,F1_Aged
2500002B13Rik,F1_Aged
3110009E18Rik,F1_Aged
4732465J04Rik,F1_Aged
4921504A21Rik,F1_Aged
4921524J17Rik,F1_Aged
4930447C04Rik,F1_Aged
4930458D05Rik,F1_Aged
4930470G03Rik,F1_Aged
4930594M22Rik,F1_Aged
4932441J04Rik,F1_Aged
4933431K23Rik,F1_Aged
9630050E16Rik,F1_Aged
A430046D13Rik,F1_Aged
A530013C23Rik,F1_Aged
AI838599,F1_Aged
Abcd2,F1_Aged
Abcf3,F1_Aged
Abi2,F1_Aged
Abtb2,F1_Aged
Acacb,F1_Aged
Acadl,F1_Aged
Accs,F1_Aged
Acot13,F1_Aged
Acox1,F1_Aged
Adamts17,F1_Aged
Adamts9,F1_Aged
Adamtsl4,F1_Aged
Adcy6,F1_Aged
Agfg2,F1_Aged
Agt,F1_Aged
Ak3,F1_Aged
Ak6,F1_Aged
Aldh6a1,F1_Aged
Alg11,F1_Aged
Alkbh1,F1_Aged
Alpk3,F1_Aged
Ank2,F1_Aged
Ankrd27,F1_Aged
Ano5,F1_Aged
Ano6,F1_Aged
Antxr2,F1_Aged
Anxa11,F1_Aged
Aplp2,F1_Aged
Arc,F1_Aged
Arfgef2,F1_Aged
Arid2,F1_Aged
Ark2n,F1_Aged
Arl2,F1_Aged
Arpc3,F1_Aged
Arpp21,F1_Aged
Arrdc2,F1_Aged
Art3,F1_Aged
Atf3,F1_Aged
Atg4c,F1_Aged
Atg7,F1_Aged
Atl2,F1_Aged
Atp1a1,F1_Aged
Atp2b2,F1_Aged
Atp2c1,F1_Aged
Atp6v1d,F1_Aged
Atpaf2,F1_Aged
Atxn2l,F1_Aged
B130024G19Rik,F1_Aged
B230206L02Rik,F1_Aged
B430010I23Rik,F1_Aged
Bbof1,F1_Aged
Bbs2,F1_Aged
Bcl10,F1_Aged
Bcl11b,F1_Aged
Bhlhe40,F1_Aged
Bltp2,F1_Aged
Bmal1,F1_Aged
Bmal2,F1_Aged
Brd3,F1_Aged
Brd7,F1_Aged
Bri3bp,F1_Aged
Brix1,F1_Aged
Cabcoco1,F1_Aged
Cabin1,F1_Aged
Casq2,F1_Aged
Cav1,F1_Aged
Cbfb,F1_Aged
Cbl,F1_Aged
Cc2d2a,F1_Aged
Ccar1,F1_Aged
Ccdc122,F1_Aged
Ccdc159,F1_Aged
Ccdc47,F1_Aged
Ccdc73,F1_Aged
Ccdc88a,F1_Aged
Cd46,F1_Aged
Cdc123,F1_Aged
Cdc14b,F1_Aged
Cdc42se2,F1_Aged
Cdh2,F1_Aged
Cdk5rap2,F1_Aged
Cdkn1a,F1_Aged
Cemip2,F1_Aged
Cenpc1,F1_Aged
Cep135,F1_Aged
Cep70,F1_Aged
Cert1,F1_Aged
Cfap61,F1_Aged
Chchd6,F1_Aged
Chd1l,F1_Aged
Chrm2,F1_Aged
Clic5,F1_Aged
Clptm1,F1_Aged
Cmtm4,F1_Aged
Cnep1r1,F1_Aged
Cog8,F1_Aged
Col3a1,F1_Aged
Copg2,F1_Aged
Coq10b,F1_Aged
Coq7,F1_Aged
Cox11,F1_Aged
Cpd,F1_Aged
Cpne4,F1_Aged
Cpne8,F1_Aged
Cpsf7,F1_Aged
Crtc3,F1_Aged
Cry1,F1_Aged
Cstf3,F1_Aged
Ctsh,F1_Aged
Cul4a,F1_Aged
Cxadr,F1_Aged
Cyp27a1,F1_Aged
Cyp2b10,F1_Aged
D16Ertd472e,F1_Aged
D830013O20Rik,F1_Aged
Dach1,F1_Aged
Dbt,F1_Aged
Dcbld1,F1_Aged
Ddhd2,F1_Aged
Ddit4,F1_Aged
Ddx50,F1_Aged
Decr1,F1_Aged
Dennd2a,F1_Aged
Dennd5b,F1_Aged
Dgcr8,F1_Aged
Dgka,F1_Aged
Dgkg,F1_Aged
Dixdc1,F1_Aged
Dlc1,F1_Aged
Dnai4,F1_Aged
Dnajb14,F1_Aged
Dock1,F1_Aged
Dpf3,F1_Aged
Dpy30,F1_Aged
Drc3,F1_Aged
Drg1,F1_Aged
Dsc2,F1_Aged
Dtwd1,F1_Aged
Dtwd2,F1_Aged
E130102H24Rik,F1_Aged
Ece1,F1_Aged
Eci2,F1_Aged
Eed,F1_Aged
Efr3b,F1_Aged
Eif2ak1,F1_Aged
Ell,F1_Aged
Elmod3,F1_Aged
Elp1,F1_Aged
Elp4,F1_Aged
Eml4,F1_Aged
Enpp1,F1_Aged
Enpp2,F1_Aged
Epb41l2,F1_Aged
Epc1,F1_Aged
Eprs1,F1_Aged
Ercc6,F1_Aged
Ero1a,F1_Aged
Erp44,F1_Aged
Esrrb,F1_Aged
Etf1,F1_Aged
Eva1c,F1_Aged
Evc2,F1_Aged
Extl3,F1_Aged
Ezh1,F1_Aged
F11r,F1_Aged
Fah,F1_Aged
Fam149b,F1_Aged
Fam193b,F1_Aged
Fam204a,F1_Aged
Fam227b,F1_Aged
Fam228b,F1_Aged
Fat3,F1_Aged
Fbn1,F1_Aged
Fbxl2,F1_Aged
Fbxo10,F1_Aged
Fbxo3,F1_Aged
Fbxo30,F1_Aged
Fbxo38,F1_Aged
Fbxo9,F1_Aged
Fgf2,F1_Aged
Fgf7,F1_Aged
Fmo5,F1_Aged
Fndc5,F1_Aged
Fosl2,F1_Aged
Foxj2,F1_Aged
Foxo1,F1_Aged
Foxo3,F1_Aged
Fut2,F1_Aged
Fzd6,F1_Aged
G3bp1,F1_Aged
Gabarapl1,F1_Aged
Gadd45g,F1_Aged
Gal3st2c,F1_Aged
Gart,F1_Aged
Gbe1,F1_Aged
Gcc2,F1_Aged
Gch1,F1_Aged
Gclm,F1_Aged
Gda,F1_Aged
Ghitm,F1_Aged
Gigyf2,F1_Aged
Gin1,F1_Aged
Gk5,F1_Aged
Gm10762,F1_Aged
Gm12519,F1_Aged
Gm13274,F1_Aged
Gm15283,F1_Aged
Gm15337,F1_Aged
Gm15787,F1_Aged
Gm15934,F1_Aged
Gm16193,F1_Aged
Gm16541,F1_Aged
Gm17036,F1_Aged
Gm17197,F1_Aged
Gm19324,F1_Aged
Gm19410,F1_Aged
Gm26532,F1_Aged
Gm26542,F1_Aged
Gm26779,F1_Aged
Gm26881,F1_Aged
Gm27177,F1_Aged
Gm28403,F1_Aged
Gm28609,F1_Aged
Gm29642,F1_Aged
Gm30624,F1_Aged
Gm30963,F1_Aged
Gm31224,F1_Aged
Gm32391,F1_Aged
Gm33934,F1_Aged
Gm34961,F1_Aged
Gm35212,F1_Aged
Gm36235,F1_Aged
Gm37677,F1_Aged
Gm40437,F1_Aged
Gm40457,F1_Aged
Gm40649,F1_Aged
Gm40999,F1_Aged
Gm42413,F1_Aged
Gm42993,F1_Aged
Gm45132,F1_Aged
Gm47889,F1_Aged
Gm48321,F1_Aged
Gm48606,F1_Aged
Gm49164,F1_Aged
Gm5105,F1_Aged
Gm55759,F1_Aged
Gm56880,F1_Aged
Gm57127,F1_Aged
Gm57315,F1_Aged
Gnptab,F1_Aged
Golim4,F1_Aged
Gosr2,F1_Aged
Gpd1,F1_Aged
Grip1,F1_Aged
Gss,F1_Aged
Gtdc1,F1_Aged
Gtf2a2,F1_Aged
Gtf2e2,F1_Aged
Gtf2f2,F1_Aged
Gzmm,F1_Aged
Hace1,F1_Aged
Hdac4,F1_Aged
Hdac5,F1_Aged
Hdgfl3,F1_Aged
Hectd4,F1_Aged
Herc3,F1_Aged
Hexd,F1_Aged
Hfe,F1_Aged
Hmbox1,F1_Aged
Hmgn1,F1_Aged
Hnrnph3,F1_Aged
Hnrnpk,F1_Aged
Hnrnpr,F1_Aged
Hp1bp3,F1_Aged
Hps5,F1_Aged
Hsdl2,F1_Aged
Hsf1,F1_Aged
Ier2,F1_Aged
Ifi35,F1_Aged
Ift25,F1_Aged
Inhca,F1_Aged
Inpp1,F1_Aged
Inpp5b,F1_Aged
Inpp5k,F1_Aged
Ints4,F1_Aged
Ip6k2,F1_Aged
Ip6k3,F1_Aged
Isca1,F1_Aged
Itga7,F1_Aged
Itprid2,F1_Aged
Jade1,F1_Aged
Jmjd6,F1_Aged
Kctd18,F1_Aged
Kctd8,F1_Aged
Klf4,F1_Aged
Klf6,F1_Aged
Krit1,F1_Aged
Larp7,F1_Aged
Lcmt1,F1_Aged
Lcp1,F1_Aged
Ldlrad4,F1_Aged
Lhpp,F1_Aged
Lig3,F1_Aged
Lrrc20,F1_Aged
Lrrc8a,F1_Aged
Lyrm1,F1_Aged
Lyrm9,F1_Aged
Lzic,F1_Aged
Maco1,F1_Aged
Map2k2,F1_Aged
Mark4,F1_Aged
Mbtd1,F1_Aged
Mdga2,F1_Aged
Mdh1,F1_Aged
Mdm1,F1_Aged
Mdn1,F1_Aged
Meaf6,F1_Aged
Med4,F1_Aged
Med6,F1_Aged
Memo1,F1_Aged
Mfhas1,F1_Aged
Mgst3,F1_Aged
Micall1,F1_Aged
Mindy2,F1_Aged
Mir181a-1hg,F1_Aged
Mlxipl,F1_Aged
Mocs2,F1_Aged
