gene,condition
Abi1,F1_Aged
Agmo,F1_Aged
Arl15,F1_Aged
Bnc2,F1_Aged
Cacna2d1,F1_Aged
Clec3b,F1_Aged
Cp,F1_Aged
Cpne8,F1_Aged
Ext1,F1_Aged
Fhl2,F1_Aged
Hdac9,F1_Aged
Kcnd2,F1_Aged
Kcnq1ot1,F1_Aged
Kif1b,F1_Aged
Lama2,F1_Aged
Lrch1,F1_Aged
Mir99ahg,F1_Aged
Myh6,F1_Aged
Myl2,F1_Aged
Pcdh7,F1_Aged
Ptbp2,F1_Aged
Rasgrf2,F1_Aged
Samd12,F1_Aged
Serinc3,F1_Aged
Smyd3,F1_Aged
St3gal6,F1_Aged
Tnnt2,F1_Aged
Zbtb38,F1_Aged
Zfp521,F1_Aged
Errfi1,F1_Young
Fhod3,F1_Young
Meis2,F1_Young
Nid1,F1_Young
Pde7b,F1_Young
