gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
Anks1,0.3344,0.0496391644594538,0.45,1
Cd163,0.2851,0.0376588397628107,0.3419,0.115346943752819
Cd44,0.6943,0.0106467965353311,0.4151,0.698338852364344
Dock10,0.6796,0.0336345347886577,0.5805,0.612775178606389
Dock4,0.6282,0.0502640151156741,0.509,1
Gda,0.8445,5.1586528296793e-5,0.64,0.199251238276153
Lyz2,0.7282,0.0032646404456758,0.7059,0.103053867353159
Mctp1,0.5939,0.0568094500025873,0.548,0.726209387789452
Mitf,0.6201,0.0963368466063843,0.5431,1
Ms4a6d,0.3321,0.0905046872200166,0.4971,1
Neat1,0.6755,8.2646823023132e-4,0.5524,0.840209837919898
Sash1,0.3018,0.00254985157356051,0.4181,0.433594468602737
Smyd3,0.3472,0.084635824116993,0.4687,0.938006497090041
Wipf1,0.321,0.00835557349970647,0.3631,0.103053867353159
Zswim6,0.5925,0.0910512772291218,0.5175,1
