gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
9330159M07Rik,F1_Aged,6.829253589665051e-9,0.117407407407407,shared,7.6821794857838e-10,0.0333333333333333,Endocardial_EC
Agmo,F1_Aged,0.00223837525873003,0.789308176100629,shared,0.0509858326106523,0.718518518518519,Endocardial_EC
Airn,F1_Aged,9.42016717527556e-10,0.322443523473648,shared,5.18800127069223e-32,0.80690660013784,Endocardial_EC
Aox1,F1_Aged,0.0666598336048977,0.694848484848485,shared,0.00462738142785514,0.828571428571429,Endocardial_EC
Art1,F1_Aged,0.00252018672277316,0.246515151515151,shared,0.0269380670256289,0.263492063492063,Endocardial_EC
Cacna2d1,F1_Aged,3.4588645663911e-4,0.650381809548476,shared,7.0107528630634e-4,0.713555672268908,Endocardial_EC
Clic4,F1_Aged,5.60153036681019e-8,0.336436773655444,shared,1.85603466414944e-6,0.32569009056078,Endocardial_EC
Cmah,F1_Aged,0.00150561773310552,0.212752525252525,shared,0.00616503780878652,0.189655172413793,Endocardial_EC
Cp,F1_Aged,6.99073558431487e-8,0.739321435066116,shared,7.87265697398582e-13,0.845892599464028,Endocardial_EC
Cradd,F1_Aged,0.0145605202151356,0.315013238922157,shared,0.0066649515190234,0.294255009696186,Endocardial_EC
Ctla2a,F1_Aged,0.089595066612073,0.355587121212121,shared,0.0281942676545758,0.320987654320988,Endocardial_EC
D830032E09Rik,F1_Aged,1.0383132351215199e-11,0.948412698412698,shared,1.01974157920475e-13,0.986111111111111,Endocardial_EC
Efna5,F1_Aged,1.2177123561018e-4,0.354611714583642,shared,9.12192818255949e-5,0.332432228074643,Endocardial_EC
Emcn,F1_Aged,4.56423886349571e-5,0.356822244061135,shared,0.090883784002002,0.395526011226841,Endocardial_EC
Fam20a,F1_Aged,3.46971985459287e-6,0.201298701298701,shared,4.57074701903611e-6,0.196410256410256,Endocardial_EC
Fhl2,F1_Aged,0.0012226747908299,0.571048040631301,shared,0.0794426730906569,0.581430216008106,Endocardial_EC
Fhod3,F1_Aged,5.865055920169e-4,0.618639213447908,shared,2.5658071507165e-5,0.675359573203273,Endocardial_EC
Fmn1,F1_Aged,4.65176979240728e-8,0.0816993464052288,shared,7.261870862806129e-12,0.0476190476190476,Endocardial_EC
Gm12216,F1_Aged,0.00975511965365825,0.236111111111111,shared,1.89669414635447e-7,0.144557823129252,Endocardial_EC
Gm12295,F1_Aged,0.0953887774628741,0.788963963963964,shared,0.00497078053732866,0.753947368421053,Endocardial_EC
Gm13481,F1_Aged,2.5939286739951597e-23,0.995725034199726,shared,2.5658071507165e-5,0.961538461538462,Endocardial_EC
Gm24474,F1_Aged,6.9214319018204e-4,0.921875,shared,2.9912980224200902e-9,0.922222222222222,Endocardial_EC
Gm35330,F1_Aged,1.05801586671059e-11,0.844539776116784,shared,0.00403490848790223,0.732777777777778,Endocardial_EC
Gm56730,F1_Aged,1.7435620424567102e-79,0.996527777777778,shared,1.45660651662185e-74,1,Endocardial_EC
Gm8189,F1_Aged,8.772837910845191e-9,0.93421052631579,shared,5.79650795580036e-7,1,Endocardial_EC
Greb1l,F1_Aged,1.3635470620679e-4,0.8045197740113,shared,0.00976761174763451,0.793103448275862,Endocardial_EC
Grm1,F1_Aged,2.06164696958296e-92,0.994017094017094,shared,1.13409436580496e-73,1,Endocardial_EC
Hdac9,F1_Aged,1.13367614101013e-6,0.763264396667758,shared,0.0934784331435839,0.676944444444444,Endocardial_EC
Kcnc2,F1_Aged,3.4029035611310095e-89,0.987777777777778,shared,7.20836547750019e-51,0.963333333333333,Endocardial_EC
Kcnd2,F1_Aged,6.44242329542783e-5,0.699539361182058,shared,0.012929132095594,0.683071549406729,Endocardial_EC
