gene,condition
2610035D17Rik,F1_Aged
4732440D04Rik,F1_Aged
Abca8a,F1_Aged
Abi1,F1_Aged
Cacna1c,F1_Aged
Cald1,F1_Aged
Cst3,F1_Aged
Cytl1,F1_Aged
D830005E20Rik,F1_Aged
Dnaaf9,F1_Aged
Dock9,F1_Aged
Gfod1,F1_Aged
Ghr,F1_Aged
Gm56646,F1_Aged
Gm57283,F1_Aged
Igfbp7,F1_Aged
Mkln1,F1_Aged
Myl3,F1_Aged
Pde4b,F1_Aged
Ralgapa2,F1_Aged
Rora,F1_Aged
Rusc2,F1_Aged
Scaper,F1_Aged
Slc2a13,F1_Aged
Tbc1d4,F1_Aged
Utrn,F1_Aged
Axl,F1_Young
Cdh11,F1_Young
Cobll1,F1_Young
Cped1,F1_Young
Ext1,F1_Young
Gm30382,F1_Young
Grb10,F1_Young
Intu,F1_Young
Jarid2,F1_Young
Kcnn2,F1_Young
Kcnt2,F1_Young
Lifr,F1_Young
Mast2,F1_Young
Nt5dc1,F1_Young
Phldb2,F1_Young
Stxbp6,F1_Young
Thsd7a,F1_Young
Tmem108,F1_Young
Tuft1,F1_Young
Zfp809,F1_Young
Gm40124,F1_Young
Lyrm4,F1_Young
Meg3,F1_Young
Myo5c,F1_Young
