gene,condition
5031425E22Rik,F1_Aged
Abca8a,F1_Aged
Agfg1,F1_Aged
Ano6,F1_Aged
Apbb2,F1_Aged
Atp10d,F1_Aged
B4galt1,F1_Aged
Btbd7,F1_Aged
Camk2d,F1_Aged
Cavin2,F1_Aged
Cd9,F1_Aged
Cdh13,F1_Aged
Col23a1,F1_Aged
Colec12,F1_Aged
Cplane1,F1_Aged
Creb3l2,F1_Aged
Csnk1a1,F1_Aged
Cyth3,F1_Aged
Dapk1,F1_Aged
Dennd5b,F1_Aged
Dysf,F1_Aged
Ecpas,F1_Aged
Eif4g3,F1_Aged
Errfi1,F1_Aged
Farp1,F1_Aged
Flrt2,F1_Aged
Flt4,F1_Aged
Fndc3b,F1_Aged
Galnt1,F1_Aged
Gas7,F1_Aged
Gmds,F1_Aged
Hectd1,F1_Aged
Igf1r,F1_Aged
Igfbp5,F1_Aged
Itpr2,F1_Aged
Itsn2,F1_Aged
Klf7,F1_Aged
Kmt2e,F1_Aged
Lamc1,F1_Aged
Lhfpl6,F1_Aged
Lrba,F1_Aged
Lrch1,F1_Aged
Marchf3,F1_Aged
Mdfic,F1_Aged
Morrbid,F1_Aged
Mpp7,F1_Aged
Msrb3,F1_Aged
Mtmr3,F1_Aged
Mtus1,F1_Aged
Mycbp2,F1_Aged
Myo1d,F1_Aged
Ndfip1,F1_Aged
Nedd4,F1_Aged
Nek7,F1_Aged
Nhsl1,F1_Aged
Nr2f2,F1_Aged
Nr3c1,F1_Aged
Nrp1,F1_Aged
Nsd1,F1_Aged
Osmr,F1_Aged
Pcdh9,F1_Aged
Pdzd2,F1_Aged
Pgm5,F1_Aged
Picalm,F1_Aged
Piezo2,F1_Aged
Prkd1,F1_Aged
Prox1,F1_Aged
Psme4,F1_Aged
Rap1gds1,F1_Aged
Rasa1,F1_Aged
Rere,F1_Aged
Rfx3,F1_Aged
Rin3,F1_Aged
Rock1,F1_Aged
Rtn4,F1_Aged
Slc8a1,F1_Aged
Sncaip,F1_Aged
Snd1,F1_Aged
Son,F1_Aged
Tacc1,F1_Aged
Tnks2,F1_Aged
Top1,F1_Aged
Tspan18,F1_Aged
Usp25,F1_Aged
Wipf1,F1_Aged
Zfc3h1,F1_Aged
Zfp407,F1_Aged
1700025G04Rik,F1_Young
Apaf1,F1_Young
Arhgap32,F1_Young
Bmp2k,F1_Young
Cblb,F1_Young
Cdc14a,F1_Young
Cdkal1,F1_Young
Celf2,F1_Young
Cemip2,F1_Young
Cnot2,F1_Young
Cpq,F1_Young
Csgalnact1,F1_Young
Daam1,F1_Young
Dennd1a,F1_Young
Dennd2a,F1_Young
Dlc1,F1_Young
Dlg1,F1_Young
Dock1,F1_Young
Dock6,F1_Young
Dpysl3,F1_Young
Ehbp1,F1_Young
Emcn,F1_Young
Erbin,F1_Young
Etl4,F1_Young
Fbn1,F1_Young
Fli1,F1_Young
Fndc1,F1_Young
Glis3,F1_Young
Hdac9,F1_Young
Herc1,F1_Young
Igfbp7,F1_Young
Itpr1,F1_Young
Kcnq1ot1,F1_Young
Kif13a,F1_Young
Kif5b,F1_Young
Ltbp4,F1_Young
Macf1,F1_Young
Map3k3,F1_Young
Mgp,F1_Young
Msi2,F1_Young
Nck1,F1_Young
Ncoa2,F1_Young
Nfkb1,F1_Young
Osbpl9,F1_Young
Pbx1,F1_Young
Pbx3,F1_Young
Pde4b,F1_Young
Pdgfd,F1_Young
Plxna4,F1_Young
Rapgef2,F1_Young
Rbm6,F1_Young
Rtn3,F1_Young
Schip1,F1_Young
Smyd3,F1_Young
Spag9,F1_Young
Sptlc2,F1_Young
Srgap2,F1_Young
St3gal6,F1_Young
Syne1,F1_Young
Tcf7l1,F1_Young
Tek,F1_Young
Tmcc1,F1_Young
Tnrc6b,F1_Young
Tulp4,F1_Young
Ube2h,F1_Young
Unc13b,F1_Young
Wac,F1_Young
Wwtr1,F1_Young
Xdh,F1_Young
Yes1,F1_Young
Zbtb7c,F1_Young
Zfr,F1_Young
