"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"Rabep1",0.4055,0.496031746031746,21,0,0.050475317653478,-0.362570079384708,-0.127555856304657,0.613498541624457,0.953137778016115
"Rai14",0.7139,0.731313131313131,33,0.3127,0.156640669630797,1.05444778402238,-4.07822079004011,0.00429084787556795,0.105051792815629
"Ralgapa1",0.5176,0.523586309523809,32,2e-04,0.0382841974485348,0.180572245641821,-0.148564419015699,0.585688005345086,0.936573161700476
"Ralgapa2",0.6435,0.605473098330241,35,1e-04,0.0393091754512089,0.619727918881832,-1.83024131449876,0.0557174910433472,0.34792273557046
"Ralgapb",0.5096,0.526041666666667,16,0.3079,0.168183979254076,-0.106915203916512,0.021893548542673,1,1
"Rap1gds1",0.5872,0.554022988505747,29,0.5459,0.248559736042124,0.37851162325373,-0.354206301053154,0.399971293711333,0.805556351614149
"Rapgef2",0.401,0.36505376344086,31,0.2763,0.145347079921234,-0.295455883526171,-0.393864832475771,0.374787508985152,0.79581030805358
"Rapgef5",0.4485,0.391134004884005,40,0.1277,0.0954882456719195,-0.273565073325964,-0.955536037627873,0.166844219430071,0.548423128682177
"Rapgef6",0.4778,0.491666666666667,16,0.2702,0.15306188627717,-0.222392421336448,-0.041935067381317,0.772119658373494,1
"Raph1",0.3773,0.33,25,1e-04,0.0453764294711883,-0.758991900496205,-1.1133248056328,0.135647708427859,0.501137638092641
"Rasa1",0.3834,0.403679653679654,22,0.4187,0.208665485631893,-0.362570079384708,-0.315509663919887,0.426981664145208,0.820390037049822
"Rasal2",0.4345,0.464309764309764,33,1e-04,0.0428902472017454,-0.226275855823676,-0.167113593043453,0.563180505895395,0.927745148922808
"Rb1",0.5742,0.568181818181818,22,0,0.0483340131686655,0.62148837674627,-0.709742723242499,0.233488114614747,0.651175341024531
"Rbfox2",0.4043,0.443055555555556,24,4e-04,0.0484859119028427,-0.552541023028779,-0.524947741569918,0.305531159257495,0.714579305931405
"Rbm25",0.5457,0.548717948717949,39,0.0895,0.0726574773622452,0.506959988719883,-0.861035227279572,0.189426750030182,0.593480051830488
"Rbm39",0.461,0.501190476190476,36,0,0.0392563748066334,0,0.250523390030025,1,1
"Rbm5",0.4927,0.452898550724638,23,0.1629,0.111526245125564,0.459431618637297,0.0456208395119013,1,1
"Rbm6",0.5009,0.510897435897436,26,0.3828,0.186623027181364,0,0.0125164706621241,1,1
"Rbms1",0.5207,0.508119700165155,44,0.1043,0.088653963161034,0.121306296222134,-0.0609746467296333,0.726929865025363,1
"Rbms3",0.4607,0.456395803270803,24,0.1626,0.0996406696307972,-0.833990048561071,-0.862365901427058,0.189085095726415,0.593480051830488
"Rbpj",0.5152,0.529368911511769,14,0.0537,0.0595991305543403,-0.428843298803874,0.101512295379553,1,1
"Rbpms",0.5561,0.533566760037348,34,0.0328,0.0563205177876564,-0.0450878895285383,0.584154646858963,1,1
"Rcsd1",0.6175,0.617307692307692,26,0.1096,0.088566691747777,0.643856189774724,-0.927100163112286,0.173295660790369,0.563929343171017
"Reln",0.4518,0.488034261060577,38,0.2169,0.128150957775042,-0.0966760194116736,-0.0906532050528313,0.670252927943508,0.992569676140642
"Rere",0.5844,0.561428571428571,25,0,0.0396921553031197,0.485426827170242,-0.692312387631599,0.239314948008368,0.651175341024531
"Rhoa",0.4736,0.524175824175824,26,0.0085,0.0485663028889098,-0.201633861169651,-0.0838887901594951,0.682094542483728,1
"Rhoj",0.5458,0.520701102149066,39,0.0692,0.0730648776196198,0.37851162325373,-0.311821587631158,0.429696672388804,0.820390037049822
"Rnf216",0.6238,0.674603174603175,21,0.1116,0.0927415264655873,1.52356195605701,-2.72999964573449,0.0194566546640239,0.212304180106288
"Rngtt",0.4443,0.424603174603175,21,0,0.0504779186482831,-0.280107919192736,-0.205414571528774,0.521548964851827,0.906701756459344
"Rock1",0.5385,0.554761904761905,29,1e-04,0.0377979194011584,0.493040011280117,-0.657357152817088,0.251542875291249,0.666942988380106
"Rock2",0.5126,0.507351582351582,37,0.0535,0.063061385719214,0.442004546879114,-0.351323388368087,0.401895765554047,0.805556351614149
"Rora",0.4833,0.491341261078103,38,0.0416,0.0651439476424528,-0.231325546106456,-0.177745085553539,0.551021610250975,0.918337730660356
"Rptor",0.4769,0.466666666666667,15,0.2518,0.147180139281492,-0.447458976971221,-0.120087325028894,0.624080001756412,0.955284555841452
"Rtn3",0.5847,0.561728395061728,27,0.2687,0.149481558991127,0.211504105193712,0.0039376495290675,1,1
"Rtn4",0.3857,0.433333333333333,25,0,0.0383485419795445,-0.685891409571937,-1.20546577527589,0.120490646120507,0.47651603762016
"Ryr2",0.5815,0.640162541869285,19,0.2145,0.127408521380936,0.163230348868304,-0.43427356472808,0.351357838832853,0.762587832788574
"Samd12",0.4467,0.441025641025641,13,0.5014,0.240882981939422,-0.37851162325373,-0.011129071539365,0.881402422740905,1
"Samd4",0.4898,0.531093544137022,23,0.1195,0.0839399276276755,-0.131244533278253,-0.0123463789225369,0.875135069799084,1
