"term","estimate","se","z","p","gene"
"sexM",0.673344552050697,0.620649152188996,1.08490368459515,0.284625419112192,"1600010M07Rik"
"sexM",0.825906670405887,0.518017436669154,1.59436075302109,0.117285968126837,"1700025G04Rik"
"sexM",-0.158138718958651,0.358222560007826,-0.441453824000354,0.660189339620452,"2210408F21Rik"
"sexM",0.650587566141067,0.576208739328312,1.12908312862359,0.264474119043821,"2610037D02Rik"
"sexM",0.297846580546753,0.334469200123593,0.890505255601091,0.376429369499575,"2610307P16Rik"
"sexM",-0.0826035285038391,0.396594240788072,-0.208282218974481,0.835680519834624,"4632427E13Rik"
"sexM",0.398648445459174,0.374628471295607,1.06411678770836,0.290881498085473,"4732440D04Rik"
"sexM",-0.251770071426874,0.388570213678657,-0.647939709643016,0.519056705411771,"5031425E22Rik"
"sexM",0.705467664011182,0.631399477269543,1.11730796335458,0.27006676236374,"6820431F20Rik"
"sexM",-0.0870113773401473,1.12806889168406,-0.0771330350314424,0.938875505010712,"9330159M07Rik"
"sexM",-0.0114142012844404,0.285936101095815,-0.0399187134492527,0.968241703754081,"9530026P05Rik"
"sexM",-0.416160397224912,0.469990452130745,-0.885465641564017,0.379326937570577,"AW554918"
"sexM",-0.402521331794657,0.34322702971407,-1.17275533960709,0.244509289547974,"Aak1"
"sexM",-0.0896121586896851,0.481192558495087,-0.186229311130546,0.853101929421838,"Abca1"
"sexM",-0.228798608703789,0.387984479891865,-0.589710724427838,0.559400939995559,"Abca8a"
"sexM",-0.958523495496609,0.830816565123171,-1.15371254707049,0.262219427736777,"Abca8b"
"sexM",-0.0741079721537232,0.854334515132548,-0.0867435071872585,0.931888925476907,"Abca9"
"sexM",-0.238411023446179,0.564075417540995,-0.422658063146055,0.675558943767291,"Abcc1"
"sexM",-0.154150678978716,0.467029490397939,-0.330066263797111,0.742626986305467,"Abcc5"
"sexM",-0.225338941866882,0.485720331424779,-0.463927341081006,0.644986919585252,"Abcd3"
"sexM",2.00306855507503,0.886919145390406,2.25845677758294,0.030650785337763,"Abhd17b"
"sexM",0.52806743019618,0.510975070684076,1.03345047633972,0.30646696315321,"Abhd18"
"sexM",0.35667494393873,0.337751761189373,1.05602689585606,0.293814103864039,"Abi1"
"sexM",0.58192153528911,0.815410693533214,0.713654530047448,0.484115755457732,"Abi3bp"
"sexM",-0.0482021024699005,0.618453073995334,-0.0779397896084581,0.938284910550227,"Abl2"
"sexM",-0.0160374202689331,0.153798099459763,-0.104275802661195,0.917120321792932,"Ablim1"
"sexM",-0.0571584138399795,0.736280660766371,-0.0776312850326465,0.938636822836511,"Ablim3"
"sexM",-0.0623431292970076,0.552253647848706,-0.112888578536084,0.910763910174655,"Abra"
"sexM",0.644173175963485,0.347835378061414,1.85194841178504,0.0685755717485024,"Abtb2"
"sexM",0.967584026259675,0.799942724839471,1.20956663047826,0.235039438173455,"Acaca"
"sexM",-0.151106537443486,0.34374426657598,-0.439589986325156,0.661813386446317,"Acacb"
"sexM",-0.663294217410265,0.515324763313181,-1.28713825655445,0.204627512655611,"Acadl"
"sexM",-0.470003623309181,0.603776479047968,-0.77843976971458,0.441540970970792,"Acadm"
"sexM",-0.405465108108164,0.785290477867745,-0.516325002703586,0.610352359621853,"Acadsb"
"sexM",-0.176456437341553,0.60757891257503,-0.29042554586646,0.772991140513453,"Acap2"
"sexM",0.310154928303839,0.5828219051856,0.532160726191425,0.59829046544116,"Acat1"
"sexM",0.583190581153022,0.386993074550092,1.50697937380669,0.136380848991049,"Acer2"
"sexM",0.0272921422799824,0.549636302895405,0.0496549120504074,0.960612369490447,"Acer3"
"sexM",-0.58624938558261,0.476742610271442,-1.22969789767443,0.223691462568802,"Ackr3"
"sexM",-0.352714542722636,0.402131251478709,-0.877112985935912,0.38398285465259,"Aco2"
"sexM",-0.96758402626095,0.532402829614318,-1.81739084099513,0.0764706836133823,"Acox1"
"sexM",0.22054276915483,0.570894172849894,0.386311123222513,0.701673304632113,"Acsl1"
"sexM",-0.468190392121555,0.411414928528798,-1.13800049452698,0.260888237395985,"Acss1"
"sexM",0.252495763326737,0.436832171905524,0.578015493285017,0.565701575754624,"Actc1"
"sexM",0.154150679827259,0.729414562196843,0.211334798914611,0.834339341003384,"Actc1dt"
"sexM",-0.420368513609505,0.498241406557248,-0.843704493599138,0.402853065779923,"Actn1"
"sexM",0.0313721213937295,0.25443936381422,0.12329900894044,0.90228242891076,"Actn2"
"sexM",-0.287682072420173,0.597677357863723,-0.481333396079172,0.632664793686209,"Actn4"
"sexM",-0.579818495244596,0.898543208278435,-0.645287271555366,0.524862561787827,"Actr10"
"sexM",0.11122563508991,0.618320076509671,0.179883589932519,0.858199791519063,"Actr2"
"sexM",-0.182321554911214,0.581283422493427,-0.313653456912881,0.755545766150786,"Actr3"
"sexM",0.0487901640525652,0.430924998028978,0.11322193949232,0.910232587997899,"Acvr1"
"sexM",0.0659381019595899,0.227686324562487,0.289600625273801,0.772746332406648,"Acyp2"
"sexM",-0.154150678475641,0.442374512708474,-0.348461934508479,0.728554281724089,"Adam10"
"sexM",-0.162518929497775,0.603996888856364,-0.269072461292799,0.78936872554205,"Adam17"
"sexM",-0.241162060697955,0.539784908866843,-0.446774366486497,0.657642228673691,"Adam19"
"sexM",-2.6474255791462,1.17016477316689,-2.26243828207314,0.0316206228430869,"Adam22"
"sexM",-1.69644928914027,0.72961600647889,-2.32512619525344,0.0267840683785935,"Adamts1"
"sexM",-0.182321552917523,1.04389720226518,-0.174654700215594,0.862948311161182,"Adamts12"
