"","AR","N","log2FC","llr_var","pval_var"
"Tmem131",0.468279569892473,31,-0.29176612437711,5476.52809388571,1
"Tmem135",0.617307692307692,26,0.521952703195356,-51.2554002055522,4.29022299164759e-24
"Tmem245",0.420761904761905,25,-0.15200309344505,-64.8064155758711,4.98033981883361e-30
"Tmem65",0.480263157894737,38,-0.125530882083859,2965.66596745294,1
"Tmem87a",0.456666666666667,25,-0.273018494406416,2977.74962464426,1
"Tmod1",0.603571428571429,14,0.473931188332413,-114.804686346695,7.25324244233146e-52
"Tmod3",0.630823680823681,37,0.506185387337039,2934.48981384529,1
"Tmpo",0.338235294117647,17,-0.0931094043914815,-114.357324615148,1.13673569515387e-51
"Tmtc1",0.515630182421227,67,-0.114642565941123,3156.97904922798,1
"Tnfaip8",0.694473304473304,40,1.33390073655344,3018.16141276699,1
"Tnik",0.435625,40,-0.381870635343644,3092.22930163496,1
"Tnks",0.506410256410256,26,-0.173331602885562,3409.4076546453,1
"Tnks2",0.634575569358178,23,0.642447995381916,-39.9835156788085,3.80709384859475e-19
"Tnnc1",0.81060606060606,11,1.37851162325373,-2947.85084088314,0
"Tnni3",0.43421052631579,19,-0.491853096329675,10.4440313051332,1
"Tnni3k",0.377712302551875,55,-0.617142906470306,3820.02698529604,1
"Tnnt2",0.603471214320271,53,0.580982649808611,3644.14364140177,1
"Tnpo1",0.526984126984127,27,0.34617564113404,-13.6095855332037,1.81648540474348e-07
"Tnpo3",0.316666666666667,10,-0.770518153877232,-2414.90606135918,0
"Tnrc18",0.647435897435897,13,0.724365557386573,-3083.53363326192,0
"Tnrc6a",0.45,37,-0.0443941193584534,2879.30491075207,1
"Tnrc6b",0.561764705882353,51,0.270853910293093,2976.69244382568,1
"Tnrc6c",0.513302277432712,46,-0.164119379761107,3050.4909236979,1
"Tns1",0.429487179487179,13,-0.125530882083859,-173.404108896824,2.09992787419656e-77
"Tns3",0.466666666666667,15,-0.383328639551505,-3493.27382080852,0
"Togaram1",0.573333333333333,10,0.106915203916512,-2863.50236264108,0
"Tom1l2",0.644444444444444,30,0.454565863465481,15.8988272197489,1
"Top1",0.367705627705628,55,-0.686339521096238,3080.83956404073,1
"Top2b",0.3925,20,-0.598637437618233,549.057094588466,1
"Tor1aip1",0.459677419354839,31,0.127755547198372,-23.0467079700907,1.12746719527173e-11
"Tpk1",0.482142857142857,14,-0.184424571137427,-695.091550708878,2.85540244726677e-304
"Tpm1",0.506404958677686,44,0.203533394085132,3346.74716243101,1
"Tpm3",0.667647058823529,17,0.160464672193246,-70.669330663558,1.35671631855457e-32
"Tpm4",0.520833333333333,16,0.584962500721156,-259.665512492758,5.91679389768028e-115
"Tpp2",0.525268817204301,31,0.101283335837181,36.7459784501375,1
"Tpr",0.543650793650794,21,0.452512204697506,-134.740471235147,1.47243446457263e-60
"Tra2a",0.555487305487306,37,0.335184191589629,2889.09459345613,1
"Tra2b",0.56875,16,0.197939377611909,12.7346875116664,1
"Trabd2b",0.672619047619048,28,0.962525294581337,3104.58562741719,1
"Traf3",0.659722222222222,12,0.465663572348812,-3023.63515918934,0
"Trak1",0.462962962962963,18,0.038474147814636,-64.8279434785622,4.8734720267459e-30
"Trak2",0.431306306306306,37,-0.525461488972494,3065.2690769869,1
"Trappc8",0.660526315789474,19,0.600392541290762,116.428155543188,1
"Trdn",0.534373441655569,58,0.0785334025466897,4562.82157702777,1
"Trerf1",0.332142857142857,14,-0.563900885193326,-120.541793968574,2.28263862242977e-54
"Trim24",0.274358974358974,26,-0.954196310386875,2807.58251371839,1
"Trim44",0.67719298245614,19,0.249978253008347,-297.868678753715,1.41567368890194e-131
"Trim54",0.357983193277311,17,-0.768674453893544,267.132521678649,1
"Trim55",0.503072196620584,31,-0.289506617194985,2972.27415818462,1
"Trim63",0.539930555555556,24,-0.0565835283663674,145.576511744123,1
"Trio",0.535714285714286,14,0.0458036896131246,-83.6110637005327,2.99164608767322e-38
"Trip11",0.504166666666667,20,-0.117836490293858,-11.0181833235206,2.67533159587754e-06
"Trip12",0.510526315789474,38,-0.185214872466908,1.72270583099862,1
"Trmt1l",0.517857142857143,14,0.180572245641821,-2263.20956836656,0
"Trpm7",0.459574468085106,47,-0.18844508941311,2648.97552600862,1
"Tsc22d2",0.633619047619048,25,0.645335118700638,44.9735494610577,1
"Tshz1",0.651515151515151,11,1,-2902.87395493786,0
"Tshz2",0.623493628411661,61,0.618570893363976,3207.93241132076,1
"Tspan13",0.611111111111111,15,0.584962500721156,-3300.8488949823,0
