N,AR,tot_gene_mean,tot_gene_variance,alpha,beta,bb_mu,bb_theta,phi,id,theta_smoothed,thetaCorrected,theta_common,resid,AR.1,N.1,log2FC,loglik0_disp,loglik1_disp,llr_disp,pval_disp,padj_disp
36,0.3800925925925926,1.9722222222222223,1.2277777777777779,0.22057558290348867,0.2846136547237316,0.43661971885919637,1.9794562621658642,1.6534632905684497,1,2.794024323552451,2.5810403463173195,2.794024323552451,-0.8145680613865867,NA,36,-0.36773178450048705,-42.12283522185402,-41.65106849824285,-0.471766723611168,0,0
30,0.57,1.5,0.8103448275862069,5.561116672227786e-4,4.448893337782233e-4,0.5555555555555554,998.9999999999991,1.6692307900623284,2,65.73958838747596,422.40915869978755,65.73958838747596,933.2604116125232,NA,30,0.3219280948873635,-38.28771865855792,-45.63594819981265,7.348229541254732,1,1
71,0.5399524966426374,3.816901408450704,12.265995975855134,0.7305169776577932,0.6835551719512207,0.5166051660516605,0.7071774946395037,2.166868773181505,3,0.4628307025850175,0.5715803030178501,0.4628307025850175,0.24434679205448623,NA,71,0.09586001540751621,-96.16815640537611,-96.92122019934061,0.7530637939645004,0.88,1
35,0.5374149659863946,2.4571428571428573,2.4907563025210093,4.419301005822074,5.0821961566954,0.4651162790697667,0.10524657145032966,1.1569207653389482,4,1.093908467008448,0.7561882224681182,1.093908467008448,-0.9886618955581183,NA,35,-0.20163386116965176,-44.31396667486729,-42.21236198014897,-2.1016046947183185,0,0
55,0.49575757575757573,1.9636363636363636,2.850505050505052,0.033660037637625186,0.02692803011010017,0.5555555555555554,16.504900010407457,1.9077464214999047,5,2.9159240878293624,8.176843797816906,2.9159240878293624,13.588975922578095,NA,55,0.3219280948873626,-60.59106379123425,-69.35230126701728,8.761237475783034,1,1
33,0.4212121212121212,1.4848484848484849,0.8200757575757578,0.5842190705886683,0.7169961320860934,0.4489795918367345,0.7685123859177272,1.2145190109982595,6,75.88551192247651,49.976810850922384,75.88551192247651,-75.11699953655878,NA,33,-0.295455883526172,-50.0979069015346,-47.64612301844333,-2.4517838830912666,0,0
27,0.5119341563786008,2.333333333333333,3.0769230769230758,0.839850889969073,0.9846527675044956,0.4603174603289278,0.5480942698600685,1.4732715249982746,7,1.2051477114160587,0.9971905639032508,1.2051477114160587,-0.6570534415559902,NA,27,-0.229481846122767,-33.2254220866578,-32.318532127579836,-0.9068899590779651,0,0
39,0.5366300366300366,1.9743589743589745,2.6572199730094463,0.24815726178998102,0.21789418110113848,0.5324675324478211,2.145685879216607,1.666563106954298,8,2.765251750744068,2.6253270803293542,2.765251750744068,-0.619565871527461,NA,39,0.1876270031757714,-43.28976062794199,-43.040630437132485,-0.2491301908095025,0,0
43,0.4786821705426357,1.697674418604651,0.9778516057585824,0.40498464839484394,0.37301217647800766,0.5205479449881184,1.2853522894048193,1.3923030890167152,9,14.85562246617595,10.214618154101318,14.85562246617595,-13.57027017677113,NA,43,0.11864449649861886,-63.76619844270324,-60.04347429905309,-3.7227241436501544,0,0
36,0.6537037037037037,1.6944444444444444,1.1325396825396825,0.6300773348527118,0.38136259850069026,0.6229508190008943,0.9886894584876896,1.3493990403928668,10,15.141888772631097,10.289390217298532,15.141888772631097,-14.153199314143407,NA,36,0.7243655573865726,-51.198465975982145,-48.04189796521764,-3.156568010764502,0,0
27,0.4444444444444444,1.5555555555555556,0.7179487179487183,3.813337146670485e-4,6.196672863339534e-4,0.3809523809523811,998.9999999999991,2.001956130214457,11,40.33340335550347,405.7748166884568,40.33340335550347,958.6665966444956,NA,27,-0.700439718141092,-26.392701169977023,-30.86120020019351,4.468499030216488,0.98,1
31,0.45806451612903226,1.5161290322580645,0.8580645161290323,4.04659979215259e-4,5.963410217857429e-4,0.40425531923604335,998.9999999999991,1.5243650591385014,12,56.71526949714644,416.50061294007816,56.71526949714644,942.2847305028527,NA,31,-0.559427408614019,-43.13709226108472,-52.99479395484368,9.857701693758962,1,1
32,0.4296875,2,1.8709677419354838,0.19215126787630138,0.23190670260932927,0.45312499999999994,2.358168150582811,1.702144334705251,13,2.4648397036454894,2.509325991477643,2.4648397036454894,-0.10667155306267828,NA,32,-0.2713020218173945,-36.5547645699376,-36.63649186256652,0.0817272926289192,1,1
40,0.5495238095238095,2.125,2.7275641025641026,0.06544111496040073,0.04580878047228056,0.5882352941176467,8.988772493769332,2.0119550275347406,14,1.692579416873526,4.521650456084508,1.692579416873526,7.296193076895806,NA,40,0.514573172829758,-42.52847806582043,-46.62062005719186,4.092141991371427,0.98,1
43,0.42131782945736435,2.0232558139534884,1.547065337763012,0.36074335791836404,0.3525446452389478,0.5057471264363941,1.4019582490853353,1.5972534425851639,15,2.2553129777000067,2.009023633022371,2.2553129777000067,-0.8533547286146714,NA,43,0.033166863935198965,-51.70293655656551,-50.86282690347712,-0.8401096530883905,0,0
39,0.47008547008547,1.4615384615384615,0.5182186234817813,4.917197904977625e-4,5.092812105032394e-4,0.49122807070726426,998.9999999999991,1.5835568332724523,16,95.57255436044511,441.94187321722694,95.57255436044511,903.427445639554,NA,39,-0.05062607306996836,-50.19718423782194,-57.77095510837161,7.573770870549666,1,1
39,0.4354700854700854,1.7692307692307692,2.3927125506072864,4.207105656386649e-4,5.80290435362337e-4,0.42028985507302585,998.9999999999991,1.7965123431199779,17,9.744424559139576,385.74711341715783,9.744424559139576,989.2555754408595,NA,39,-0.46394709975978965,-41.658270061586606,-59.021964511776,17.363694450189392,1,1
