"","AR","N","log2FC","llr","pval","padj"
"Tnfaip8",0.702988215488215,66,1.31577586790577,6.78048918033975,1,1
"Tnik",0.541025641025641,65,0.225559700415131,-0.495648491274068,0.319425587116296,0.969086425887511
"Tnks",0.505357142857143,56,-0.208586621811417,2.47748373991811,1,1
"Tnks2",0.473214285714286,56,-0.137503523749935,11.000428920278,1,1
"Tnnc1",0.608974358974359,52,0.514573172829758,-5.96372768350569,0.000553126770014407,0.00329487142403931
"Tnni3",0.347730654761905,64,-0.491853096329675,4.33158708788811,1,1
"Tnni3k",0.420266468861974,89,-0.188929662443407,-0.165049426297259,0.565600885884033,1
"Tnnt2",0.543105778992637,88,0.524841508283585,-3.80274570957573,0.00581908024633577,0.0276021451896297
"Tnpo1",0.543537414965986,49,0.206450877467426,-7.69865587545206,8.71121343550773e-05,0.000656269146632999
"Tnpo3",0.519607843137255,34,0,5.16323301078879,1,1
"Tnrc6a",0.450892857142857,56,-0.155278225477911,5.36856958217875,1,1
"Tnrc6b",0.492777777777778,90,-0.0641303374197157,10.128495119463,1,1
"Tnrc6c",0.513855273514364,88,-0.103093492964104,30.5012990889802,1,1
"Tns1",0.477358490566038,53,0.0931094043914815,1.23620232220898,1,1
"Tns3",0.401041666666667,32,-0.70626879694329,-4.72595309290724,0.00210929775167495,0.0109941013626546
"Tob2",0.475490196078431,34,0.0588936890535687,-2.04359927322741,0.0432092034204734,0.166253437195083
"Togaram1",0.535714285714286,28,0.395928676331139,-3.42733610054743,0.00884097750101825,0.0399291502753796
"Tom1",0.480769230769231,39,-0.0565835283663674,9.98576766501781,1,1
"Tom1l2",0.396078431372549,85,-0.148522524710088,18.7304455799975,1,1
"Top1",0.37201646090535,81,-0.717269792825286,10.6833337763024,1,1
"Top2b",0.490566037735849,53,-0.197939377611909,15.9160728548437,1,1
"Tor1aip1",0.484848484848485,55,-0.314108590428063,10.5634823411392,1,1
"Tpk1",0.429315476190476,32,-0.383328639551506,3.79550544140337,1,1
"Tpm1",0.518266648764769,84,0.0406419844973458,-2.34180265446825,0.0304517741475516,0.122973042897658
"Tpp2",0.672701149425287,58,0.978626349207433,8.49376168984664,1,1
"Tpr",0.540780141843972,47,0.215728691055437,1.39269185926229,1,1
"Tra2a",0.445662100456621,73,-0.403355694231208,6.47974349641999,1,1
"Trabd2b",0.656251740462267,57,0.968291140272662,-1.91434171421606,0.0503824932353107,0.188987050985172
"Trak1",0.567211328976035,51,0.0339473319233377,3.57663609898258,1,1
"Trak2",0.482429174201326,79,-0.012072832300575,0.43512103671155,1,1
"Trappc8",0.647967479674797,41,0.387023123109247,-4.91358905793525,0.00171951953352863,0.00906793683416718
"Trdn",0.478733207512192,92,-0.114979478915468,-1.45482726750356,0.0880507337552465,0.313866730861147
"Trim24",0.324858757062147,59,-1.07800251200127,21.0393064243911,1,1
"Trim44",0.516190476190476,35,0.137503523749935,-8.69133112890915,3.056009434792e-05,0.000263290002782226
"Trim54",0.399480519480519,55,-0.400537929583729,2.28054153518673,1,1
"Trim55",0.448660714285714,72,-0.450661409009565,-3.71284460901748,0.00642991923004352,0.0299850780557056
"Trim63",0.600509357972045,67,0.878693703777866,15.888152835096,1,1
"Trio",0.524666666666667,50,0.0356239097307214,-0.133266729942065,0.605666693522538,1
"Trip11",0.630131362889984,58,0.956931278108114,7.12953836472775,1,1
"Trip12",0.413741496598639,70,-0.401362562381767,19.5050336214042,1,1
"Trmt13",0.495238095238095,35,0,5.32442849022016,1,1
"Trmt1l",0.508914728682171,43,0.0430687218918862,7.38315683474541,1,1
"Trpm7",0.547217441193345,83,0.227805917522812,10.0644849998748,1,1
"Tsc22d2",0.513513513513513,37,-0.0489096004809464,-9.66344110001143,1.10144683447313e-05,0.000112851095669161
"Tshz2",0.447867122055434,77,0.0229004021100788,0.776834142512797,1,1
"Tspan13",0.404712301587302,48,-0.793549122532573,-5.58840973059365,0.000828256324622205,0.00472950187913253
"Tspan9",0.39937106918239,53,-0.37851162325373,-3.19598317908141,0.0114637969713787,0.0508776929942623
"Ttc14",0.623397435897436,52,0.459431618637297,6.3168841860462,1,1
"Ttc17",0.619940476190476,56,0.788495894806288,5.34476083797313,1,1
"Ttc19",0.602028218694885,54,0.405256478486258,0.151258637858199,1,1
"Ttc28",0.434353741496599,77,-0.556393348524385,2.59585503708202,1,1
"Ttc3",0.583597883597884,45,0.197939377611909,-5.40393485855535,0.00101069534491769,0.00568080486970979
"Ttc7b",0.555897435897436,65,0.438884241233211,14.838169932012,1,1
"Ttn",0.520616239013495,104,0.0382542697038106,-3.8261546077502,0.00566996967471511,0.0271100150047045
"Tulp4",0.428682170542636,43,-0.427421223734676,-13.1388997505885,2.95667977411775e-07,5.19737924999326e-06
"Tut7",0.288888888888889,45,-1.43609911480667,-0.37398001595885,0.387122866279359,1
"Txlnb",0.529761904761905,77,0.150866665626628,-0.956638929826681,0.166599602868798,0.552149885293446
"U2surp",0.425757575757576,55,-0.169925001442312,33.4272693903429,1,1
"Ubap2l",0.496296296296296,63,0.115477217419936,15.0543532925798,1,1
"Ubc",0.782828282828283,33,1.54432051622381,-1.20713304183435,0.120234307828195,0.412199070623239
"Ube2b",0.49217032967033,84,-0.0267173383757796,2.40624455674875,1,1
"Ube2d3",0.513877551020408,70,0.0955776599822312,4.69804746409234,1,1
"Ube2e2",0.547174603174603,75,0.286304185156641,0.931659746667705,1,1
"Ube2h",0.487962962962963,90,-0.148522524710088,12.8124951285657,1,1
"Ube2k",0.49547619047619,70,0.135351852894886,10.7771443948129,1,1
"Ube2r2",0.336879432624113,47,-0.902702798645085,-3.50298329672782,0.00812384990750531,0.0369697027516676
"Ube2w",0.491452991452991,39,-0.15754127698648,0.533269910960371,1,1
"Ube3a",0.581560283687943,47,0.505235308250422,-11.7963776705238,1.19034835170034e-06,1.69388459888787e-05
"Ube3c",0.477053140096618,69,0,24.5813365810018,1,1
"Ube4b",0.542183288409704,53,0,-3.16825614731223,0.0118277224764474,0.0523632256796795
"Ubl3",0.576576576576577,37,0.476438043942987,-6.39954259220981,0.000346788886785774,0.00219714655126111
"Ubn2",0.511067019400353,81,0.13897641314881,8.71594096537805,1,1
"Ubr1",0.498015873015873,63,-0.137503523749935,13.3056172734959,1,1
"Ubr2",0.473664343786295,82,-0.159656665988485,2.68097009318016,1,1
"Ubr3",0.463249516441006,94,-0.182864057149811,1.5667190656047,1,1
"Ubr5",0.506949058693245,86,-0.0146467759644013,4.4904092250341,1,1
"Ugp2",0.6333570244018,67,1.42182666494148,0.501343797635357,1,1
"Ulk2",0.52090395480226,59,-0.0285691521967708,17.8855040694493,1,1
"Umad1",0.539772727272727,44,0.169925001442312,11.2255612454434,1,1
"Unc13b",0.691935483870968,31,1.19793937761191,6.70081338227843,1,1
"Unc45b",0.532978723404255,47,0.333423733725192,0.754595283098467,1,1
"Uqcc1",0.454333333333333,50,0.0671141958585368,1.37674160489773,1,1
"Uqcrc2",0.589002267573696,42,0.565597175854225,-4.34765801895601,0.00319028797774628,0.0158453915349005
"Urgcp",0.6125,40,0.46948528330122,5.15272529947677,1,1
"Uri1",0.448717948717949,39,-0.310340120612151,-4.8684520206092,0.00180604833711926,0.00949631867582063
"Ushbp1",0.413675213675214,39,-0.526068811667588,9.06589560093386,1,1
"Usp13",0.573861283643892,69,0.640918906695172,-0.620146692708502,0.265414518793406,0.824762967411745
"Usp15",0.535897435897436,65,0.362570079384708,10.5149538070682,1,1
"Usp2",0.627314814814815,36,0.695145418471579,2.90062302030631,1,1
"Usp24",0.518407960199005,67,0.294447358465255,24.3895806909572,1,1
"Usp25",0.381366459627329,69,-0.782408564927373,12.1633987467329,1,1
"Usp28",0.611666666666667,50,0.865070419913891,0.999165723545786,1,1
"Usp3",0.553030303030303,44,0,6.53521230700428,1,1
"Usp33",0.583333333333333,36,0.559427408614019,4.17225342743983,1,1
"Usp34",0.453859236002093,91,-0.239827014672469,33.0912749792164,1,1
"Usp47",0.515384615384615,65,0.173331602885562,21.6460923396474,1,1
"Usp54",0.535185185185185,36,0.302562770020431,-18.9809046398837,7.21430701283602e-10,3.69578642114714e-08
"Utrn",0.600765033577534,96,0.702456063739597,1.814776013536,1,1
"Uvrag",0.548076923076923,52,0.222392421336448,5.13333264221295,1,1
"Vapa",0.428328474246842,49,-0.270089163367744,11.4092759679304,1,1
"Vav3",0.422888321995465,56,-0.703018262242868,2.05872280932796,1,1
"Vcl",0.496444444444444,75,-0.192645077942396,16.712128639897,1,1
"Vcp",0.681201550387597,43,0.862496476250065,-5.92803146439118,0.000574739218122296,0.00337871284620746
"Vegfa",0.373569326848015,61,-0.62148837674627,10.0830380256998,1,1
"Vegfc",0.539242581090407,46,0.526068811667588,-2.00674209029705,0.045137781159011,0.17146618986887
"Vgll4",0.595535714285714,56,0.479992941119614,3.5524294026405,1,1
"Vim",0.468414843414843,37,-0.146841388329271,-13.7314172044238,1.60142571521369e-07,3.11967691123995e-06
"Virma",0.523809523809524,35,0.125530882083859,7.11485311876921,1,1
"Vldlr",0.664333333333333,50,0.954196310386875,-7.40168748454093,0.000119321765305021,0.000862677117709286
"Vmp1",0.473469387755102,49,-0.187627003175771,4.61546945143925,1,1
"Vps13a",0.460077519379845,86,-0.206450877467426,3.69312199849014,1,1
"Vps13b",0.498062015503876,86,-0.148522524710088,11.758230948686,1,1
"Vps13d",0.553779761904762,80,0.382719779006115,3.30519865555937,1,1
"Vps54",0.471774193548387,62,-0.274174963438994,19.033039314875,1,1
"Vps8",0.478174603174603,42,-0.0489096004809464,6.47637201019135,1,1
"Vti1a",0.475601926163724,89,-0.184424571137428,5.54293962747833,1,1
"Vwa8",0.484972677595628,61,0.0458036896131246,-0.426660397214405,0.355614595483726,1
"Wac",0.474710424710425,74,-0.188072348152572,31.7620346250829,1,1
"Wapl",0.559722222222222,60,0.246160587269397,12.7161421701012,1,1
"Wasf2",0.636194029850746,67,0.710493382805015,25.2037779920763,1,1
"Washc4",0.435144927536232,46,-0.197939377611909,-9.21280829121592,1.76666957009692e-05,0.000166717817851777
"Wasl",0.439716312056738,47,-0.31194400631474,11.0602419718259,1,1
"Wbp1l",0.296135265700483,46,-0.785875194647152,-12.1632253985069,8.13147650813961e-07,1.21497811492453e-05
"Wdfy3",0.534888888888889,75,-0.139403056665416,15.6181808898179,1,1
"Wdr26",0.556666666666667,50,0.270089163367744,23.8974552092525,1,1
"Wdr33",0.431898238747554,73,-0.244418727666447,10.7610018918006,1,1
"Wdr37",0.490740740740741,36,-0.231325546106456,2.19568028345584,1,1
"Wipf1",0.504251700680272,42,0.156119201917282,15.5801223890644,1,1
"Wipf3",0.493055555555556,48,0.234465253637023,14.7686457335855,1,1
"Wnk1",0.573123457738842,91,0.0317088597273381,6.92510129051743,1,1
"Wnk2",0.539702380952381,40,0.0995356735509143,-20.6795156956673,1.26684803356155e-10,8.41280934879949e-09
"Wwc2",0.524583333333333,80,0.430634354329862,18.0461097206131,1,1
"Wwox",0.521614583333333,64,-0.0861566437497148,7.90288738362123,1,1
"Wwp1",0.470748299319728,49,-0.0365258760251139,8.56984401281787,1,1
"Wwtr1",0.465562456866805,69,-0.278716028066064,16.2647356284115,1,1
"Xdh",0.555788177339901,58,0.263034405833794,-0.828861718590389,0.197910981314411,0.641689673592655
"Xirp2",0.464565267661001,62,0.0806184602082847,-7.3838272345899,0.000121603589994722,0.00087564352152826
"Xpo4",0.558823529411765,51,0.263034405833794,5.02227991449558,1,1
"Xpo7",0.597560975609756,41,0.825970600224951,-6.3028649960478,0.000384566021164399,0.00236950816476896
"Xrcc4",0.40990990990991,37,-0.402098443571345,-21.0488319214865,8.68268560687504e-11,6.48668970546956e-09
"Xrn1",0.604838709677419,62,0.494764691749578,18.2360857480899,1,1
"Yaf2",0.477777777777778,30,-0.131244533278253,3.5457400821152,1,1
"Yap1",0.544557823129252,49,0.247927513443586,12.3044037261417,1,1
"Ybx1",0.4875,40,-0.0489096004809464,-10.4405437925205,4.88695908571633e-06,5.65310815528347e-05
"Yes1",0.514689265536723,59,0.082462160191973,4.06771470160767,1,1
"Yipf7",0.6415,50,0.683526335204746,1.71066641583383,1,1
"Ylpm1",0.538461538461539,39,0.231325546106456,3.15519123016234,1,1
"Ythdc1",0.477124183006536,51,-0.115477217419936,8.57728097445225,1,1
"Ythdf3",0.46323731138546,81,-0.0473057147783568,6.09003981391379,1,1
"Ywhae",0.564102564102564,52,0.47916783669856,4.18064313361089,1,1
"Ywhag",0.527407407407407,45,0.0874628412503395,-0.67331490114239,0.245868164518176,0.774765586961493
"Ywhaz",0.491869918699187,41,0.0995356735509145,4.41650255868016,1,1
"Zbtb16",0.473185281635016,117,-0.102634912209801,0.306541106594722,1,1
"Zbtb38",0.431926406926407,77,-0.371968777386958,25.7620770446539,1,1
"Zbtb46",0.540217391304348,46,0.0687127500840143,-10.8683582752145,3.12747850923462e-06,3.89414511601228e-05
"Zcchc7",0.516433566433566,91,-0.0430687218918862,-0.574056482180808,0.283944520895893,0.876269407859442
"Zdhhc14",0.598913043478261,46,0.540568381362703,4.19603570663126,1,1
"Zeb1",0.731667933130699,94,1.28688114778816,1.88956477179278,1,1
"Zeb2",0.46875,32,0.061400544664143,-10.0631298415242,7.24944801270269e-06,8.07345359427076e-05
"Zfand3",0.462283130306386,86,-0.328054197684204,1.35671593899924,1,1
"Zfand5",0.448979591836735,49,-0.478047296804644,13.090708227792,1,1
"Zfand6",0.479333333333333,50,-0.115477217419936,7.6602748364745,1,1
"Zfc3h1",0.454545454545455,55,-0.257157839497124,6.66291508624732,1,1
"Zfhx3",0.563541666666667,32,0,-16.0942643250648,1.39914401042466e-08,3.98200827093875e-07
"Zfp106",0.514124293785311,59,0.238786859587117,14.6005248749833,1,1
"Zfp148",0.480128205128205,65,0.111031312388744,18.1730796488666,1,1
"Zfp236",0.7,34,1.20945336562895,-14.2479946676301,9.38927816507963e-08,1.91306542613497e-06
"Zfp280d",0.44280303030303,40,-0.229481846122767,-0.649238603778663,0.254491566593673,0.796340975396956
"Zfp326",0.416666666666667,24,-0.341036917835067,12.2795441089291,1,1
"Zfp366",0.513766233766234,55,-0.123382415505282,0.113202346118619,1,1
"Zfp385b",0.50328947368421,38,-0.321928094887362,12.047816595024,1,1
"Zfp407",0.492753623188406,69,0.225881407416328,7.85029641257199,1,1
"Zfp445",0.403138528138528,44,-0.523561956057013,-13.9409363086324,1.28952240457706e-07,2.54078425429305e-06
"Zfp521",0.479081863410222,67,-0.425305834732671,0.256062294827203,1,1
"Zfp608",0.375925925925926,45,-0.584962500721156,4.79140421729358,1,1
"Zfp609",0.529761904761905,52,0.280107919192735,26.4736033435265,1,1
"Zfp62",0.393162393162393,39,-0.628031222613042,9.21895465984628,1,1
"Zfp638",0.591865079365079,60,0.682809824119301,27.4925430522913,1,1
"Zfp644",0.390384615384615,52,-0.662965012722429,21.6678484970785,1,1
"Zfp710",0.362573099415205,57,-0.471305718925589,18.6950106395155,1,1
"Zfp799",0.43018018018018,37,-0.369233809665719,-6.71193149256008,0.000248443557566394,0.00167465901773137
"Zfp809",0.442592592592593,45,-0.415037499278844,-2.84799608068674,0.0170036971856134,0.0732875698408769
"Zfp827",0.429824561403509,38,-0.263034405833794,11.8170824386281,1,1
"Zfp871",0.46969696969697,33,0,6.05071734228144,1,1
"Zfpm2",0.457228490479843,107,-0.0449124218755742,-0.518431333234872,0.308552256901538,0.944085659768699
"Zfr",0.563353413654618,83,0.336283387864432,10.9139640020648,1,1
"Zfyve16",0.531034482758621,29,-0.0671141958585371,5.43997603632016,1,1
"Zfyve9",0.567401960784314,68,0.443606651475615,13.1454578387466,1,1
"Zhx2",0.48015873015873,63,-0.0840642647884744,15.5812282739642,1,1
"Zhx3",0.533575464083939,59,0.0554951125917036,13.0499702316543,1,1
"Zkscan3",0.471892551892552,65,-0.179323699444562,14.6334239928681,1,1
"Zmiz1",0.495757575757576,55,0.134301091711591,20.1863941416026,1,1
"Zmym2",0.48936170212766,47,0.192645077942396,6.59571880176227,1,1
"Zmym4",0.452287581699346,51,-0.0331668639351992,1.27494252396647,1,1
"Zmym5",0.56,45,0.090197808971578,-0.0915994233191952,0.668638493216069,1
"Zmynd11",0.542792792792793,37,0.273018494406416,-10.530001882741,4.45122825914865e-06,5.3472013126446e-05
"Zmynd8",0.437624140565317,68,-0.542527234400759,16.213300260166,1,1
"Znrf1",0.538312462731067,86,0.135883428081773,11.2206093005878,1,1
"Znrf3",0.605555555555556,33,0.20945336562895,-29.2435738144177,2.04623306303356e-14,6.11482647003195e-12
"Zranb1",0.458024691358025,54,-0.238159737194765,9.82547655720036,1,1
"Zranb2",0.671428571428571,35,0.610053481683987,4.94944735281258,1,1
"Zswim6",0.515814028314028,74,-0.246914740470517,24.3097481221127,1,1
"Zup1",0.469312169312169,45,-0.341036917835067,-8.33413785911238,4.45193116613354e-05,0.000367848506031218
"Zyg11b",0.700396825396825,42,1,-31.3065737279272,2.51568480164046e-15,1.12765571233534e-12
"Zzz3",0.593089430894309,41,0.685891409571937,-5.85320752686351,0.000622849985934137,0.00362587670383087
