gene,condition,padj,status,padj_other,celltype
2610037D02Rik,F1_Aged,1.4108682649653598e-20,shared,1.43638823341137e-6,Fibroblast
4930578G10Rik,F1_Aged,0.00288476445729836,shared,0.0503379203980175,Fibroblast
5330438D12Rik,F1_Aged,0.0689984759013201,shared,9.76177885424548e-6,Fibroblast
Abcc1,F1_Aged,0.0348234716488207,shared,0.00550182267056085,Fibroblast
Abcc5,F1_Aged,0.00277455341725437,shared,1.3013781994894e-4,Fibroblast
Abcc9,F1_Aged,0.00120817147974377,shared,2.58105262334173e-6,Fibroblast
Acadm,F1_Aged,2.76387129078173e-5,shared,5.12169266294e-4,Fibroblast
Acap2,F1_Aged,3.4233521768369403e-9,shared,7.55570087329995e-12,Fibroblast
Acss3,F1_Aged,0.0051894070370427,shared,8.44251419974001e-5,Fibroblast
Actc1dt,F1_Aged,0.0215591667895503,shared,1.23811079693353e-5,Fibroblast
Acvr1,F1_Aged,3.79173794886421e-13,shared,0.042242363928793,Fibroblast
Adam9,F1_Aged,2.40267517267072e-6,shared,0.0793676890200257,Fibroblast
Adamts1,F1_Aged,1.67557448703309e-9,shared,0.00411442801619121,Fibroblast
Alcam,F1_Aged,0.0496786694293341,shared,1.5832281082363e-5,Fibroblast
Anapc1,F1_Aged,0.0253041497800977,shared,1.21303960339624e-8,Fibroblast
Ankrd12,F1_Aged,1.66401194874193e-8,shared,1.99690009965778e-12,Fibroblast
Ankrd23,F1_Aged,2.44671261747072e-10,shared,1.51012544758133e-5,Fibroblast
Ankrd33b,F1_Aged,0.00201394352131792,shared,8.92881111953686e-8,Fibroblast
Ankrd44,F1_Aged,3.13749467890925e-8,shared,1.9433535632816e-4,Fibroblast
Anks1,F1_Aged,0.0334166370088824,shared,0.0019020814974699,Fibroblast
Antxr1,F1_Aged,2.34935809530638e-14,shared,1.5151041423606501e-9,Fibroblast
Ap2a2,F1_Aged,3.15294876707357e-8,shared,0.0592823285439707,Fibroblast
Ap3s1,F1_Aged,0.041344958233145,shared,1.5087797513396e-7,Fibroblast
Apaf1,F1_Aged,0.00144576973400294,shared,0.00821248762121513,Fibroblast
Arhgap12,F1_Aged,1.04460099468985e-42,shared,2.60066714948149e-7,Fibroblast
Arhgap17,F1_Aged,8.92780108910591e-11,shared,1.8215848048973e-7,Fibroblast
Arhgap35,F1_Aged,4.23067125740668e-34,shared,0.00935814644319731,Fibroblast
Arhgap5,F1_Aged,7.028118655603211e-15,shared,6.36148121202894e-16,Fibroblast
Arid2,F1_Aged,1.63128687762803e-15,shared,0.00171080017609556,Fibroblast
Arnt,F1_Aged,1.27308628124555e-7,shared,0.0186943726817492,Fibroblast
Asxl1,F1_Aged,1.17773229574045e-35,shared,0.0384597979442424,Fibroblast
Asxl2,F1_Aged,2.65718468088618e-22,shared,7.60518824317412e-5,Fibroblast
Atad1,F1_Aged,4.4853283256835205e-15,shared,5.65077223761649e-10,Fibroblast
Atad3a,F1_Aged,8.50810471487936e-5,shared,0.0238310714263939,Fibroblast
Atl3,F1_Aged,0.0103068418082139,shared,1.7613785403506e-4,Fibroblast
Atp9b,F1_Aged,0.00464885521719498,shared,3.08984837045135e-12,Fibroblast
Banp,F1_Aged,1.1629565600043e-23,shared,1.3531016943077e-4,Fibroblast
Baz2a,F1_Aged,9.767678757126491e-17,shared,5.30469133073347e-7,Fibroblast
Bckdhb,F1_Aged,1.3827629815785401e-15,shared,3.52934097104538e-17,Fibroblast
Bclaf1,F1_Aged,4.56121144973869e-8,shared,1.73559114267767e-6,Fibroblast
Bend6,F1_Aged,0.0552433304624464,shared,0.00556422471229136,Fibroblast
Bltp2,F1_Aged,0.013254125602835,shared,0.00481120015694494,Fibroblast
Bmp2k,F1_Aged,3.4834310662008203e-15,shared,6.6166916822738e-14,Fibroblast
Btrc,F1_Aged,0.0774084210208055,shared,1.15860323347115e-8,Fibroblast
C330020E22Rik,F1_Aged,3.12151570809251e-6,shared,0.0168873195852229,Fibroblast
Cab39,F1_Aged,5.74297907669862e-10,shared,0.0294276500103105,Fibroblast
Camkmt,F1_Aged,1.08060890706369e-17,shared,2.49337992711661e-10,Fibroblast
Canx,F1_Aged,8.198036630143551e-14,shared,0.0575191867922927,Fibroblast
Capn2,F1_Aged,2.34595333964607e-11,shared,2.59796867240231e-18,Fibroblast
Caprin1,F1_Aged,0.0693396438107449,shared,0.054701398912381,Fibroblast
Capza1,F1_Aged,8.047855797514909e-11,shared,1.92508736919e-4,Fibroblast
Ccnl2,F1_Aged,9.0215195382949e-4,shared,0.00550748144283545,Fibroblast
Ccser2,F1_Aged,3.3145987727783795e-20,shared,5.350876820868e-6,Fibroblast
Cd34,F1_Aged,3.02099361673762e-6,shared,0.0637728047840789,Fibroblast
Cd47,F1_Aged,2.6598367513429103e-9,shared,8.1652425216213e-6,Fibroblast
Cdk12,F1_Aged,4.45506125173904e-6,shared,1.85107121489205e-10,Fibroblast
Cep83,F1_Aged,0.00857036500315192,shared,1.28198842546349e-5,Fibroblast
Cep85,F1_Aged,3.0820663510137895e-11,shared,0.00722183213386976,Fibroblast
Cert1,F1_Aged,6.94985235775981e-19,shared,2.13331224676881e-14,Fibroblast
Ces1d,F1_Aged,2.27908193113486e-7,shared,0.00762256754843114,Fibroblast
Cfdp1,F1_Aged,3.6567998137520693e-11,shared,0.0696395358469466,Fibroblast
Cfl2,F1_Aged,1.59347712683378e-18,shared,3.45806758451909e-15,Fibroblast
Cflar,F1_Aged,1.3893602285318399e-11,shared,5.00512789656038e-7,Fibroblast
Chd4,F1_Aged,2.78712752816812e-9,shared,1.31255478083235e-6,Fibroblast
