celltype,n_genes,n_terms,top,padj
Cardiomyocyte,1571,40,heart process,0.0017154930100845532
Coronary_EC,31,0,NA,NA
Endocardial_EC,54,0,NA,NA
Fibroblast,376,1,cell adhesion,0.02759842255881293
Mesothelial,47,0,NA,NA
Myeloid,102,0,NA,NA
Pericytes,102,0,NA,NA
