gene,condition
2610037D02Rik,F1_Aged
9330159M07Rik,F1_Aged
9530026P05Rik,F1_Aged
Abca1,F1_Aged
Abcc5,F1_Aged
Ablim1,F1_Aged
Acap2,F1_Aged
Acyp2,F1_Aged
Adam10,F1_Aged
Adamts6,F1_Aged
Adcy6,F1_Aged
Afap1,F1_Aged
Akap6,F1_Aged
Anapc1,F1_Aged
Anapc10,F1_Aged
Ankrd23,F1_Aged
Ankrd28,F1_Aged
Ankrd33b,F1_Aged
Antxr2,F1_Aged
Ap1g1,F1_Aged
Apc,F1_Aged
Arf4,F1_Aged
Arfgef2,F1_Aged
Ark2n,F1_Aged
Asb15,F1_Aged
Asb2,F1_Aged
Asb3,F1_Aged
Ascc3,F1_Aged
Asxl1,F1_Aged
Asxl2,F1_Aged
Atf1,F1_Aged
Atf2,F1_Aged
Atf7,F1_Aged
Atp13a3,F1_Aged
Atp1a2,F1_Aged
Atp5pb,F1_Aged
Atp9b,F1_Aged
Atrn,F1_Aged
Atrnl1,F1_Aged
Atxn7,F1_Aged
Bach1,F1_Aged
Banp,F1_Aged
Baz1b,F1_Aged
Bbx,F1_Aged
Bclaf1,F1_Aged
Bicral,F1_Aged
Bltp3b,F1_Aged
Bptf,F1_Aged
Bzw2,F1_Aged
Cacnb2,F1_Aged
Camk2d,F1_Aged
Ccdc88a,F1_Aged
Ccnl1,F1_Aged
Ccnt1,F1_Aged
Cdc27,F1_Aged
Cdc73,F1_Aged
Cdk6,F1_Aged
Cds2,F1_Aged
Cep350,F1_Aged
Cep85,F1_Aged
Cep85l,F1_Aged
Cfdp1,F1_Aged
Cfl2,F1_Aged
Chpt1,F1_Aged
Clip4,F1_Aged
Clk4,F1_Aged
Clybl,F1_Aged
Copa,F1_Aged
Cox7c,F1_Aged
Cp,F1_Aged
Cpeb1,F1_Aged
Cpped1,F1_Aged
Crybg3,F1_Aged
Cspp1,F1_Aged
Ctnnd1,F1_Aged
Cwc27,F1_Aged
Cyth1,F1_Aged
D830005E20Rik,F1_Aged
Dcaf5,F1_Aged
Dcbld2,F1_Aged
Dcp1b,F1_Aged
Ddr2,F1_Aged
Dgkd,F1_Aged
Dhrs11,F1_Aged
Dmpk,F1_Aged
Dmxl1,F1_Aged
Dst,F1_Aged
Dtnbp1,F1_Aged
Eea1,F1_Aged
Egln3,F1_Aged
Ehmt1,F1_Aged
Eif3h,F1_Aged
Eml4,F1_Aged
