celltype,n_genes,n_terms,top,padj
Cardiomyocyte,2019,6,circulatory system process,0.024914388523716347
Coronary_EC,56,0,NA,NA
Endocardial_EC,54,0,NA,NA
Fibroblast,181,0,NA,NA
M2,47,0,NA,NA
MacFib,34,0,NA,NA
Mesothelial,33,0,NA,NA
Pericytes,97,7,regulation of heart contraction,0.026545779973145226
Unknown_1,7,0,NA,NA
