gene,condition
2610037D02Rik,F1_Aged
5330438D12Rik,F1_Aged
9330159M07Rik,F1_Aged
Adamtsl3,F1_Aged
Adamtsl5,F1_Aged
Adhfe1,F1_Aged
Adra1a,F1_Aged
Afap1l1,F1_Aged
Agfg1,F1_Aged
Ago3,F1_Aged
Ankrd33b,F1_Aged
Anks1,F1_Aged
Ap1g1,F1_Aged
Arhgap42,F1_Aged
Asb14,F1_Aged
Ash1l,F1_Aged
Asxl1,F1_Aged
BC005537,F1_Aged
Banp,F1_Aged
Bcl2,F1_Aged
Bdp1,F1_Aged
Brd10,F1_Aged
Btaf1,F1_Aged
Cald1,F1_Aged
Camk2d,F1_Aged
Cdc73,F1_Aged
Cdk14,F1_Aged
Cep350,F1_Aged
Cfl2,F1_Aged
Clcn3,F1_Aged
Colec12,F1_Aged
Cox7a2,F1_Aged
Cpped1,F1_Aged
Cwc27,F1_Aged
D830032E09Rik,F1_Aged
Dennd2b,F1_Aged
Dicer1,F1_Aged
Dnajb4,F1_Aged
Dnajb6,F1_Aged
Dync1h1,F1_Aged
Eepd1,F1_Aged
Ets1,F1_Aged
Fam117b,F1_Aged
Fbxo3,F1_Aged
Fbxw4,F1_Aged
Fip1l1,F1_Aged
Fnbp1,F1_Aged
Fndc3a,F1_Aged
Foxj3,F1_Aged
Gapvd1,F1_Aged
Gata6os,F1_Aged
Gdi2,F1_Aged
Gigyf2,F1_Aged
Gm12002,F1_Aged
Gm12353,F1_Aged
Gm13938,F1_Aged
Gm8189,F1_Aged
Hmbox1,F1_Aged
Hspb1,F1_Aged
Ide,F1_Aged
Il15ra,F1_Aged
Ints8,F1_Aged
Ipo11,F1_Aged
Itfg1,F1_Aged
Jmy,F1_Aged
Kalrn,F1_Aged
Kcmf1,F1_Aged
Kcnt2,F1_Aged
Khdc4,F1_Aged
Kiz,F1_Aged
Klf13,F1_Aged
Klhl7,F1_Aged
Kpna3,F1_Aged
Krit1,F1_Aged
Lrrc3b,F1_Aged
Man1a,F1_Aged
Man1a2,F1_Aged
Mapre2,F1_Aged
Mcl1,F1_Aged
Mdm4,F1_Aged
Mef2c,F1_Aged
Mga,F1_Aged
Miga2,F1_Aged
Mpc2,F1_Aged
Mtch2,F1_Aged
Mtdh,F1_Aged
Mtpap,F1_Aged
Myh6,F1_Aged
Myo1b,F1_Aged
Myo9a,F1_Aged
Naa16,F1_Aged
Nbas,F1_Aged
Nek9,F1_Aged
Nhsl1,F1_Aged
Nos1ap,F1_Aged
Nsmaf,F1_Aged
Nufip2,F1_Aged
Nus1,F1_Aged
Obscn,F1_Aged
Opa1,F1_Aged
Palmd,F1_Aged
Parva,F1_Aged
Pcdh9,F1_Aged
Pds5b,F1_Aged
Pgm5,F1_Aged
Phactr4,F1_Aged
Phip,F1_Aged
Pik3c2a,F1_Aged
Pik3ca,F1_Aged
Pkd2,F1_Aged
Pkia,F1_Aged
Ppfibp2,F1_Aged
Ppip5k1,F1_Aged
Ppm1a,F1_Aged
Ppp1cb,F1_Aged
Ppp2ca,F1_Aged
Ppp2r2a,F1_Aged
Ppp4r3b,F1_Aged
Ppp6r2,F1_Aged
Pwwp2a,F1_Aged
Rab12,F1_Aged
Rab3ip,F1_Aged
Rabgap1,F1_Aged
Rapgef6,F1_Aged
Rbm39,F1_Aged
Rc3h1,F1_Aged
Rev3l,F1_Aged
Rfx3,F1_Aged
Rfx7,F1_Aged
Rhot1,F1_Aged
Rlf,F1_Aged
Samd5,F1_Aged
Scfd2,F1_Aged
Scp2,F1_Aged
Sdccag8,F1_Aged
Sema5a,F1_Aged
Sfpq,F1_Aged
Sgms1,F1_Aged
Sh3pxd2a,F1_Aged
Shoc2,F1_Aged
Skap2,F1_Aged
Slc10a7,F1_Aged
Slc12a7,F1_Aged
Slfn5,F1_Aged
Smad1,F1_Aged
Smad7,F1_Aged
Smc6,F1_Aged
Smurf2,F1_Aged
Snx13,F1_Aged
Spop,F1_Aged
Spred1,F1_Aged
Stim2,F1_Aged
Sucla2,F1_Aged
Synpo,F1_Aged
Tanc1,F1_Aged
Tcp11l2,F1_Aged
Tef,F1_Aged
Tent2,F1_Aged
Tet2,F1_Aged
Tlk1,F1_Aged
Tns3,F1_Aged
Trak1,F1_Aged
Ttn,F1_Aged
U2surp,F1_Aged
Ube3a,F1_Aged
Ube3c,F1_Aged
Ubl3,F1_Aged
Ubr3,F1_Aged
Usp33,F1_Aged
Vapa,F1_Aged
Vim,F1_Aged
Virma,F1_Aged
Vps8,F1_Aged
Wapl,F1_Aged
Yaf2,F1_Aged
Ythdc1,F1_Aged
Zbtb16,F1_Aged
Zdhhc14,F1_Aged
Zfp148,F1_Aged
Zfp280d,F1_Aged
Zfp608,F1_Aged
Zfp871,F1_Aged
Zfyve16,F1_Aged
