gene,condition,padj,status,padj_other,celltype
Acat1,F1_Aged,7.1819411147937e-4,shared,0.0160204140737563,Coronary_EC
Amd1,F1_Aged,5.4547972971078e-4,shared,0.00339435569931092,Coronary_EC
Anxa3,F1_Aged,0.00531071950721601,shared,0.00634984956398808,Coronary_EC
Arhgef7,F1_Aged,7.459318994852529e-11,shared,0.0133597780432704,Coronary_EC
Asb3,F1_Aged,5.85830801077767e-6,shared,3.3743794362236e-4,Coronary_EC
Atp1b3,F1_Aged,6.71850253448196e-6,shared,1.5695023121657e-4,Coronary_EC
Bclaf1,F1_Aged,1.77962672524655e-9,shared,7.15648577560916e-7,Coronary_EC
Capza1,F1_Aged,9.73890707854508e-12,shared,1.99330412329982e-6,Coronary_EC
Ccdc50,F1_Aged,7.51605726411951e-7,shared,1.7282280739893e-4,Coronary_EC
Cd47,F1_Aged,1.77949217704104e-6,shared,3.3593470102948e-4,Coronary_EC
Cilk1,F1_Aged,2.08647577687362e-7,shared,3.24392878247566e-5,Coronary_EC
Cish,F1_Aged,0.0282256016633878,shared,7.1446011370968e-4,Coronary_EC
Coro6,F1_Aged,0.0985003182954487,shared,0.0152614811838401,Coronary_EC
Csnk1g3,F1_Aged,0.0566589222659018,shared,0.0109099140609461,Coronary_EC
Cuedc1,F1_Aged,3.13248842232783e-8,shared,0.0499262095218059,Coronary_EC
Cul5,F1_Aged,7.933109371660499e-12,shared,0.0104488425132213,Coronary_EC
Cyld,F1_Aged,1.86910568171926e-10,shared,3.21388386328986e-5,Coronary_EC
Dgkd,F1_Aged,0.00380927239105413,shared,0.0107283602861493,Coronary_EC
Dhrs11,F1_Aged,0.0880850653957233,shared,0.00678333831066118,Coronary_EC
Dock6,F1_Aged,0.0367896348394267,shared,3.21984638486204e-5,Coronary_EC
Epha4,F1_Aged,0.00247419289027905,shared,3.40350009352193e-7,Coronary_EC
Eprs1,F1_Aged,0.0676550659478852,shared,0.0174531523704148,Coronary_EC
Fam135a,F1_Aged,1.00040327017278e-5,shared,0.0106078764656047,Coronary_EC
Fam222b,F1_Aged,4.01234757780598e-6,shared,3.74926827317018e-6,Coronary_EC
