"","AR","N","log2FC","llr_var","pval_var"
"Parva",0.645833333333333,12,0.632268215499513,-1142.33249216293,0
"Pbrm1",0.546666666666667,10,-0.176877762084079,-1232.27083208511,0
"Pbx1",0.521753444967731,28,-0.0356239097307213,1332.77380726515,1
"Pcdh7",0.604495367887108,27,0.563900885193326,1690.11371718521,1
"Pcdh9",0.453846153846154,26,-0.082462160191973,1321.62480858302,1
"Pcnx1",0.575,10,-0.15200309344505,-1109.32288645257,0
"Pcsk6",0.471853741496599,14,-0.187627003175771,-1323.18094102297,0
"Pde10a",0.523971022517534,14,0.0534392589614604,-1313.44809759583,0
"Pde1a",0.6825,10,0.662965012722429,-1312.29345367166,0
"Pde3a",0.532455044955045,24,0,1465.67897916863,1
"Pde4b",0.315816326530612,21,-0.81713594285019,1267.60913471537,1
"Pde4dip",0.651666666666667,10,1,-1120.93244398528,0
"Pde7a",0.492424242424242,11,0.201633861169651,-1192.95470795479,0
"Pde7b",0.336772486772487,18,-1.02169507109932,141.674669385568,1
"Pdgfd",0.515811965811966,26,0.043068721891886,1278.04582439688,1
"Pdlim5",0.559166880483434,34,0.318075769391756,1568.81188510342,1
"Pds5b",0.331666666666667,10,-0.678071905112638,-1150.70552348637,0
"Pdzd2",0.580117394179894,24,0.558490289359965,1348.565343527,1
"Pdzrn3",0.457161458333333,16,-0.934904971778115,154.5623410244,1
"Pecam1",0.442424242424242,11,-0.263034405833794,-1105.99092049775,0
"Peli2",0.478888888888889,15,-0.176877762084079,-1128.87693907112,0
"Per3",0.438690476190476,20,0.0356239097307213,135.917399247475,1
"Pfkfb2",0.466666666666667,10,-1,-2513.49325099888,0
"Phactr2",0.512592592592593,15,0.0418201756946273,74.3866287243461,1
"Phf20l1",0.5,14,-0.0489096004809464,-1146.75754572659,0
"Phf21a",0.493055555555556,12,-0.16349873228288,-1230.29463728089,0
"Phkb",0.318181818181818,11,-1,-1136.13347500817,0
"Phlpp1",0.448529411764706,17,0.137503523749935,-1147.64795578607,0
"Pi4ka",0.575,10,0.584962500721156,-950.973172269594,0
"Picalm",0.647619047619048,15,0.902702798645085,-1177.89650155304,0
"Pid1",0.515178571428571,20,-0.131244533278253,60.6385465159692,1
"Pik3c2a",0.421212121212121,11,-0.251538766995964,-919.737212917039,0
"Pip5k1b",0.692307692307692,10,1.62803122261304,-1185.24827744589,0
"Pitpnc1",0.485790598290598,26,0.29176612437711,1322.22498529013,1
"Pkp4",0.552962962962963,15,0.351472370501378,-1178.5273644103,0
"Plcb1",0.431495405179616,19,-0.166649869409451,-24.8413585426235,1.80730981742632e-12
