celltype,n_genes,n_terms,top,padj
Cardiomyocyte,2277,27,regulation of monoatomic ion transport,0.005159793079653568
Coronary_EC,85,0,NA,NA
Endocardial_EC,91,0,NA,NA
Fibroblast,289,0,NA,NA
Lymphatic_EC,6,0,NA,NA
M2,66,0,NA,NA
MacFib,45,0,NA,NA
Mesothelial,46,0,NA,NA
Myeloid,7,0,NA,NA
Pericytes,143,6,blood circulation,0.04293583669465053
Smooth_Muscle,13,0,NA,NA
Unknown_1,7,0,NA,NA
